Genotype,CollectionDate,Group,Hourssurvived,Initial,Dead,TotalDead,TotalAlive,PercentAlive
WTM,30-Mar,1,0,20,0,0,20,100
WTM,30-Mar,1,1,20,0,0,20,100
WTM,30-Mar,1,2.5,20,0,0,20,100
WTM,30-Mar,1,21,20,0,0,20,100
WTM,30-Mar,1,25,20,0,0,20,100
WTM,30-Mar,1,27,20,0,0,20,100
WTM,30-Mar,1,31.5,20,3,3,17,85
WTM,30-Mar,1,45.5,20,12,15,5,25
WTM,30-Mar,1,48,20,4,19,1,5
WTM,30-Mar,1,50.5,20,1,20,0,0
WTF,30-Mar,1,0,20,0,0,20,100
WTF,30-Mar,1,1,20,0,0,20,100
WTF,30-Mar,1,2.5,20,0,0,20,100
WTF,30-Mar,1,21,20,0,0,20,100
WTF,30-Mar,1,25,20,0,0,20,100
WTF,30-Mar,1,27,20,0,0,20,100
WTF,30-Mar,1,31.5,20,0,0,20,100
WTF,30-Mar,1,45.5,20,0,0,20,100
WTF,30-Mar,1,48,20,0,0,20,100
WTF,30-Mar,1,50.5,20,0,0,20,100
WTF,30-Mar,1,58,20,1,1,19,95
WTF,30-Mar,1,69.5,20,1,2,18,90
WTF,30-Mar,1,73.5,20,2,4,16,80
WTF,30-Mar,1,76.5,20,3,7,13,65
WTF,30-Mar,1,79,20,2,9,11,55
WTF,30-Mar,1,82.5,20,6,15,5,25
WTF,30-Mar,1,84.5,20,3,18,2,10
WTF,30-Mar,1,91,20,2,20,0,0
WTM TKT,30-Mar,1,0,15,0,0,15,100
WTM TKT,30-Mar,1,1,15,0,0,15,100
WTM TKT,30-Mar,1,2.5,15,0,0,15,100
WTM TKT,30-Mar,1,21,15,0,0,15,100
WTM TKT,30-Mar,1,25,15,0,0,15,100
WTM TKT,30-Mar,1,27,15,0,0,15,100
WTM TKT,30-Mar,1,31.5,15,0,0,15,100
WTM TKT,30-Mar,1,45.5,15,9,9,6,40
WTM TKT,30-Mar,1,48,15,2,11,4,26.66666667
WTM TKT,30-Mar,1,50.5,15,1,12,3,20
WTM TKT,30-Mar,1,58,15,3,15,0,0
WTF TKT,30-Mar,1,0,20,0,0,20,100
WTF TKT,30-Mar,1,1,20,0,0,20,100
WTF TKT,30-Mar,1,2.5,20,0,0,20,100
WTF TKT,30-Mar,1,21,20,0,0,20,100
WTF TKT,30-Mar,1,25,20,0,0,20,100
WTF TKT,30-Mar,1,27,20,0,0,20,100
WTF TKT,30-Mar,1,31.5,20,0,0,20,100
WTF TKT,30-Mar,1,45.5,20,0,0,20,100
WTF TKT,30-Mar,1,48,20,0,0,20,100
WTF TKT,30-Mar,1,50.5,20,0,0,20,100
WTF TKT,30-Mar,1,58,20,0,0,20,100
WTF TKT,30-Mar,1,69.5,20,2,2,18,90
WTF TKT,30-Mar,1,73.5,20,0,2,18,90
WTF TKT,30-Mar,1,76.5,20,2,4,16,80
WTF TKT,30-Mar,1,79,20,1,5,15,75
WTF TKT,30-Mar,1,82.5,20,0,5,15,75
WTF TKT,30-Mar,1,84.5,20,2,7,13,65
WTF TKT,30-Mar,1,91,20,4,11,9,45
WTF TKT,30-Mar,1,98,20,2,13,7,35
WTF TKT,30-Mar,1,101,20,5,18,2,10
WTF TKT,30-Mar,1,104,20,0,18,2,10
WTF TKT,30-Mar,1,107,20,1,19,1,5
WTF TKT,30-Mar,1,115,20,1,20,0,0
A4VM,30-Mar,1,0,20,0,0,20,100
A4VM,30-Mar,1,1,20,0,0,20,100
A4VM,30-Mar,1,2.5,20,0,0,20,100
A4VM,30-Mar,1,21,20,0,0,20,100
A4VM,30-Mar,1,25,20,0,1,19,95
A4VM,30-Mar,1,27,20,1,2,18,90
A4VM,30-Mar,1,31.5,20,1,16,4,20
A4VM,30-Mar,1,45.5,20,14,18,2,10
A4VM,30-Mar,1,48,20,2,19,1,5
A4VM,30-Mar,1,50.5,20,1,20,0,0
A4VM,30-Mar,1,58,20,1,20,0,0
A4VF,30-Mar,1,0,19,0,0,19,100
A4VF,30-Mar,1,1,19,0,0,19,100
A4VF,30-Mar,1,2.5,19,0,0,19,100
A4VF,30-Mar,1,21,19,1,1,18,94.73684211
A4VF,30-Mar,1,25,19,0,1,18,94.73684211
A4VF,30-Mar,1,27,19,0,1,18,94.73684211
A4VF,30-Mar,1,31.5,19,0,1,18,94.73684211
A4VF,30-Mar,1,45.5,19,0,1,18,94.73684211
A4VF,30-Mar,1,48,19,0,1,18,94.73684211
A4VF,30-Mar,1,50.5,19,0,1,18,94.73684211
A4VF,30-Mar,1,58,19,0,1,18,94.73684211
A4VF,30-Mar,1,69.5,19,0,1,18,94.73684211
A4VF,30-Mar,1,73.5,19,1,2,17,89.47368421
A4VF,30-Mar,1,76.5,19,0,2,17,89.47368421
