"","FBgn","Symbol","CHR","Complex","A3FH1","A3FH2","A3FH3","A3MH1","A3MH2","A3MH3","A40FH1","A40FH2","A40FH3","A9FH1","A9FH2","A9FH3","A9MH1","A9MH2","A9MH3","S3FH1","S3FH2","S3FH3","S3MH1","S3MH2","S3MH3","S40FH1","S40FH2","S40FH3","S9FH1","S9FH2","S9FH3","S9MH1","S9MH2","S9MH3"
"ND-13B","FBgn0047038","ND-13B","3L","Complex I",0.266511376616579,0.0721737460785832,0.00088310570112206,-0.142637023388492,0.345921858051773,0.00119948050276507,-1.30746090624391,-0.89249076630671,-0.98062677106723,-0.736692869035355,-0.802441448675257,-0.331487688453418,-0.325454711160217,-1.06591340609324,-0.923863181259515,1.08604578148745,-0.145829642650902,2.22402671514814,0.209647958943318,-0.0460124777413693,0.0191874675859008,-0.343852266464861,1.08393948575845,-0.780151075961144,-0.341755782616231,1.17627097656356,0.612728728131404,3.32870056956193,-0.432667660591335,-0.827899572421779
"ND-AGGG","FBgn0058002","ND-AGGG","3L","Complex I",0.381383548602141,0.312082963972708,0.249668437284935,0.0585623574389457,-0.0269919268651073,-0.257451123859864,-1.90091659503681,0.125107067951338,-0.602398063684486,-0.254681683335226,1.48689640495966,0.814079247889637,0.45308779725857,-0.972083453425398,-1.06971888800291,1.7633769257005,-0.33052849127423,0.547372918119658,1.00563620322965,-0.0198169598560323,-0.180956619098781,0.522894185205886,-2.88514500825419,1.11275852662078,0.487138041281522,0.878219487432049,-0.406433526221941,1.03358233423643,-0.994086445372158,-1.33063766289726
"CG40472","FBgn0085736","CG40472","3L","Complex I",1.08514621029138,0.972094249173535,0.745530898340484,-0.0665938661844715,-0.253307486100627,-0.393799261807245,-0.550673869851808,1.19003266810712,0.74126144940448,0.660200366638178,1.72950658371318,1.79108375679031,-0.426506347462077,-0.273185278497208,-0.392636978238115,0.966831497150405,-0.439496672201238,0.0145075978718397,-0.345079916507373,-0.955490644939926,-0.623166583064948,-0.107455420851094,-3.08112669842033,0.39710936916923,0.250636637385746,0.831883265214392,-0.0868842211917414,-1.11331513036827,-1.14969621254387,-1.11740996101992
"ND4","FBgn0262952","ND4","mt","Complex I",1.17069158976227,1.10663942757983,1.10289753964094,1.10699399165974,1.11394681678707,1.08521450594441,0.897088032542407,-0.732628496688127,1.16905225862343,0.966435955600287,-0.862049667216875,1.28642780586861,-1.10463545188591,0.790063807032745,0.603731898577499,-1.10988968914271,0.47163908044553,-1.14038683604475,-1.04445612362271,0.503810574179389,0.674746147271969,-0.885325433611706,-1.28318833760153,-0.628384770081676,-1.14308467809938,-1.25234082024194,-0.558588944116481,-1.19705925400936,-1.13771713364699,0.0303562044940331
"ND-30","FBgn0266582","ND-30","3L","Complex I",1.075269718987,0.543555628949527,1.06001143349604,0.356510050920401,0.756791361665021,0.175523678746748,-2.06268998929758,-1.81498017079037,-1.45172036457315,-0.5542359448378,-0.511267128854691,0.763815722736727,-0.782303377516391,-0.922693890501611,-0.847490881124748,1.17898051937705,0.0661060865165298,1.04377967049884,0.959573172552613,0.709041402497737,0.330066270941754,0.011134407054964,1.5984868919927,-0.448636803993674,-0.175548371659369,0.322630599087471,-0.568285171231479,1.59839175508563,-1.11839579351818,-1.29142048320769
"SdhB","FBgn0014028","SdhB","2R","Complex II",1.18976527018613,1.57437984351066,1.7783529431841,1.14667268213027,1.1938584120809,1.4017790590637,-0.249805055937784,-0.865249751696561,-0.50227393014696,-0.0314801127394096,-0.527367404213912,1.17860135891524,-0.540360483835642,0.631910001109098,0.736108145306365,0.171538764601459,0.315347243129659,-2.01932873483348,-0.144907468824763,0.429922269333326,0.601496982205351,-0.904697222229497,-0.561284599597224,-1.04276727805577,-0.295196744546706,-1.25290901133084,-1.18687409761853,0.262178472262791,-1.08495545775263,-1.40245409365935
"SdhC","FBgn0037873","SdhC","3R","Complex II",0.817455845060064,0.606274993927698,0.836824079550656,0.449455544755861,0.461492686191802,0.158689654143366,-1.32632922063503,-0.985368471772947,-1.10365287839044,-0.527966075464415,-0.242988034473532,0.474231929655594,-0.0908919540592914,-0.54185990651584,-0.523063534521844,1.17696508560849,-0.0819145171859932,0.988616703538988,-0.00511350803918238,-0.187976891481371,-0.135206649923942,-0.802300073260883,0.398477076849659,-1.10158307156805,-0.352783714452048,0.586060285223623,-0.343366657550493,3.70627247401476,-0.759397688184347,-1.54905351104093
"SdhD","FBgn0039112","SdhD","3R","Complex II",1.64459036246014,1.34757706234258,1.47306193220981,1.14005550666014,1.42169957158854,1.15134466631344,-1.08158189261193,-1.48713744317635,-0.571945619222737,-0.391371403399743,-0.840493567839832,0.559344973466325,-0.944577864493788,-0.0557842132512982,-0.161082689486227,0.736056692146045,0.524332095778326,-0.828520171124456,0.256440595521871,0.931842094739475,0.928626192864354,-1.22144935976811,-0.503660875766092,-1.22141745801613,-0.43002595338809,-0.701793507643752,-0.982101933767681,1.29351883110502,-1.12917833026953,-0.856368293970325
"SdhA","FBgn0261439","SdhA","2R","Complex II",0.511083460467892,1.07370425311156,1.13955559764527,1.04239160312401,0.861684295937384,0.980045403942545,0.270280155629745,-1.14264806640076,-0.884554691008058,-0.423637485641099,-0.89428085244545,0.239701518717525,-0.305921574713704,0.686360438909322,0.821881395319326,0.345557881429046,0.183287335311073,-0.686266297639224,0.173353825042446,0.618941952850921,0.406249805184664,-1.59348557696175,-1.0824868213023,-1.28749573195264,-0.311333201130244,-0.820381485877119,-1.18914334767047,2.90392000552891,-0.30172428198465,-1.33463951342418
"ox","FBgn0011227","ox","2R","Complex III",-0.440864535263982,-0.491893641225838,-0.508232885183574,-0.478454954375767,-0.459980564041476,-0.610672270654944,-0.865433469136216,-0.128791069489661,-0.849382209381549,-0.744706429969291,0.259709681112066,-0.419942002788581,0.540818827146475,-0.954227411342765,-0.863309193241491,1.05806506280739,-0.784788786392973,1.87757177896895,0.436805366969154,-0.596151386496552,-0.713102146593205,0.293566552585814,1.84116425850015,0.154293682797652,0.122210752840306,1.10603777958721,-0.287832053331631,3.33321918667959,0.166211800727216,-0.991909721812472
"CYTB","FBgn0013678","CYTB","mt","Complex III",1.02014798750561,1.11100932706636,1.01490601397774,0.919884195743681,0.91672682840976,0.91515346618713,0.438132142566477,-0.611622465574937,1.42249973023974,0.831645253018779,-0.929340664831734,1.09037451616089,-1.47305062289084,0.613369393872754,0.0884737553723984,-0.82768990084321,0.737398201065602,-0.77807306746824,-1.11219608081084,0.863757389514765,0.862905383297316,-0.252925156202125,-1.89817862690582,0.314624295639816,-1.44543166578765,-1.30041058657318,0.242204012390517,-1.07423889174701,-1.35851924668609,-0.341534915707646
"RFeSP","FBgn0021906","RFeSP","2L","Complex III",1.452913107004,1.59067974138133,1.26885067267819,1.02953771651603,0.992674605962688,0.989107531455977,-0.813781352224307,-1.61385014456048,-0.68822425184293,-0.0136059034140613,-0.678185019813433,0.813602838433303,-1.21117872296202,-0.425492955239842,-0.29556947482886,0.886796495732433,0.458106058144361,-0.546612185111803,-0.430442611593449,0.593339460939704,0.485444511726881,-0.593369441759435,-0.252102425483479,-1.20346278666226,-0.696418330562134,-0.24924874322947,-0.421366806973791,2.22484327787717,-1.29904349549458,-1.35394136609572
"UQCR-6.4","FBgn0034245","UQCR-6.4","2R","Complex III",-0.116057382430531,-0.342557741729121,-0.140242876973665,-0.288255346611063,-0.293776258283981,-0.52212962058589,-1.27062702337467,-0.502100735967264,-1.21506568477829,-0.780569636203366,-0.0476619962529465,-0.394590079098734,0.264333158422522,-0.921635409385255,-0.891786993393395,1.66263809885463,-0.597200046735868,2.0454489803148,0.634821224391301,-0.367348534919519,-0.461604552214869,-0.177521914567486,1.55197933335169,-0.211966677241465,-0.0128768003704042,1.12679930885215,-0.226488150797777,3.15855582389133,0.180912303093288,-0.84342476925615
