Well,Sample,Target,Cq
A1,Sample 1,trio,25.01163947336297
A2,Sample 2,trio,25.586271117904907
A3,Sample 3,trio,24.97341618463731
A4,Sample 4,trio,24.731755702183918
B1,Sample 1,trio,25.13936005637207
B2,Sample 2,trio,25.62515682039769
B3,Sample 3,trio,24.893596729117313
B4,Sample 4,trio,24.886326354535086
C1,Sample 1,trio,24.54571618
C2,Sample 2,trio,25.43721267036628
C3,Sample 3,trio,24.833454336266428
C4,Sample 4,trio,31.91156774628903
