Well Position,Sample,Genotype,Plate,Biological replicate,Technical replicate,Concentration ,Primer,Cq,Cq Mean,Cq Confidence,Cq SD,Efficiency,Censor,Comments
F10,Wt1 (2.5ng),WT-cr,A,1,1,2.5,LDH,29.46243277,29.54836426,0.979611934,0.083299286,no,no,
F11,Wt1 (2.5ng),WT-cr,A,1,2,2.5,LDH,29.55390534,29.54836426,0.987889486,0.083299286,no,no,
F12,Wt1 (2.5ng),WT-cr,A,1,3,2.5,LDH,29.62875467,29.54836426,0.984593501,0.083299286,no,no,
G1,Idgf6 RNAI 1 (5ng),"221> Idgf6 RNAi, G85R",A,1,1,5,PCB,23.86728901,23.902506,0.984483379,0.074965093,no,no,
G2,Idgf6 RNAI 1 (5ng),"221> Idgf6 RNAi, G85R",A,1,2,5,PCB,23.85163392,23.902506,0.988583324,0.074965093,no,no,
G3,Idgf6 RNAI 1 (5ng),"221> Idgf6 RNAi, G85R",A,1,3,5,PCB,23.98859506,23.902506,0.974307971,0.074965093,no,no,
G4,Idgf6 RNAI 2 (5ng),"221> Idgf6 RNAi, G85R",A,2,1,5,PCB,23.5669098,23.67958526,0.983492608,0.099810336,no,no,
G5,Idgf6 RNAI 2 (5ng),"221> Idgf6 RNAi, G85R",A,2,2,5,PCB,23.75690592,23.67958526,0.982955218,0.099810336,no,no,
G6,Idgf6 RNAI 2 (5ng),"221> Idgf6 RNAi, G85R",A,2,3,5,PCB,23.71494007,23.67958526,0.991266489,0.099810336,no,no,
G7,Idgf6 RNAI 3 (5ng),"221> Idgf6 RNAi, G85R",A,3,1,5,PCB,24.1198191,24.10765645,0.983685489,0.07602851,no,no,
G8,Idgf6 RNAI 3 (5ng),"221> Idgf6 RNAi, G85R",A,3,2,5,PCB,24.0262798,24.10765645,0.969501824,0.07602851,no,no,
G9,Idgf6 RNAI 3 (5ng),"221> Idgf6 RNAi, G85R",A,3,3,5,PCB,24.17687047,24.10765645,0.977014134,0.07602851,no,no,
H1,Idgf6 RNAI 1 (5ng),"221> Idgf6 RNAi, G85R",A,1,1,5,PDH,24.69109993,24.8952316,0.974161863,0.177338465,no,no,
H2,Idgf6 RNAI 1 (5ng),"221> Idgf6 RNAi, G85R",A,1,2,5,PDH,25.01131981,24.8952316,0.955081874,0.177338465,no,no,
H3,Idgf6 RNAI 1 (5ng),"221> Idgf6 RNAi, G85R",A,1,3,5,PDH,24.98327505,24.8952316,0.987507877,0.177338465,no,no,
H4,Idgf6 RNAI 2 (5ng),"221> Idgf6 RNAi, G85R",A,2,1,5,PDH,24.90363494,24.96197498,0.982721754,0.079300681,no,no,
H5,Idgf6 RNAI 2 (5ng),"221> Idgf6 RNAi, G85R",A,2,2,5,PDH,25.05226724,24.96197498,0.981758024,0.079300681,no,no,
H6,Idgf6 RNAI 2 (5ng),"221> Idgf6 RNAi, G85R",A,2,3,5,PDH,24.93002278,24.96197498,0.982992777,0.079300681,no,no,
H7,Idgf6 RNAI 3 (5ng),"221> Idgf6 RNAi, G85R",A,3,1,5,PDH,25.84794444,25.81050221,0.985361122,0.100990307,no,no,
H8,Idgf6 RNAI 3 (5ng),"221> Idgf6 RNAi, G85R",A,3,2,5,PDH,25.696138,25.81050221,0.979168039,0.100990307,no,no,
H9,Idgf6 RNAI 3 (5ng),"221> Idgf6 RNAi, G85R",A,3,3,5,PDH,25.88742419,25.81050221,0.98812242,0.100990307,no,no,
A1,GR1 5,G85R,B,1,1,5,PyK,23.84531954,23.69416304,0.975493115,0.135348927,no,no,
A2,GR1 5,G85R,B,1,2,5,PyK,23.58418831,23.69416304,0.987822695,0.135348927,no,no,
A3,GR1 5,G85R,B,1,3,5,PyK,23.65298129,23.69416304,0.982320052,0.135348927,no,no,
A4,GR2 5,G85R,B,2,1,5,PyK,24.29743036,24.55576015,0.986610233,0.479094565,no,no,
A5,GR2 5,G85R,B,2,2,5,PyK,24.26127319,24.55576015,0.983077379,0.479094565,no,no,
A6,GR2 5,G85R,B,2,3,5,PyK,25.1085769,24.55576015,0.989967768,0.479094565,no,no,
A7,GR3 5,G85R,B,3,1,5,PyK,26.05340626,25.24026829,0.974559541,0.772110685,no,no,
A8,GR3 5,G85R,B,3,2,5,PyK,25.15033774,25.24026829,0.989323512,0.772110685,no,no,
A9,GR3 5,G85R,B,3,3,5,PyK,24.51706088,25.24026829,0.990063575,0.772110685,no,no,
B1,GR1 5,G85R,B,1,1,5,p53,25.83117574,25.99750256,0.974968552,0.165786506,no,no,
B2,GR1 5,G85R,B,1,2,5,p53,26.16274342,25.99750256,0.984494293,0.165786506,no,no,
B3,GR1 5,G85R,B,1,3,5,p53,25.99858852,25.99750256,0.984698696,0.165786506,no,no,
B4,GR2 5,G85R,B,2,1,5,p53,26.30730858,26.4521337,0.987513828,0.256428949,no,no,
B5,GR2 5,G85R,B,2,2,5,p53,26.3008834,26.4521337,0.984795391,0.256428949,no,no,
B6,GR2 5,G85R,B,2,3,5,p53,26.7482091,26.4521337,0.989118246,0.256428949,no,no,
B7,GR3 5,G85R,B,3,1,5,p53,26.90554944,26.96975506,0.985177586,0.100359363,no,no,
B8,GR3 5,G85R,B,3,2,5,p53,27.08540564,26.96975506,0.955485596,0.100359363,no,no,
B9,GR3 5,G85R,B,3,3,5,p53,26.9183101,26.96975506,0.985713237,0.100359363,no,no,
C1,WT1 5,WT-cr,B,1,1,5,PyK,31.30257247,31.49187141,0.991574637,0.373136849,no,no,
C2,WT1 5,WT-cr,B,1,2,5,PyK,31.92171567,31.49187141,0.982404829,0.373136849,no,no,
