Well Position,Sample,Genotype,Plate,Biological replicate,Technical replicate,Concentration ,Primer,Cq,Cq Mean,Cq Confidence,Cq SD,Efficiency,Censor,Comments
C4,WT2 5,WT-cr,D,2,1,5,Idgf6,18.96371415,0.983458215,19.11631706,0.159820176,no,no,
C5,WT2 5,WT-cr,D,2,2,5,Idgf6,19.10274776,0.982728252,19.11631706,0.159820176,no,no,
C6,WT2 5,WT-cr,D,2,3,5,Idgf6,19.28248927,0.984106615,19.11631706,0.159820176,no,no,
C7,WT3 5,WT-cr,D,3,1,5,Idgf6,20.57060152,0.990431951,20.61804335,0.045080964,no,no,
C8,WT3 5,WT-cr,D,3,2,5,Idgf6,20.62321033,0.976584973,20.61804335,0.045080964,no,no,
C9,WT3 5,WT-cr,D,3,3,5,Idgf6,20.66031818,0.983803746,20.61804335,0.045080964,no,no,
D1,WT1 2.5,WT-cr,D,1,1,2.5,Idgf6,18.97669284,0.970813237,19.01246513,0.110613999,no,no,
D2,WT1 2.5,WT-cr,D,1,2,2.5,Idgf6,18.92416411,0.983554741,19.01246513,0.110613999,no,no,
D3,WT1 2.5,WT-cr,D,1,3,2.5,Idgf6,19.13653844,0.979396264,19.01246513,0.110613999,no,no,
D4,WT2 2.5,WT-cr,D,2,1,2.5,Idgf6,19.77838173,0.986951175,19.66607927,0.102122031,no,no,
D5,WT2 2.5,WT-cr,D,2,2,2.5,Idgf6,19.57878277,0.985632052,19.66607927,0.102122031,no,no,
D6,WT2 2.5,WT-cr,D,2,3,2.5,Idgf6,19.64107332,0.988237617,19.66607927,0.102122031,no,no,
D7,WT3 2.5,WT-cr,D,3,1,2.5,Idgf6,20.9838858,0.994564271,21.18280342,0.360500156,no,no,
D8,WT3 2.5,WT-cr,D,3,2,2.5,Idgf6,20.96558543,0.99281837,21.18280342,0.360500156,no,no,
D9,WT3 2.5,WT-cr,D,3,3,2.5,Idgf6,21.59893904,0.986237467,21.18280342,0.360500156,no,no,
E1,KD1 5,"221> Idgf6 RNAi, G85R",D,1,1,5,Idgf6,21.52713725,0.989642139,21.5306511,0.04573271,no,no,
E2,KD1 5,"221> Idgf6 RNAi, G85R",D,1,2,5,Idgf6,21.48677668,0.977245071,21.5306511,0.04573271,no,no,
E3,KD1 5,"221> Idgf6 RNAi, G85R",D,1,3,5,Idgf6,21.57803938,0.983688766,21.5306511,0.04573271,no,no,
E4,KD2 5,"221> Idgf6 RNAi, G85R",D,2,1,5,Idgf6,21.1099231,0.985461831,21.33483666,0.207593277,no,no,
E5,KD2 5,"221> Idgf6 RNAi, G85R",D,2,2,5,Idgf6,21.51909446,0.976849529,21.33483666,0.207593277,no,no,
E6,KD2 5,"221> Idgf6 RNAi, G85R",D,2,3,5,Idgf6,21.37549242,0.990197761,21.33483666,0.207593277,no,no,
E7,KD3 5,"221> Idgf6 RNAi, G85R",D,3,1,5,Idgf6,22.23978859,0.983552816,22.30742271,0.140036699,no,no,
E8,KD3 5,"221> Idgf6 RNAi, G85R",D,3,2,5,Idgf6,22.21404113,0.982532038,22.30742271,0.140036699,no,no,
E9,KD3 5,"221> Idgf6 RNAi, G85R",D,3,3,5,Idgf6,22.46843842,0.92390961,22.30742271,0.140036699,no,no,
F1,KD1 2.5,"221> Idgf6 RNAi, G85R",D,1,1,2.5,Idgf6,22.16942706,0.990165508,22.25089355,0.089421481,no,no,
F2,KD1 2.5,"221> Idgf6 RNAi, G85R",D,1,2,2.5,Idgf6,22.23668492,0.992426325,22.25089355,0.089421481,no,no,
F3,KD1 2.5,"221> Idgf6 RNAi, G85R",D,1,3,2.5,Idgf6,22.34656867,0.988651142,22.25089355,0.089421481,no,no,
F4,KD2 2.5,"221> Idgf6 RNAi, G85R",D,2,1,2.5,Idgf6,21.88918595,0.988410977,21.93290769,0.158286565,no,no,
F5,KD2 2.5,"221> Idgf6 RNAi, G85R",D,2,2,2.5,Idgf6,21.8010775,0.992262982,21.93290769,0.158286565,no,no,
F6,KD2 2.5,"221> Idgf6 RNAi, G85R",D,2,3,2.5,Idgf6,22.10845963,0.988258784,21.93290769,0.158286565,no,no,
F7,KD3 2.5,"221> Idgf6 RNAi, G85R",D,3,1,2.5,Idgf6,22.87686645,0.982972121,22.85167224,0.02612106,no,no,
F8,KD3 2.5,"221> Idgf6 RNAi, G85R",D,3,2,2.5,Idgf6,22.8534365,0.98822473,22.85167224,0.02612106,no,no,
F9,KD3 2.5,"221> Idgf6 RNAi, G85R",D,3,3,2.5,Idgf6,22.82471377,0.988850194,22.85167224,0.02612106,no,no,
A1,WT1 10 ng,WT-cr,E,1,1,10,Idgf6,20.88356463,20.86026604,0.968792634,0.030715075,yes,no,
A2,WT1 5 ng,WT-cr,E,1,1,5,Idgf6,21.79514682,21.71008861,0.975639991,0.073681565,yes,no,
A3,WT 1 2.5 ng,WT-cr,E,1,1,2.5,Idgf6,22.73092393,22.66753535,0.986491496,0.056007018,yes,no,
A4,WT1 1.25,WT-cr,E,1,1,1.25,Idgf6,23.8088196,23.67207647,0.987531476,0.122130532,yes,no,
A5,WT1 0.625 ng,WT-cr,E,1,1,0.625,Idgf6,24.89873511,24.64032114,0.990845333,0.227209508,yes,no,
A6,WT1 0 ng,WT-cr,E,1,1,0,Idgf6,38,35.50797766,0.942455791,2.306383891,yes,yes,weird melt curve
A7,WT2 10 ng,WT-cr,E,2,1,10,Idgf6,21.54771375,21.49287252,0.976711387,0.04995504,yes,no,
A8,WT2 5 ng,WT-cr,E,2,1,5,Idgf6,22.56013881,22.7009626,0.98321419,0.21428676,yes,no,
A9,WT2 2.5 ng,WT-cr,E,2,1,2.5,Idgf6,23.28485754,23.39393076,0.979985618,0.100878097,yes,no,
A10,WT2 1.25 ng,WT-cr,E,2,1,1.25,Idgf6,24.00450164,24.70925632,0.979278893,0.693388445,yes,no,
A11,WT2 0.625 ng,WT-cr,E,2,1,0.625,Idgf6,24.33742543,24.26439997,0.977084777,0.068905145,yes,no,
A12,WT2 0 ng,WT-cr,E,2,1,0,Idgf6,33.72752916,34.07868037,0.976199292,3.107332177,yes,no,
B1,WT1 10 ng,WT-cr,E,1,2,10,Idgf6,20.87177484,20.86026604,0.972063723,0.030715075,yes,no,
B2,WT1 5 ng,WT-cr,E,1,2,5,Idgf6,21.66923227,21.71008861,0.982692688,0.073681565,yes,no,
B3,WT 1 2.5 ng,WT-cr,E,1,2,2.5,Idgf6,22.64694066,22.66753535,0.98004492,0.056007018,yes,no,
B4,WT1 1.25,WT-cr,E,1,2,1.25,Idgf6,23.57384098,23.67207647,0.985355901,0.122130532,yes,no,
B5,WT1 0.625 ng,WT-cr,E,1,2,0.625,Idgf6,24.55036754,24.64032114,0.990242905,0.227209508,yes,no,
B6,WT1 0 ng,WT-cr,E,1,2,0,Idgf6,35.07546211,35.50797766,0.979533996,2.306383891,yes,yes,weird melt curve
B7,WT2 10 ng,WT-cr,E,2,2,10,Idgf6,21.48093853,21.49287252,0.977851484,0.04995504,yes,no,
B8,WT2 5 ng,WT-cr,E,2,2,5,Idgf6,22.94757129,22.7009626,0.981530875,0.21428676,yes,no,
B9,WT2 2.5 ng,WT-cr,E,2,2,2.5,Idgf6,23.48387451,23.39393076,0.990199504,0.100878097,yes,no,
B10,WT2 1.25 ng,WT-cr,E,2,2,1.25,Idgf6,24.73257719,24.70925632,0.983968246,0.693388445,yes,no,
B11,WT2 0.625 ng,WT-cr,E,2,2,0.625,Idgf6,24.2552438,24.26439997,0.98312182,0.068905145,yes,no,
B12,WT2 0 ng,WT-cr,E,2,2,0,Idgf6,37.34667136,34.07868037,0.960057082,3.107332177,yes,yes,weird melt curve
C1,WT1 10 ng,WT-cr,E,1,3,10,Idgf6,20.82545864,20.86026604,0.983524132,0.030715075,yes,no,
C2,WT1 5 ng,WT-cr,E,1,3,5,Idgf6,21.66588672,21.71008861,0.981174429,0.073681565,yes,no,
C3,WT 1 2.5 ng,WT-cr,E,1,3,2.5,Idgf6,22.62474144,22.66753535,0.98444035,0.056007018,yes,no,
C4,WT1 1.25,WT-cr,E,1,3,1.25,Idgf6,23.63356882,23.67207647,0.986519179,0.122130532,yes,no,
C5,WT1 0.625 ng,WT-cr,E,1,3,0.625,Idgf6,24.47186078,24.64032114,0.983661562,0.227209508,yes,no,
C6,WT1 0 ng,WT-cr,E,1,3,0,Idgf6,33.44847086,35.50797766,0.983490979,2.306383891,yes,yes,weird melt curve
C7,WT2 10 ng,WT-cr,E,2,3,10,Idgf6,21.44996528,21.49287252,0.985170073,0.04995504,yes,no,
C8,WT2 5 ng,WT-cr,E,2,3,5,Idgf6,22.59517769,22.7009626,0.986589589,0.21428676,yes,no,
C9,WT2 2.5 ng,WT-cr,E,2,3,2.5,Idgf6,23.41306021,23.39393076,0.985161237,0.100878097,yes,no,
C10,WT2 1.25 ng,WT-cr,E,2,3,1.25,Idgf6,25.39069014,24.70925632,0.986918882,0.693388445,yes,no,
C11,WT2 0.625 ng,WT-cr,E,2,3,0.625,Idgf6,24.20053069,24.26439997,0.981848131,0.068905145,yes,no,
C12,WT2 0 ng,WT-cr,E,2,3,0,Idgf6,31.1618406,34.07868037,0.980563907,3.107332177,yes,yes,weird melt curve
