"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0015988","GO:0015988",1,"GO:0015988",1,3.91248937552823,0,"energy coupled proton transmembrane transport, against electrochemical gradient","energy coupled proton transmembrane transport, against electrochemical gradient"
"GO:0015990","GO:0015990",1,"GO:0015988",1,3.74399500771601,5,"electron transport coupled proton transport","energy coupled proton transmembrane transport, against electrochemical gradient"
"GO:0015980","GO:0015980",2,"GO:0015980",0.995,2.38174295028648,0,"energy derivation by oxidation of organic compounds","energy derivation by oxidation of organic compounds"
