"","GO:0005622","GO:0070013","GO:0031974","GO:0043233","GO:0043231","GO:0032991","GO:0110165","GO:0005634","GO:0031981","GO:0043227","GO:0005730","GO:0043229","GO:0043226","GO:0140513","GO:0043228","GO:0043232","GO:0005832","GO:1990904","GO:0005694","GO:0005737","GO:1902494","GO:0101031","GO:0017101","GO:0005681","GO:0030684","GO:0071011","GO:0005654","GO:0000974","GO:0005700","GO:0000785","GO:0000275","GO:0071013","GO:0005739","GO:0045261","GO:0005829","GO:0032993","GO:0042555"
"GO:0101031",0,0,0,0,0,0.279,0,0,0,0,0,0,0,0.25,0,0,0.971,0.24,0,0,0.251,1,0.4,0.218,0.192,0.201,0,0.172,0,0,0.167,0.202,0,0.17,0,0.21,0.169
"GO:0017101",0,0,0,0,0,0.283,0,0,0,0,0,0,0,0.254,0,0,0.389,0.243,0,0,0.483,0.4,0.999,0.221,0.194,0.203,0,0.173,0,0,0.169,0.387,0,0.172,0,0.212,0.17
"GO:0005681",0.089,0.126,0.005,0.119,0.27,0.445,0.008,0.453,0.365,0.255,0.301,0.177,0.169,0.726,0.135,0.143,0.21,0.811,0.123,0.078,0.378,0.218,0.221,0.985,0.592,0.879,0.342,0.223,0.101,0.111,0.215,0.883,0.2,0.221,0.059,0.291,0.218
"GO:0030684",0,0,0,0,0,0.349,0,0,0,0,0,0,0,0.305,0,0,0.186,0.665,0,0,0.306,0.192,0.194,0.592,0.997,0.538,0,0.196,0,0,0.19,0.54,0,0.194,0,0.247,0.192
"GO:0071011",0.073,0.11,0.004,0.104,0.227,0.379,0.006,0.386,0.32,0.214,0.27,0.147,0.14,0.633,0.116,0.123,0.194,0.713,0.108,0.066,0.329,0.201,0.203,0.879,0.538,0.995,0.303,0.205,0.091,0.099,0.199,0.798,0.175,0.203,0.052,0.262,0.201
"GO:0005654",0.104,0.839,0.839,0.839,0.309,0,0.009,0.512,0.883,0.293,0.716,0.204,0.195,0.426,0.152,0.16,0.036,0,0.136,0.089,0,0,0,0.342,0,0.303,0.971,0,0.11,0.122,0.126,0.304,0.221,0.038,0.065,0,0
"GO:0000974",0,0,0,0,0,0.287,0,0,0,0,0,0,0,0.256,0,0,0.167,0.246,0,0,0.257,0.172,0.173,0.223,0.196,0.205,0,0.999,0,0,0.17,0.206,0,0.173,0,0.214,0.172
"GO:0005700",0.083,0.12,0.005,0.114,0.157,0,0.007,0.143,0.116,0.151,0.378,0.165,0.158,0.122,0.529,0.529,0.033,0,0.753,0.074,0,0,0,0.101,0,0.091,0.11,0,0.989,0.684,0.072,0.091,0.119,0.035,0.057,0,0
"GO:0000785",0.099,0.134,0.005,0.128,0.183,0,0.009,0.164,0.13,0.176,0.415,0.195,0.186,0.138,0.602,0.602,0.036,0,0.842,0.086,0,0,0,0.111,0,0.099,0.122,0,0.684,0.976,0.077,0.099,0.133,0.037,0.063,0,0
"GO:0000275",0.05,0.083,0.003,0.079,0.16,0.274,0.004,0.151,0.131,0.151,0.115,0.103,0.098,0.247,0.086,0.09,0.163,0.237,0.082,0.179,0.247,0.167,0.169,0.215,0.19,0.199,0.126,0.17,0.072,0.077,1,0.199,0.514,0.981,0.15,0.207,0.167
"GO:0071013",0.074,0.11,0.004,0.105,0.228,0.381,0.006,0.389,0.322,0.216,0.271,0.148,0.141,0.636,0.117,0.123,0.195,0.716,0.108,0.066,0.629,0.202,0.387,0.883,0.54,0.798,0.304,0.206,0.091,0.099,0.199,0.994,0.176,0.204,0.052,0.263,0.202
"GO:0005739",0.123,0.154,0.006,0.146,0.357,0,0.011,0.313,0.239,0.339,0.19,0.238,0.227,0.255,0.171,0.18,0.146,0,0.15,0.394,0,0,0,0.2,0,0.175,0.221,0,0.119,0.133,0.514,0.176,0.946,0.04,0.277,0,0
"GO:0045261",0.052,0.041,0.003,0.003,0.049,0.283,0.004,0.046,0.04,0.004,0.035,0.051,0.004,0.254,0.004,0.044,0.166,0.243,0.04,0.048,0.254,0.17,0.172,0.221,0.194,0.203,0.038,0.173,0.035,0.037,0.981,0.204,0.04,0.999,0.04,0.212,0.17
"GO:0005829",0.123,0.073,0.006,0.006,0.106,0,0.011,0.093,0.071,0.009,0.056,0.114,0.009,0.075,0.007,0.086,0.497,0,0.072,0.396,0,0,0,0.059,0,0.052,0.065,0,0.057,0.063,0.15,0.052,0.277,0.04,0.944,0,0
"GO:0032993",0,0,0,0,0,0.411,0,0,0,0,0,0,0,0.352,0,0,0.203,0.333,0,0,0.353,0.21,0.212,0.291,0.247,0.262,0,0.214,0,0,0.207,0.263,0,0.212,0,0.991,0.21
"GO:0042555",0,0,0,0,0,0.279,0,0,0,0,0,0,0,0.25,0,0,0.164,0.24,0,0,0.251,0.169,0.17,0.218,0.192,0.201,0,0.172,0,0,0.167,0.202,0,0.17,0,0.21,1
