"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0005576","GO:0005576",1,"GO:0005576",0.95,5.72372850600576,531,"extracellular region","extracellular region"
"GO:0005615","GO:0005615",1,"GO:0005576",0.873,5.24549144032467,850,"extracellular space","extracellular region"
