"","GO:0000502","GO:1905369","GO:1905368","GO:0005838","GO:0022624","GO:0140535"
"GO:0000502",0.993,0.987,0.965,0.912,0.912,0.75
"GO:1905369",0.987,0.992,0.971,0.906,0.907,0.321
"GO:1905368",0.965,0.971,0.991,0.884,0.885,0.329
"GO:0005838",0.912,0.906,0.884,0.997,0.996,0.676
"GO:0022624",0.912,0.907,0.885,0.996,0.997,0.677
"GO:0140535",0.75,0.321,0.329,0.676,0.677,0.958
