"","GO:0003824","GO:0016491","GO:0016615","GO:0004866","GO:0061135","GO:0030414","GO:0016772"
"GO:0003824",0.73,0.427,0.228,0,0,0,0.414
"GO:0016491",0.427,0.958,0.593,0,0,0,0.295
"GO:0016615",0.228,0.593,0.999,0,0,0,0.184
"GO:0004866",0,0,0,0.996,0.992,0.993,0
"GO:0061135",0,0,0,0.992,0.996,0.98,0
"GO:0030414",0,0,0,0.993,0.98,0.996,0
"GO:0016772",0.414,0.295,0.184,0,0,0,0.963
