"","GO:0005634","GO:0032991","GO:0005622","GO:0043226","GO:0043229","GO:0043231","GO:1990904","GO:0031981","GO:0005654","GO:0005694","GO:0043227","GO:0140535","GO:0140513","GO:0031974","GO:0043233","GO:0070013","GO:0000779","GO:0098687","GO:0110165","GO:0008023","GO:0043228","GO:0043232","GO:0000776","GO:0005829","GO:0017101","GO:0005637","GO:0005643","GO:0005681","GO:0000775","GO:0000793","GO:1902494","GO:0071011","GO:0005635","GO:0101031","GO:0005700","GO:0044611"
"GO:0110165",0.019,0,0.051,0.037,0.036,0.028,0,0.011,0.009,0.011,0.029,0,0.012,0.011,0.011,0.011,0.006,0.007,0.125,0.006,0.016,0.016,0.006,0.011,0,0.004,0.006,0.008,0.006,0.006,0,0.006,0.007,0,0.007,0.004
"GO:0008023",0.349,0.342,0.065,0.125,0.131,0.203,0.286,0.646,0.723,0.099,0.192,0.284,0.579,0.608,0.608,0.608,0.075,0.084,0.006,0.997,0.106,0.111,0.074,0.048,0.192,0.196,0.423,0.492,0.079,0.079,0.301,0.448,0.243,0.19,0.084,0.341
"GO:0043228",0.23,0,0.013,0.302,0.3,0.273,0,0.166,0.152,0.694,0.276,0,0.179,0.007,0.174,0.174,0.443,0.523,0.016,0.106,0.864,0.864,0.435,0.007,0,0.088,0.107,0.135,0.475,0.475,0,0.116,0.121,0,0.529,0.079
"GO:0043232",0.243,0,0.167,0.302,0.316,0.287,0,0.175,0.16,0.694,0.276,0,0.189,0.007,0.174,0.183,0.443,0.523,0.016,0.111,0.864,0.864,0.435,0.086,0,0.092,0.112,0.143,0.475,0.475,0,0.123,0.127,0,0.529,0.083
"GO:0000776",0.117,0,0.065,0.125,0.131,0.126,0,0.098,0.093,0.635,0.12,0,0.103,0.004,0.096,0.101,0.986,0.866,0.006,0.074,0.435,0.435,0.997,0.048,0,0.065,0.075,0.087,0.936,0.936,0,0.079,0.081,0,0.54,0.06
"GO:0005829",0.093,0,0.123,0.009,0.114,0.106,0,0.071,0.065,0.072,0.009,0,0.075,0.006,0.006,0.073,0.048,0.056,0.011,0.048,0.007,0.086,0.048,0.944,0,0.04,0.048,0.059,0.051,0.051,0,0.052,0.054,0,0.057,0.036
"GO:0017101",0,0.283,0,0,0,0,0.243,0,0,0,0,0.568,0.254,0,0,0,0,0,0,0.192,0,0,0,0,0.999,0,0.193,0.221,0,0,0.483,0.203,0,0.4,0,0.16
"GO:0005637",0.287,0,0.052,0.1,0.105,0.164,0,0.249,0.238,0.084,0.155,0,0.258,0.003,0.081,0.085,0.066,0.072,0.004,0.196,0.088,0.092,0.065,0.04,0,0.999,0.729,0.225,0.069,0.069,0,0.207,0.783,0,0.073,0.603
"GO:0005643",0.353,0.346,0.066,0.126,0.133,0.205,0.289,0.297,0.282,0.1,0.194,0.286,0.585,0.004,0.096,0.102,0.076,0.084,0.006,0.423,0.107,0.112,0.075,0.048,0.193,0.729,0.997,0.496,0.079,0.079,0.304,0.451,0.908,0.191,0.085,0.804
"GO:0005681",0.453,0.445,0.089,0.169,0.177,0.27,0.811,0.365,0.342,0.123,0.255,0.351,0.726,0.005,0.119,0.126,0.088,0.1,0.008,0.492,0.135,0.143,0.087,0.059,0.221,0.225,0.496,0.985,0.093,0.093,0.378,0.879,0.29,0.218,0.101,0.388
"GO:0000775",0.128,0,0.073,0.139,0.145,0.139,0,0.106,0.1,0.686,0.133,0,0.111,0.004,0.103,0.109,0.947,0.924,0.006,0.079,0.475,0.475,0.936,0.051,0,0.069,0.079,0.093,0.995,0.537,0,0.084,0.087,0,0.577,0.063
"GO:0000793",0.128,0,0.073,0.139,0.145,0.139,0,0.106,0.1,0.686,0.133,0,0.111,0.004,0.103,0.109,0.947,0.573,0.006,0.079,0.475,0.475,0.936,0.051,0,0.069,0.079,0.093,0.537,0.995,0,0.084,0.087,0,0.577,0.063
"GO:1902494",0,0.607,0,0,0,0,0.45,0,0,0,0,0.445,0.486,0,0,0,0,0,0,0.301,0,0,0,0,0.483,0,0.304,0.378,0,0,0.929,0.329,0,0.251,0,0.228
"GO:0071011",0.386,0.379,0.073,0.14,0.147,0.227,0.713,0.32,0.303,0.108,0.214,0.309,0.633,0.004,0.104,0.11,0.08,0.09,0.006,0.448,0.116,0.123,0.079,0.052,0.203,0.207,0.451,0.879,0.084,0.084,0.329,0.995,0.261,0.201,0.091,0.36
"GO:0005635",0.402,0,0.077,0.147,0.154,0.237,0,0.331,0.313,0.112,0.224,0,0.347,0.004,0.108,0.114,0.082,0.093,0.007,0.243,0.121,0.127,0.081,0.054,0,0.783,0.908,0.29,0.087,0.087,0,0.261,0.993,0,0.093,0.72
"GO:0101031",0,0.279,0,0,0,0,0.24,0,0,0,0,0.561,0.25,0,0,0,0,0,0,0.19,0,0,0,0,0.4,0,0.191,0.218,0,0,0.251,0.201,0,1,0,0.158
"GO:0005700",0.143,0,0.083,0.158,0.165,0.157,0,0.116,0.11,0.753,0.151,0,0.122,0.005,0.114,0.12,0.547,0.619,0.007,0.084,0.529,0.529,0.54,0.057,0,0.073,0.085,0.101,0.577,0.577,0,0.091,0.093,0,0.989,0.067
"GO:0044611",0.256,0.251,0.046,0.089,0.093,0.146,0.219,0.226,0.217,0.076,0.138,0.218,0.44,0.003,0.073,0.077,0.061,0.066,0.004,0.341,0.079,0.083,0.06,0.036,0.16,0.603,0.804,0.388,0.063,0.063,0.228,0.36,0.72,0.158,0.067,1
