,KEGG,GRxWT.C,GRxWT.Df,GRxWT.OE,GR.CxDf,WT.CxDf,GR.CxOE,WT.CxOE,GR.DfxWT.C,GR.OExWT.C
leucine / leucine(iso) / norleucine,C16439 / C16434 / C01933,0.811623468,0.203803712,0.976472734,0.4969228,0.381211266,0.946738627,0.782189014,0.644191741,0.730847888
L-tyrosine methyl ester,C03404,0.769487434,0.287459934,0.899364334,0.339054357,0.684309593,0.350397043,0.458551875,0.385604603,0.397436424
malic acid,C00711,0.645286614,0.021484463,0.979725695,0.010355226,0.818146389,0.863403763,0.649608215,0.066746951,0.576443726
malonic acid,C00383,0.74494457,0.409614788,0.800584772,0.611091879,0.519667734,0.70308742,0.648858036,0.78597027,0.907276179
methyl acetoacetate,n/a,0.776609454,0.658143064,0.051770032,0.586820515,0.228581059,0.200542278,0.435768679,0.378739408,0.263570649
mevalonic acid,C00418,0.824981836,0.705908432,0.280222724,0.306618427,0.340309234,0.009011995,0.804136931,0.56090176,0.124225241
N1/N8-acetylspermidine,C00612 / C01029,0.847446798,0.278192811,0.85999893,0.318093641,0.424735535,0.424732043,0.29184653,0.301371576,0.12940831
N1-acetylspermine,C02567,0.843577198,0.559632448,0.352992511,0.862840356,0.564378351,0.775103396,0.451814176,0.984669635,0.629552116
N-acetyl-DL-serine / O-acetyl-L-serine,n/a / C00979,0.801343409,0.700571894,0.788678769,0.640464694,0.675106974,0.745473852,0.616791221,0.803456303,0.447247438
N-acetylglycine,n/a,0.921401153,0.635653679,0.999589347,0.42934703,0.347396193,0.616654798,0.607595964,0.248146166,0.614338564
NADH,C00004,0.709047116,0.139092617,0.03465745,0.383989802,0.082513622,0.780661611,0.370939705,0.658944436,0.504830309
nicotinic acid,C00253,0.933911083,0.303141499,0.971064152,0.829884731,0.494711626,0.842198306,0.981454736,0.831094799,0.953076382
norepinephrine / pyridoxine,C00547 / C00314,0.605742875,0.720739392,0.392795139,0.331707018,0.031711671,0.521799106,0.778961271,0.097047606,0.212549181
phenethylamine,C05332,0.923517198,0.629569791,0.081654968,0.053275661,0.050714694,0.491314096,0.071138457,0.048043077,0.460419887
pseudouridine,C02067,0.722374141,0.003978185,0.469235246,0.365562054,0.068243984,0.756294883,0.426068613,0.276296937,0.964713349
pyroglutamic acid,C01879-C02237,0.937024337,0.004865341,0.721538972,0.501308684,0.509156348,0.949613007,0.698169243,0.233012674,0.98931688
pyruvic acid,C00022,0.909600658,0.15099338,0.126290298,0.220493096,0.747446281,0.714451118,0.306039756,0.239555757,0.808500072
sarcosine,C00213,0.77154732,0.147830048,0.782910231,0.55238701,0.147131578,0.671304133,0.832511129,0.847923886,0.985185751
spermidine,C00315,0.935969962,0.728751426,0.279476473,0.882067658,0.551650755,0.758318782,0.403422713,0.798867613,0.777237543
taurine,C00245,0.725679715,0.288835004,0.348874917,0.162507923,0.067866413,0.522066758,0.790766206,0.016855065,0.189838479
thiamine diphosphate+,C00068,0.572473383,0.959774478,0.572795887,0.902328169,0.6106982,0.906290588,0.935939778,0.609910845,0.621484949
tyramine,C00483,0.934201486,0.822014681,0.659155235,0.200556662,0.031305418,0.530437307,0.268166462,0.013683957,0.154873783
tyrosine,C01536,0.877140988,0.004228948,0.196722661,0.86365116,0.351513706,0.909232291,0.419497109,0.634342556,0.712336638
uracil,C00106,0.573843802,0.073393276,0.749405634,0.250962919,0.185818314,0.246795628,0.555896458,0.765226491,0.706582583
xanthosine,C01762,0.587903424,0.899014864,0.720307157,0.515536596,0.835501273,0.613696674,0.377526892,0.683257519,0.743918875
xanthurenic acid,C02470,0.701346062,0.00106725,0.113083701,0.02382147,0.9717374,0.629410589,0.100550704,0.024642903,0.808784317
xylitol / arabitol / ribito,C00379 / C01904 / C00532 / C00474,0.815770257,0.064697225,0.162366949,0.055042561,0.167084841,0.226352392,0.986296057,0.026740861,0.126453695
"1,3-bisphospho-D-glycerate",C00236,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-methylnicotinamide+,C02918,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-phenylethylamine,C02455,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-ketovaleric acid,C06255,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-oxobutanoic acid,C00109,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3,4-dihydroxymandelic acid",C05580,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3,4-dihydroxyphenylpropanoate",C10447,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-hydroxybutanoic acid,C01089,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-aminopentanoic acid,C00431,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-methyl-THF,C00440,NA,NA,NA,NA,NA,NA,NA,NA,NA
6-O-methylguanine,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA
6-phosphoglucono-D-lactone,C01236,NA,0.267854061,NA,NA,0.360869891,NA,0.583415973,0.929339398,NA
acetyl-CoA,C00024,NA,NA,NA,NA,NA,NA,NA,NA,NA
alanine methyl ester,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA
anandamide,C11695,NA,NA,NA,NA,NA,NA,NA,NA,NA
bilirubin,C00486,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenzyme A +,C00010,NA,NA,NA,NA,NA,NA,NA,0.762940703,0.096347481
cortisol,C00735,NA,NA,NA,NA,NA,NA,NA,NA,NA
creatinine,C00791,NA,NA,NA,NA,NA,NA,NA,NA,NA
CTP,C00063,NA,NA,NA,NA,NA,NA,NA,NA,NA
cysteine-S-sulfate,C05824,NA,NA,NA,NA,NA,NA,NA,NA,NA
dADP,C00206,NA,NA,NA,0.126748274,NA,0.110448856,NA,NA,NA
dATP,C00131,NA,NA,NA,NA,NA,NA,NA,NA,NA
dCDP,C00705,NA,NA,NA,NA,NA,NA,NA,NA,NA
dCMP,C00239,NA,0.198492785,0.264130164,NA,0.827738879,NA,0.029236434,0.108990206,0.01104138
dCTP,C00458,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOPAC,C01161,NA,NA,NA,NA,NA,NA,NA,NA,NA
dTTP,C00459,NA,NA,NA,NA,NA,NA,NA,NA,NA
dUMP,C00365,NA,NA,NA,NA,NA,NA,NA,NA,NA
dUTP,C00460,NA,NA,NA,NA,NA,NA,NA,NA,NA
folate,C00504,NA,NA,NA,NA,NA,NA,NA,NA,NA
geranyl-PP,C00341,NA,NA,NA,NA,NA,NA,NA,NA,NA
guanidinoacetate,C00581,NA,NA,NA,NA,NA,NA,NA,NA,NA
gulonic-lactone,C01040,NA,NA,NA,NA,NA,NA,NA,NA,NA
homocysteine,C05330,NA,NA,NA,NA,NA,NA,NA,NA,NA
homocystine,C01817,NA,NA,NA,NA,NA,NA,NA,NA,NA
hydroxypyruvic acid,C00168,NA,NA,NA,NA,NA,NA,NA,NA,NA
isopentenyl pyrophosphate,C00129,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-cysteic acid,C00506,NA,NA,NA,NA,NA,NA,NA,NA,NA
levulinic acid,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA
lipoamide,C00248,NA,NA,NA,NA,NA,NA,NA,NA,NA
malonyl-CoA,C00083,NA,NA,NA,NA,NA,NA,NA,NA,NA
mandelic acid / vanillin,C01984 / C00755,NA,NA,NA,NA,NA,NA,NA,NA,NA
methylglyoxal,C00546,NA,NA,0.080175806,NA,NA,NA,0.642122918,NA,0.113367955
N-acetylaspartylglutamic acid,C12270,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-carbamoyl-L-aspartate,C00438,NA,NA,NA,0.219452878,NA,0.139320306,NA,NA,NA
nebularine,C01736,NA,NA,NA,NA,NA,NA,NA,NA,NA
nicotinamide,C00153,NA,NA,0.193237498,NA,0.075261464,NA,0.783487141,NA,0.091349566
N-methyl-alanine,C02721,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-methyltryptamine,C06213,NA,NA,NA,NA,NA,NA,NA,NA,NA
octopamine,C04227,NA,NA,NA,NA,NA,NA,NA,NA,NA
orotidylic acid,C01103,NA,NA,NA,NA,NA,NA,NA,NA,NA
oxalacetic acid,C00036,NA,NA,NA,NA,NA,NA,NA,NA,NA
phenylephrine / synephrine,C07441 / C04548,NA,NA,NA,NA,NA,NA,NA,NA,NA
phenylethanolamine,C02735,NA,NA,NA,NA,NA,NA,NA,NA,NA
phosphocreatine,C02305,NA,0.621087327,NA,NA,0.536518727,NA,0.646827535,0.761102945,NA
picolinic acid,C10164,NA,NA,NA,NA,NA,NA,NA,NA,NA
propionic acid,C00163,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRPP,C00119,NA,NA,NA,NA,NA,NA,NA,NA,NA
purine,C15587,NA,NA,NA,NA,NA,NA,NA,NA,NA
quinolinic acid,C03722,NA,NA,NA,NA,NA,NA,NA,NA,NA
S-adenosylmethioninamine+,C01137,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAICAR,C04823,NA,NA,NA,NA,NA,NA,NA,NA,NA
succinic semialdehyde,C00232,NA,NA,NA,NA,NA,NA,NA,NA,NA
succinyl-CoA,C00091,NA,NA,NA,NA,NA,NA,NA,NA,NA
tryptamine,C00398,NA,NA,NA,NA,NA,NA,NA,NA,NA
uracil 5-carboxylic acid,C03030,NA,NA,NA,NA,NA,NA,NA,NA,NA
UTP,C00075,NA,NA,NA,NA,NA,NA,NA,NA,NA
