from,to,arrows,color,width,title,FBgn,physics
cis-Aconitate,Isocitrate,to;from,black,0,NA,FBgn0024957,T
Citrate,cis-Aconitate,to;from,black,0,NA,FBgn0024957,T
cis-Aconitate,Isocitrate,to;from,black,0,NA,FBgn0024958,T
Citrate,cis-Aconitate,to;from,black,0,NA,FBgn0024958,T
"Glycerate-2,3P",Glycerate-2P,to,black,0,NA,FBgn0026060,T
"Glycerate-2,3P",Glycerate-2P,to,black,0,NA,FBgn0026061,T
adenosine,AMP,to;from,black,0,NA,FBgn0026602,T
NAD+,NADP+,to,black,0,NA,FBgn0026619,T
Isocitrate,alpha-Ketoglutarate,to;from,black,0,NA,FBgn0027291,T
NAD+,NADP+,to,black,0,NA,FBgn0027330,T
IMP,adenylosuccinate,to,black,0,NA,FBgn0027493,T
Pyruvate,Oxaloacetate,to,black,0,NA,FBgn0027580,T
Pyruvate,Acetyl-CoA,to,black,0,NA,FBgn0028325,T
alpha-D-Glucose 6-phosphate,beta-D-Glucose 6P,to;from,black,0,NA,FBgn0028540,T
ATP,ADP,to;from,black,0,NA,FBgn0028997,T
dATP,dADP,to;from,black,0,NA,FBgn0028997,T
dGTP,dGDP,to;from,black,0,NA,FBgn0028997,T
GTP,GDP,to;from,black,0,NA,FBgn0028997,T
Succinyl-CoA,Succinate,to;from,black,0,NA,FBgn0029118,T
Pyruvate,Acetyl-CoA,to,black,0,NA,FBgn0029722,T
Fumarate,Malate,to;from,black,0,NA,FBgn0029890,T
6-phosphoglucono-D-lactone,6-phosphogluconic acid,to,black,0,NA,FBgn0030239,T
NAAD,NAD+,to,black,0,NA,FBgn0030512,T
beta-D-Glucose,Glucose,to,black,0,NA,FBgn0030525,T
ATP,ADP,to;from,black,0,NA,FBgn0030573,T
dATP,dADP,to;from,black,0,NA,FBgn0030573,T
dGTP,dGDP,to;from,black,0,NA,FBgn0030573,T
GTP,GDP,to;from,black,0,NA,FBgn0030573,T
Succinate,Fumarate,to;from,black,0,NA,FBgn0030975,T
"Glycerate-1,3P",Glycerate-3P,to;from,black,0,NA,FBgn0031451,T
phosphoenolpyruvate,Pyruvate,to,black,0,NA,FBgn0031462,T
alpha-D-Glucose 6-phosphate,Glucose,to,black,0,NA,FBgn0031463,T
NAD+,NADP+,to,black,0,NA,FBgn0031815,T
N-Formylkynurenine,kynurenine,to,black,0,NA,FBgn0031821,T
dAMP,deoxyadenosine,to,black,0,NA,FBgn0031836,T
beta-D-Glucose,Glucose,to,black,0,NA,FBgn0032372,T
D-Fructose 6-phosphate,"D-Fructose-1,6P",to;from,black,0,NA,FBgn0032820,T
D-Fructose 6-phosphate,"D-Fructose-1,6P",from,black,0,NA,FBgn0032820,T
D-Glucose 1P,alpha-D-Glucose 6-phosphate,to,black,0,NA,FBgn0033377,T
AMP,adenosine,to,black,0,NA,FBgn0033538,T
dAMP,deoxyadenosine,to,black,0,NA,FBgn0033538,T
GMP,guanosine,to,black,0,NA,FBgn0033538,T
IMP,inosine,to,black,0,NA,FBgn0033538,T
nicotinamide riboside+,NMN,to,black,0,NA,FBgn0033538,T
XMP,xanthosine,to,black,0,NA,FBgn0033538,T
AMP,ADP,to;from,black,0,NA,FBgn0033754,T
dADP,dAMP,to;from,black,0,NA,FBgn0033754,T
adenosine,inosine,to,black,0,NA,FBgn0033952,T
deoxyadenosine,deoxyinosine,to,black,0,NA,FBgn0033952,T
D-Glucose 1P,alpha-D-Glucose 6-phosphate,to,black,0,NA,FBgn0033969,T
ATP,cAMP,to,black,0,NA,FBgn0033984,T
D-Glyceraldehyde 3-phosphate,"Glycerate-1,3P",to;from,black,0,NA,FBgn0034173,T
AMP,adenosine,to,black,0,NA,FBgn0034225,T
dAMP,deoxyadenosine,to,black,0,NA,FBgn0034225,T
GMP,guanosine,to,black,0,NA,FBgn0034225,T
IMP,inosine,to,black,0,NA,FBgn0034225,T
nicotinamide riboside+,NMN,to,black,0,NA,FBgn0034225,T
XMP,xanthosine,to,black,0,NA,FBgn0034225,T
Oxaloacetate,phosphoenolpyruvate,to,black,0,NA,FBgn0034356,T
adenine,deoxyadenosine,to;from,black,0,NA,FBgn0034898,T
adenosine,adenine,to;from,black,0,NA,FBgn0034898,T
deoxyguanosine,guanine,to,black,0,NA,FBgn0034898,T
guanine,guanosine,to;from,black,0,NA,FBgn0034898,T
hypoxanthine,inosine,to;from,black,0,NA,FBgn0034898,T
hypoxanthine,deoxyinosine,to;from,black,0,NA,FBgn0034898,T
nicotinamide riboside+,nicotinamide,to;from,black,0,NA,FBgn0034898,T
xanthosine,xanthine,to,black,0,NA,FBgn0034898,T
Isocitrate,alpha-Ketoglutarate,to;from,black,0,NA,FBgn0035005,T
alpha-Ketoglutarate,Succinyl-CoA,to,black,0,NA,FBgn0035240,T
adenine,deoxyadenosine,to;from,black,0,NA,FBgn0035348,T
adenosine,adenine,to;from,black,0,NA,FBgn0035348,T
deoxyguanosine,guanine,to,black,0,NA,FBgn0035348,T
guanine,guanosine,to;from,black,0,NA,FBgn0035348,T
hypoxanthine,inosine,to;from,black,0,NA,FBgn0035348,T
hypoxanthine,deoxyinosine,to;from,black,0,NA,FBgn0035348,T
nicotinamide riboside+,nicotinamide,to;from,black,0,NA,FBgn0035348,T
xanthosine,xanthine,to,black,0,NA,FBgn0035348,T
beta-D-Glucose,Glucose,to,black,0,NA,FBgn0035679,T
D-Ribose-5P,PRPP,to;from,black,0,NA,FBgn0036030,T
dGDP,dGMP,to;from,black,0,NA,FBgn0036099,T
GDP,GMP,to;from,black,0,NA,FBgn0036099,T
Fumarate,Malate,to;from,black,0,NA,FBgn0036162,T
Succinate,Fumarate,to;from,black,0,NA,FBgn0036222,T
Malate,Oxaloacetate,to;from,black,0,NA,FBgn0036327,T
Malate,Oxaloacetate,to;from,black,0,NA,FBgn0036328,T
adenosine,AMP,to;from,black,0,NA,FBgn0036337,T
beta-D-Glucose,beta-D-Glucose 6P,to,black,0,NA,FBgn0036402,T
Glucose,alpha-D-Glucose 6-phosphate,to,black,0,NA,FBgn0036402,T
NAD+,NADP+,to,black,0,NA,FBgn0036662,T
