Gene name,NBs,GMCs,Hey,Secondary neurons (low Imp),Secondary neurons (high Imp),Secondary motor neurons,Motor neurons,Interneurons,Glia precursors,Midline glia,Subperineurial glia,Cortex glia 1,Cortex glia 2,Astrocytes,Ensheathing glia,Trachea,Twi+,Unannotated
Syt14,1.612070876,1.298578981,1.891699239,1.048113134,1.026933916,1.036275697,1.844175589,2.526712975,1.01593741,1,1.019537869,1.007796118,1.024403855,1.012524185,1.039345109,1.058781152,1.02144877,1.097627856
CG9795,2.035727109,1.431222046,2.083975417,1.439339571,1.433337204,1.261705498,2.523160602,3.570389979,1.110436075,1.511775071,1.223587563,1.132303632,1.470751388,1.282649831,1.433588739,1.764052995,1.681924325,1.091256077
CG9776,3.1215497,1.866376803,2.037752805,5.000110381,3.521232069,1.798764086,2.907590393,2.480668261,1.15978552,2.091764656,1.254409619,1.218999065,2.440251312,1.390731345,2.524844505,2.458655464,1.870205806,1.273299205
Skp2,1.023175774,1.013126835,1.025403139,11.24657822,1.7015705,1.153191022,1.097788403,1.16277372,1.084409049,1.193776642,1.200139397,1.059973749,1.762273451,1.443641837,1.807104387,2.064090249,2.146827921,1.03253896
CG1103,1.674482438,1.310401082,1.305387813,5.492826968,1.847254604,1.492495545,10.69481853,2.631042089,1.194684472,1.383648068,2.057431241,1.302180428,27.52900888,2.880444153,9.138898517,16.54263362,4.911840318,1.097627856
hkb,1.612070876,1.316206956,1.187047466,1.357228783,1.785814342,1.895914368,3.705797513,3.256713487,1.017947364,1,1.011118184,1.007796118,1.024403855,1.006242607,1.137276124,1.062567649,1.032345062,1.075487984
CG1090,1.776404092,1.079003723,3.317140805,1.023773966,1.009711428,1.02057056,3.33811128,118.0008088,1.032128821,1,1.016723545,1.01171694,1.043096786,1.025205225,1.052801194,1.05124859,1.02144877,1.0176193
CR44922,1.282754341,1.036457509,1.942045589,1,1.004843982,1.006810367,1.624414736,8.922349543,1.01593741,1,1.011118184,1.01171694,1.006045913,1.018844976,1.026061009,1.021650438,1,1.0176193
Sfxn1-3,2.328690703,1.36570113,3.66077842,1.023773966,1.021983447,1.034518815,2.532594388,49.35040656,1.175942986,3.88815518,1.3367507,2.059014283,1.191012255,1.314979308,1.152000093,2.116320288,1.111944086,1.053794688
Cont,1.356736215,1.171736065,1.251442559,1.34137751,1.195775161,1.112822606,1.972312326,1.439285549,1.088704132,1.914481976,1.257881865,1.163502404,1.303716752,1.197783644,1.548617398,3.786993622,1.172531244,1.081767694
tub,4.084649091,1.807506108,2.798573277,4.143305331,1.582597259,1.447599716,4.175856278,4.001625314,1.22577855,1.511775071,1.340450868,1.317437998,2.671170259,1.507920267,2.798513294,2.678594525,1.646606638,1.133343525
CG14646,1.494139688,1.221994395,1.299621747,1.820556165,1.295021623,1.151235924,1.541723467,1.466000726,1.150652555,1.467799268,1.196826543,1.119190148,1.669218114,1.348123657,1.630386245,1.660179469,1.345960324,1.035549039
CG34112,1.015187394,1.014023002,1.007405474,1.011817161,1,1.022303755,1.057575017,1.014821773,1.003960759,1.029960366,1.013916991,1.007796118,1.012128379,1.006242607,1.108390354,1.311684714,1.010667487,1.002915221
CG9855,2.141484064,1.585453814,2.103749879,2.357485225,1.51890987,1.411219907,2.430734019,4.213089053,1.155210012,1.383648068,1.264855217,1.200212126,1.976111831,1.399413135,2.24882317,1.977534327,1.773568335,1.11696729
CG9853,3.01973323,1.8107052,2.537368193,5.240681363,2.584532226,1.594604226,3.705797513,7.050871689,1.213724648,1.467799268,1.3367507,1.374927925,2.591866124,1.604742688,3.06219977,2.64061707,1.993146267,1.149959857
CG14647,2.01861585,1.492940263,2.058910786,5.059197488,2.182376597,1.589201885,2.504398319,3.428812761,1.084409049,1.304321387,1.464422074,1.257459765,1.805279717,1.399413135,2.798513294,2.363977893,1.972108821,1.143284288
CR45187,1.082186653,1.038291928,1.052382946,1.048113134,1.007274765,1.022303755,1.073480514,1.116666076,1.013931426,1,1.019537869,1.003890491,1.024403855,1,1.026061009,1.062567649,1.032345062,1.002915221
lost,1720.536088,49.93184939,163.6513182,11787.68635,59.19676941,17.18214488,653484.0743,2640737.542,5.219111397,29.80979397,80.60510444,17.76554008,2086.275835,92.80418637,3142.003785,27759.44972,3848.162971,2.818793174
CG32944,4.21982635,1.55491218,2.437541753,1.023773966,1.034404619,1.041564267,7.875393906,24.98984591,1.050652813,1,1.028027665,1.023571167,1.075012744,1.044525192,1.066431491,1.077849537,1,1.069244728
srl,2.02471044,1.337913249,1.862339948,1.908148828,1.633095351,1.188956066,2.070357676,1.903499275,1.065289904,1.092600861,1.077489298,1.101941441,1.295881963,1.23563981,1.807104387,1.942549494,1.612030565,1.084921286
eIF3a,29.65603726,6.26427046,7.413671266,51.79474679,37.22450756,6.632319486,49.57923689,18.82610096,1.68170987,2.091764656,2.415200452,2.639885923,12.27454029,5.434193956,51.89001532,69.23251007,23.12359209,1.769243508
CG1074,1.420351765,1.182664793,1.330278521,1.562706977,1.349321452,1.184928015,1.570761365,1.543470746,1.044441501,1.125335583,1.051014345,1.064097567,1.359902754,1.097843767,1.509283936,1.523862341,1.23641965,1.050731573
CG9804,2.201708833,1.463533632,1.8744711,3.861310214,1.339576349,1.22999742,2.30699685,3.18562674,1.213724648,1.125335583,1.318402504,1.364291745,1.883081471,1.507920267,1.902521656,2.086314829,1.830934513,1.094437329
CG14650,3.014276115,1.807106619,2.136914933,2.470911228,1.597966539,1.380431111,2.995706003,2.554749029,1.077998175,1.229542627,1.104631153,1.068237429,1.751682928,1.220355848,2.136037823,1.949496593,1.75484851,1.104036839
CG31522,2.482377158,1.527657903,2.314845006,2.329951811,2.679919328,1.533570544,4.482700342,7.07685432,1.071625202,1.266380173,1.116912645,1.080753904,1.288094257,1.125515166,1.528824176,1.584893192,1.345960324,1.153312244
CR43629,1.020711139,1.012679049,1.021778065,1.060498855,1.062265186,1.018840303,1.034157557,1.1415843,1.001978422,1.159051048,1.016723545,1.015653016,1.043096786,1.012524185,1.039345109,1.085572704,1.077105056,1.00583894
CG31523,1.436716368,1.239404353,1.457296119,2.197033782,1.239907528,1.180913611,2.570683573,5.571939469,1.157495505,2.15443469,1.539128606,1.532842278,1.689463024,1.718443015,1.672875756,2.485128427,2.859046364,1.069244728
Fip1,6.505818026,2.854969157,3.051343892,16.76832937,8.88348597,2.962296957,8.11406065,5.234194301,1.216125908,1.42510267,1.325711366,1.277142803,3.524685881,1.575060707,7.157289818,7.844651295,3.424224356,1.334006752
CG34357,1.16268525,1.010889881,1.931186192,1.011817161,1.007274765,1.003399405,1.200650294,2.959688509,1.001978422,1,1.005543725,1.003890491,1,1.006242607,1,1.003576279,1,1.002915221
CR45558,1.015799664,1.002212856,1.011277969,1,1,1,1.030305372,1.01109586,1.001978422,1,1,1,1,1,1,1,1,1
CR44317,1.057036724,1.009773258,1.078480009,1,1.002419065,1.005103439,1.174064775,1.060618274,1.001978422,1,1,1.003890491,1,1,1,1.003576279,1,1.0176193
5-HT2A,1.278893116,1.023707003,1.539983336,1,1,1,1.618363873,1.861950157,1.005947017,1.092600861,1.002768032,1.01171694,1,1.006242607,1,1.010767252,1,1.03253896
CG9775,14.88744294,4.51044161,9.363055231,38.16213408,22.30352756,4.558334486,13.03385645,27.80285898,1.427270987,2.353937198,1.714326891,1.556835883,5.506018881,2.375065962,10.12946696,6.175863299,2.828869435,1.529595106
slx1,1.089387803,1.050062916,1.078161767,1.279802214,1.139365773,1.084856123,1.23242855,1.377138551,1.013931426,1.029960366,1.016723545,1.01171694,1.107905243,1.057607019,1.122740346,1.081704228,1.147909986,1.008771183
