from,to,arrows,color,width,title,FBgn,physics
ATP,cAMP,to,black,0,NA,FBgn0040510,T
ATP,cAMP,to,black,0,NA,FBgn0052301,T
ATP,cAMP,to,black,0,NA,FBgn0052305,T
uric acid,Excretion,to,black,0,NA,NA,T
dATP,DNA.A,to,black,0,NA,NA,T
dGTP,DNA.G,to,black,0,NA,NA,T
ATP,RNA.A,to,black,0,NA,NA,T
GTP,RNA.G,to,black,0,NA,NA,T
GTP,Riboflavin.Metabolism,to,black,0,NA,NA,T
GTP,Folate.Biosynthesis,to,black,0,NA,NA,T
FAICAR,IMP,to;from,black,0,NA,FBgn0039241,T
AICA ribonucleotide,FAICAR,to,black,0,NA,FBgn0039241,T
SAICAR,AICA ribonucleotide,to;from,black,0,NA,FBgn0038467,T
CAIR,SAICAR,to;from,black,0,NA,FBgn0020513,T
AIR,CAIR,to;from,black,0,NA,FBgn0020513,T
FGAM,AIR,to,black,0,NA,FBgn0000053,T
FGAR,FGAM,to,black,0,NA,FBgn0000052,T
GAR,FGAR,to,black,0,NA,FBgn0000053,T
Ribosylamine-5p,GAR,to,black,0,NA,FBgn0000053,T
PRPP,Ribosylamine-5p,to,black,0,NA,FBgn0004901,T
PRPP,Ribosylamine-5p,to,black,0,NA,FBgn0041194,T
D-Ribose-5P,PRPP,to;from,black,0,NA,FBgn0036030,T
D-Ribulose 5P,D-Ribose-5P,to;from,black,0,NA,FBgn0050410,T
6-phosphogluconic acid,D-Ribulose 5P,to,black,0,NA,FBgn0004654,T
6-phosphoglucono-D-lactone,6-phosphogluconic acid,to,black,0,NA,FBgn0030239,T
beta-D-Glucose 6P,6-phosphoglucono-D-lactone,to,black,0,NA,FBgn0004057,T
beta-D-Glucose 6P,6-phosphoglucono-D-lactone,to,black,0,NA,FBgn0037147,T
D-Ribulose 5P,D-Xylulose 5-phosphate,to;from,black,0,NA,FBgn0050499,T
D-Fructose 6-phosphate,"D-Fructose-1,6P",to,black,0,NA,FBgn0003071,T
D-Fructose 6-phosphate,"D-Fructose-1,6P",to;from,black,0,NA,FBgn0032820,T
"D-Fructose-1,6P",D-Glyceraldehyde 3-phosphate,to;from,black,0,NA,FBgn0039425,T
"D-Fructose-1,6P",D-Glyceraldehyde 3-phosphate,to;from,black,0,NA,FBgn0000064,T
NC1,D-erythrose-4-phosphate,to,black,0,NA,FBgn0023477,F
NC1,D-Fructose 6-phosphate,to,black,0,NA,FBgn0023477,F
NC32,D-Glyceraldehyde 3-phosphate,to,black,0,NA,FBgn0023477,F
NC1,D-sedoheptulose-7-phosphate,to,black,0,NA,FBgn0023477,F
NC2,NC10,to,black,0,NA,FBgn0037607,F
NC3,NC15,to,black,0,NA,FBgn0036784,F
NC2,NC11,to,black,0,NA,FBgn0037607,F
NC3,NC16,to,black,0,NA,FBgn0036784,F
NC2,NC34,to,black,0,NA,FBgn0037607,F
NC3,NC35,to,black,0,NA,FBgn0036784,F
NC4,NC22,to,black,0,NA,FBgn0037607,F
NC6,NC23,to,black,0,NA,FBgn0037607,F
NC12,NC14,to,black,0,NA,FBgn0037607,F
NC33,NC19,to,black,0,NA,FBgn0037607,F
NC4,NC20,to,black,0,NA,FBgn0037607,F
NC6,NC21,to,black,0,NA,FBgn0037607,F
NC27,NC26,to,black,0,NA,FBgn0037607,F
NC29,NC24,to,black,0,NA,FBgn0037607,F
NC25,NC28,to,black,0,NA,FBgn0037607,F
NC30,NC31,to,black,0,NA,FBgn0037607,F
nicotinamide riboside+,nicotinamide,to;from,black,0,NA,FBgn0034898,T
nicotinamide riboside+,nicotinamide,to;from,black,0,NA,FBgn0035348,T
nicotinamide riboside+,NMN,to,black,0,NA,FBgn0033538,T
nicotinamide riboside+,NMN,to,black,0,NA,FBgn0050104,T
nicotinamide riboside+,NMN,to,black,0,NA,FBgn0052549,T
nicotinamide riboside+,NMN,to,black,0,NA,FBgn0259101,T
nicotinamide riboside+,NMN,to,black,0,NA,FBgn0034225,T
nicotinamide,NMN,to,black,0,NA,,T
NMN,NAD+,to,black,0,NA,FBgn0039254,T
NAD+,NADP+,to,black,0,NA,FBgn0026619,T
NAD+,NADP+,to,black,0,NA,FBgn0027330,T
NAD+,NADP+,to,black,0,NA,FBgn0031815,T
NAD+,NADP+,to,black,0,NA,FBgn0036662,T
NAD+,NADP+,to,black,0,NA,FBgn0053156,T
NAD+,NADP+,to,black,0,NA,FBgn0053337,T
NAD+,NADH,to;from,black,0,NA,,T
NADP+,NADPH,to;from,black,0,NA,,T
nicotinic acid,NAMN,to,black,0,NA,,T
NAMN,NAAD,to,black,0,NA,FBgn0039254,T
NAAD,NAD+,to,black,0,NA,FBgn0030512,T
