"","AHH0020","AHH0021","AHH0027","AHH0023","AHH0024"
"FBgn0000003",11570.3943465494,9446.76734898353,4544.12158782529,6837.9814534444,4009.57977793627
"FBgn0000008",4.73378885565598,9.76461868181634,11.35027829548,2.78325269122913,8.2408119091824
"FBgn0000014",56.6025896026294,24.6157497568222,49.1197268418951,31.9878055780699,35.5969091747157
"FBgn0000015",62.0802595641741,12.0665439984422,33.2244762953343,34.0654449109593,18.5205875897089
"FBgn0000017",292.412900169378,397.936057154781,314.040569284575,315.605174888531,225.26301832162
"FBgn0000018",7.57406216904957,7.3884377098154,9.38160047549307,2.70485120696915,8.15585508537639
"FBgn0000022",0.743881105888797,0.742556553750292,0.413179295552804,2.97925640187906,0
"FBgn0000024",9.60282882147356,15.7050711118187,13.8536587332411,16.8563191158947,9.47268585436946
"FBgn0000028",2.09639220750479,2.52469228275099,2.16311513554115,1.99923784862937,5.18236625216625
"FBgn0000032",13.1869832407559,10.9898369955043,14.8501499754566,11.1330107649165,5.05493101645724
"FBgn0000036",8.31794327493837,10.5814308909417,8.40941389772177,13.9554641982756,2.76109677369513
"FBgn0000037",2.84027331339359,6.08896374075239,4.98245621107792,5.99771354588811,0
"FBgn0000038",1.35251110161599,4.34395583943921,2.30894312220684,4.50808534494858,0
"FBgn0000039",2.29926887274719,2.93309838731365,1.02079590665987,3.52806679169889,2.42126947847112
"FBgn0000042",1136.9208320184,1849.67124756429,1649.43605251124,1121.76843679173,2459.62748441953
"FBgn0000043",156.012155571405,147.13758112562,125.02319390139,146.806779276804,206.232689789075
"FBgn0000044",21069.3503154189,9890.18499505551,11147.9662686457,12610.2123306008,5693.97624512601
"FBgn0000045",4.39566108025198,3.41576014725134,2.33324778665113,2.11684007501933,0.21239205951501
"FBgn0000046",1045.76158376949,827.208000877825,706.00189277752,1174.8070408936,926.071857897348
"FBgn0000047",17.5150187659271,8.76216733425344,8.45802322661033,9.17297365841712,6.49919702115931
"FBgn0000052",19.6114109734319,18.6010416714448,22.2630726309628,20.7763933288935,22.4286014847851
"FBgn0000053",27.1178475874007,17.1159285639442,20.902011422083,22.7364304353929,16.5241022302678
"FBgn0000054",18.4617765370583,16.8189059424441,12.0065042354756,19.012359933044,11.3842143900045
"FBgn0000057",8.45319438509996,9.69036302644131,12.1523322221413,2.27364304353929,5.43723672358426
"FBgn0000061",1.62301332193919,4.30682801175169,2.33324778665113,0,7.30628684731635
"FBgn0000063",2.02876665242399,4.78948977168938,3.71861365997523,0,3.05844565701615
"FBgn0000064",2624.48016713076,1558.88610111568,1418.68756827722,2005.74517182295,1730.18819522118
"FBgn0000071",1.21725999145439,3.3043766641888,1.48258453110124,0.235204452779926,0
"FBgn0000075",6.35680217759517,4.04693321793909,4.39914426441514,4.07687718151872,0
"FBgn0000077",6.08629995727197,3.34150449187631,1.99298248443117,2.94005565974908,6.41424019735331
"FBgn0000078",1.75826443210079,3.0444818703762,4.27762094219373,75.0302204367964,48.5528248051313
"FBgn0000079",2.29926887274719,3.49001580262637,4.95815154663364,81.2631384354645,44.5598540862491
"FBgn0000083",238.312456104738,127.014298518987,131.585453301346,154.450923992151,143.109769701214
"FBgn0000084",12.6459788001095,10.0616413033165,10.9127943354829,17.9539398955344,10.0249052091085
"FBgn0000097",27.0502220323199,16.8189059424441,27.3184428353736,19.6395718071238,17.2887136445218
"FBgn0000099",14.3366176771295,10.247280441754,15.8952505465608,8.97696994776718,5.56467195929327
"FBgn0000100",1351.49671828978,863.333377217777,769.291238990432,1108.0089763041,922.248800826077
"FBgn0000108",9.39995215623116,4.8266175993769,6.53795473551201,35.045463464209,9.34525061866045
"FBgn0000109",12.9164810204327,10.6185587186292,7.99623460216896,13.2498508399358,23.8728674894871
"FBgn0000114",19.2732831980279,18.1555077391946,38.4013698219664,19.5611703228639,24.7649141394502
"FBgn0000115",18.8675298675431,30.2963073930119,20.6589647776402,35.5550731118988,27.2286620298243
"FBgn0000116",3677.00430640832,2538.16968420156,2254.47636918721,2433.62127217176,2163.25560457228
"FBgn0000117",56.8054662678718,41.6945504930789,43.6025680130429,53.9010204287331,40.736797014979
"FBgn0000119",14.2013665669679,12.5863335860674,19.2006849109832,15.2098879464352,15.5046203445957
"FBgn0000120",1.82588998718159,2.45043662737596,0.777749262217042,5.13529721902839,0
"FBgn0000121",0.608629995727197,1.70788007362567,1.118014564437,2.70485120696915,0.042478411903002
"FBgn0000137",3.31365219895919,1.67075224593816,1.16662389332556,0,0
"FBgn0000139",9.06182438082716,4.86374542706441,7.68027396439329,8.42815955794735,12.1063473923556
"FBgn0000140",6.96543217332237,9.61610737106628,13.6349167532425,0.0392007421299877,2.76109677369513
"FBgn0000146",2.09639220750479,3.74991059643897,7.48583664883903,0,3.61066501175517
"FBgn0000147",1.42013665669679,3.93554973487655,4.64219090885797,0,0
"FBgn0000150",897.120613701889,828.730241813013,551.69157822077,328.541419791427,701.573450989982
"FBgn0000152",3.85465663960558,1.11383483062544,2.77073174664821,2.94005565974908,0
"FBgn0000153",2.56977109307039,4.04693321793909,1.62841251776693,0,2.67613994988913
"FBgn0000157",3.44890330912079,2.71033142118856,2.62490375998252,3.29286233891896,0
"FBgn0000158",1.35251110161599,1.89351921206324,2.16311513554115,0,0
"FBgn0000163",106.51024925226,141.902557421681,122.228157490297,89.6912979934118,78.1177994896208
"FBgn0000166",2.63739664815119,3.67565494106394,2.28463845776256,0.980018553249692,0
"FBgn0000173",73.2384761525061,60.7411260967739,49.459992144115,68.5620979853484,100.121616855376
"FBgn0000179",5.13954218614078,4.0840610456266,4.56927691552512,5.25289944541835,3.78057865936718
"FBgn0000180",1.89351554226239,3.45288797493886,1.89576382665404,3.13605937039901,0
"FBgn0000181",519.22901191038,500.965778987634,434.202830297108,504.278346760161,409.661804392552
"FBgn0000182",0.473378885565598,0.148511310750058,0.753444597772759,0,0
"FBgn0000183",36.5177997436318,38.3159181735151,43.4810446908215,52.9994033597433,57.8131185999858
"FBgn0000206",1.69063887701999,2.89597055962614,3.45126235108812,0.0392007421299877,0
"FBgn0000210",59.3752373609422,28.7740664578238,38.4985884797436,69.855722475638,54.4148456477456
"FBgn0000212",33.9480286505615,24.7271332398847,28.4121527353663,18.2283450904443,13.6355702208637
"FBgn0000216",1.1496344363736,0.853940036812836,0.972186577771302,3.05765788613904,0.042478411903002
"FBgn0000221",3.65177997436318,2.78458707656359,2.18741979998543,0.0392007421299877,5.05493101645724
"FBgn0000227",1.1496344363736,0.965323519875379,0.996491242215585,0,0
"FBgn0000228",13.8632387915639,12.8091005521925,13.8536587332411,13.9554641982756,31.8588089272515
"FBgn0000229",17.9207720964119,17.821357290007,16.0167738687822,25.2844786738421,20.856900244374
"FBgn0000233",0.946757771131196,2.3019253166259,1.21523322221413,0.235204452779926,0.042478411903002
"FBgn0000239",25.8329620408655,20.8658391603832,23.8428758198412,27.9893298808112,42.435933491099
"FBgn0000241",1.75826443210079,1.18809048600047,1.04510057110415,2.74405194909914,3.35579454033716
"FBgn0000244",46.4587563405094,27.2518255226357,30.9884471664603,89.9657031883217,41.119102722106
"FBgn0000246",3.71940552944398,3.97267756256406,3.30543436442243,2.50884749631921,5.39475831168126
"FBgn0000247",19.9495387488359,18.0812520838196,26.1761236064923,21.0899992659334,6.58415384496532
"FBgn0000250",71.2097095000821,50.0854395504572,43.8456146574857,74.4030085627166,23.9578243132932
"FBgn0000251",8.99419882574636,26.2865020027603,39.4707750575149,36.4566901808885,28.6304496226234
"FBgn0000253",332.176726556888,418.207851072164,382.45819969523,382.83444764146,536.077558215886
"FBgn0000256",13.8632387915639,17.4872068408194,18.7388962865419,21.0899992659334,19.0728069444479
"FBgn0000257",8.04744105461517,6.75726463912765,7.21848533995192,6.62492541996792,16.2692317588498
"FBgn0000259",63.4327706657901,62.9316679303372,70.0217382639781,102.117933248618,82.875381622757
"FBgn0000261",123.349012467379,135.256676265616,90.7779216993954,169.935217133497,271.39457364828
"FBgn0000273",189.486805336401,120.813951295172,157.615748921172,133.047318789178,91.4560208271634
"FBgn0000274",0,2.89597055962614,2.13881047109687,0,0
"FBgn0000276",0.405753330484798,0.779684381437806,0.534702617774216,11.5250181862164,0
"FBgn0000277",0,1.44798527981307,0,2.31284378566927,0
"FBgn0000278",0.135251110161599,0.371278276875146,0.340265302219956,7.21293655191773,0
"FBgn0000279",0,0.928195692187865,0.0243046644442826,10.6626018593566,0
"FBgn0000283",34.2185308708847,31.9299318112625,39.4707750575149,33.9086419424393,35.0446898199767
"FBgn0000286",34.3537819810463,25.7667124151351,28.0961920975906,28.694943239151,46.9386451528173
"FBgn0000287",5.81579773694878,3.74991059643897,4.93384688218936,5.37050167180831,3.05844565701615
"FBgn0000289",33.7451519853191,24.3187271353221,38.2069325064122,52.3329907435335,19.4126342396719
"FBgn0000299",1596.84223212292,768.694544442302,1038.56261636864,770.255382112128,269.27065305313
"FBgn0000303",1.82588998718159,3.97267756256406,3.81583231775236,3.52806679169889,3.14340248082215
"FBgn0000307",16.5006354397151,18.3782747053197,23.308173202067,11.7210218968663,20.007332006314
"FBgn0000308",321.965267739687,348.518918502699,257.410701129397,460.804723738005,511.142730428824
"FBgn0000316",16.0272565541495,13.4031457951928,11.8606762488099,9.80018553249692,10.4496893281385
"FBgn0000317",29.0789886847439,20.4945608835081,25.2768510220539,11.9562263496462,26.7189210869883
"FBgn0000318",44.2947385779238,64.5652923485879,52.1092005685418,55.9786597616224,71.8734729398794
"FBgn0000319",139.376269021528,80.0104686665939,112.166026410364,83.8895881581736,90.7338878248124
"FBgn0000320",3.71940552944398,5.45779067006464,7.75318795772614,0,0
"FBgn0000326",12.1049743594631,14.1085745212555,9.57603779104733,4.66488831346853,12.7435235709006
"FBgn0000330",8.18269216477677,7.27705422675286,4.44775359330371,2.27364304353929,0
"FBgn0000339",15.4186265584223,20.8658391603832,13.6835260821311,39.9455562304574,40.736797014979
"FBgn0000346",3.24602664387839,3.60139928568891,4.47205825774799,0,4.1204059545912
"FBgn0000351",1.35251110161599,1.74500790131319,0.826358591105607,0.0392007421299877,0
"FBgn0000352",8.25031771985757,8.61365602350338,9.21146782438309,2.39124526992925,12.4036962756766
"FBgn0000355",0.541004440646398,0.631173070687748,0.218741979998543,0,0
"FBgn0000356",0.0676255550807997,0.40840610456266,0.315960637775673,0,0
"FBgn0000359",0.135251110161599,0.334150449187631,0.486093288885651,2.15604081714932,0
"FBgn0000360",1.1496344363736,0.519789587625204,1.43397520221267,0,0
"FBgn0000370",288.963996860257,178.06506158932,195.871290756473,324.386141125648,302.998512104114
"FBgn0000376",5.47766996154478,2.45043662737596,4.44775359330371,3.92007421299877,8.83550967582442
"FBgn0000377",9.06182438082716,9.61610737106628,7.72888329328185,9.80018553249692,2.93101042130714
"FBgn0000382",27.7941031382087,24.2073436522595,24.0130084709512,18.4243488010942,36.1491285294547
"FBgn0000384",15.6215032236647,16.2991163548189,17.0861791043306,16.7387168895047,12.4461746875796
"FBgn0000394",14.1337410118871,4.49246715018927,6.19768943329205,15.4450923992151,7.73107096634637
"FBgn0000395",7.77693883429197,8.94780647269102,5.90603345996066,20.5019881339836,6.11689131403229
"FBgn0000404",5.54529551662558,9.95025782025391,7.43722731995046,5.21369870328836,0
"FBgn0000405",7.03305772840317,9.65323519875379,8.21497658216751,4.19447940790868,7.26380843541335
"FBgn0000406",14.2689921220487,52.4987483501456,23.8185711553969,178.010570012274,178.621722052124
"FBgn0000409",335.084625425363,384.347272221151,341.674972757724,295.691197886497,514.583481792967
"FBgn0000411",3.11077553371679,5.01225673781447,5.44424483551929,0,5.13988784026325
"FBgn0000412",36.788301963955,38.09315120739,50.9425766752163,19.2475643858239,35.4694739390067
"FBgn0000413",17.9883976514927,18.0441242561321,23.9887038065069,9.25137514267709,14.6975305184387
"FBgn0000414",17.3121421006847,16.1877328717564,18.665982293209,19.9531777441637,6.92398114018933
"FBgn0000416",217.416159584771,165.144577554065,166.535560772224,246.925474676792,238.049020304423
"FBgn0000422",15.2833754482607,5.12364022087701,5.39563550663073,119.562263496462,0.169913647612008
"FBgn0000426",10.9553399230896,15.6308154564436,12.7842534976926,0.313605937039901,9.26029379485444
"FBgn0000427",3.11077553371679,4.90087325475193,4.71510490219082,3.37126382317894,8.58063920440641
"FBgn0000439",1.1496344363736,2.11628617818833,1.9443731555426,0,2.37879106656811
"FBgn0000442",0.202876665242399,1.00245134756289,1.96867781998689,0,0
"FBgn0000447",18.3265254268967,20.9029669880707,16.0896878621151,0.0784014842599754,11.5966064495196
"FBgn0000448",2.29926887274719,5.56917415312719,5.27411218440932,1.84243488010942,2.1663990070531
"FBgn0000449",0.811506660969597,1.93064703975076,1.6770218466555,0,0
