Sample	A1	B1	C1	D1	E1	F1	A2	B2	C2	D2	E2	F2	A3	B3	C3	D3	E3	F3	A4	B4	C4	D4	E4	F4
Group	A	B	C	D	E	F	A	B	C	D	E	F	A	B	C	D	E	F	A	B	C	D	E	F
D-galactonic acid / D-gluconic acid	12975519032	10510239898	26503703121	16967044412	15867424176	14142684712	17254155505	17288171376	22760505946	15353364005	17686094931	21040301079	7720921592	15789227644	12143769466	20918111243	22482320491	25697469041	14923087115	17133678738	19332385256	17687251119	8952017609	20929956202
D-galactosamine/glucosamine-1/6-phosphate	8857745.465	28049493.22	45744352.9	26712593.17	24792947.72	18310331.6	28952413.25	34947699.5	22431192.26	36561043.39	31084715.32	34479618.03	20613479	38035168.72	31329860.61	33034438.45	27137893.87	30297934.96	24248323.41	32947373.41	31969515.33	32189249.81	8784465.738	31562108.71
D-glucuronolactone	2156796.39	3680231.932	12423907.47	5075279.162	3305621.54	2113626.981	19553786.49	3413348.188	5345030.796	6231396.381	4829322.721	4165045.48	2795428.323	5191474.96	4162478.619	7168559.18	4588813.579	5062227.317	4441405.382	2781321.573	6227689.072	4656467.255	4043202.126	3772707.527
dihydroorotate	167874.7222	314108.7712	1090877.566	1194781.662	3091056.097	355350.3268	362504.9454	384132.6509	610692.7593	1488660.277	877495.4847	250966.481	215416.3304	559890.0923	819035.9647	1699848.694	1589934.047	1873690.764	870257.4412	686858.9573	972622.114	1742680.825	437980.846	555970.8036
dimethylglycine	25993409.17	40842193.63	51060254.4	31966548.95	27437460.65	19593100.97	28991440.84	43514646.05	25456137.24	51561627.57	33464786.55	30468717.21	28856250.88	45729108.21	55532251.46	39200492.61	49852556.81	30175343.43	31441937.47	39342991.63	43316631.74	32959581.37	19256614.77	27134276.93
DL-DOPA	32301115.5	265342748.8	181788055.6	299660468.3	403124573.7	306392898.5	197025329.1	304202138.2	283539300.8	353414473.6	326405253	233061697.6	81914099.18	263718304.9	305026320.5	338590218.3	278618500.3	468190933.2	315471051.5	337745155	300933151	632515277.1	363014321.4	438904135.4
DOPAC																								
dopamine		1916053.804	3485420.235	5916480.385	2928787.61	2575903.237	4803770.069	2455003.693	5776746.412	8039491.92	11680693.4	2816947.9	1971878.033	2156497.278	2684558.091	5512020.764	11488459.46	9070870.917	7625630.203	6090414.77	6119306.086	7218386.345	2467778.714	4797194.873
D-ribose-1/5-phosphate / D-ribulose 5-phosphate	5288873.979	17172728.32	24965039.68	16964787.24	12571959.99	9522443.829	23737497.88	22029601.8	15354628.79	17867302.78	15228459.16	14511202.81	10294804.95	24765853.33	15034594.01	19925662.79	9916033.375	13316268.44	15951886.19	23126132.43	20614863.51	22665050.92	4080432.847	13164949.89
D-sedoheptulose	21327917.83	37980022.21	46992398.31	48180535.04	34071756.16	33936797.94	40712785.79	43222487.86	45857551.43	44847511.98	40368735.06	62850696.02	21281556.51	47898023.21	24971361.95	50094504.29	45297419.3	69019064.2	40046040.74	44722968.13	40993071.87	50905564.93	17630597.08	65073850.22
D-sedoheptulose-7-phosphate	15888981.23	56052923.71	147589921.2	57740941.15	40059873.2	49521397.1	76207083.22	72296429.36	74157345.89	65950360.78	61577195.89	104209616.6	33656220.85	92150976.28	75932810.43	87536426.59	60243997.73	85109367.96	67392591.56	80113039	99384405.46	71989584.91	20171934.28	94082931.17
dTMP	217965.2785	359224.9962	660456.4006	481287.1775	596173.096	336776.1772	216586.1431	567510.3636	440988.5413	565402.8935	530606.4241	464900.2242	198558.614	556525.6568	401647.1746	455860.6535	542431.4098	233229.277	316587.4285	698490.3327	131959.1994	468356.2596	161768.0996	689247.9795
dTTP				12581.33351																				
dUMP																								
dUTP		15985.28159																						
epinephrine / normetanephrine	12731533.6	16022886.05	13999103.72	13099505.86	13268329.35	8382436.763	12134827.13	11586287.42	11032167.19	11906040.54	12996613.64	9843105.905	12871322.84	12130299.4	8403261.467	11524414.72	11969336.44	11880017.42	11186185.76	9793930.231	9360274.029	9373665.215	5865553.13	9896257.533
ethyl acetate	4187842.581	7348125.63	16052218.4	5176222.047	2368463.587	2680860.937	20534391.21	3458339.898	2009578.764	26150979.29	5511626.626	4595780.258	1762900.67	8807205.543	4804876.418	5227544.195	5626890.714	4155140.272	3909817.517	5835998.154	20024834.88	15553442.06	9196166.649	8100966.692
"F-1,6/2,6-DP"	2532123.802	2941489.329	7698368.104	2892390.568	1796381.774	1161807.22	1768645.306	1552416.293	1222900.13	1283075.772	858810.6787	731120.4408	609056.2085	1002726.785	851176.5193	800285.2772	695386.0803	526487.3199	682792.1899	717377.1381	1150334.422	547846.123	199224.5807	473124.4602
F1P	434828.7331	642055.318	1104202.586	2985342.322	2431154.193	1559698.072	751617.3269	520381.6807	902416.7925	2642640.739	2865853.638	2483948.251	694113.9214	1449347.585	1070525.264	2930761.049	3381226.489	4064328.325	78283.26572	856365.6544	1439458.756	3356662.395	1273855.411	83070.20299
F6P / G1P / G6P	230733488.5	1077058942	2643977005	1041698452	880419889.5	561707786.9	1063232113	1304765473	997324371.9	1351991522	1240416053	1291195194	642391838.7	1614768128	1278739909	1379920576	997069526.5	1047276658	927120669.9	1253682957	1457822056	1064348085	250528412.4	1103956696
FAD	3850997.67	4550415.566	5042290.825	4934832.979	4473779.745	2228535.395	4631648.621	5100585.591	3164185.102	5944837.303	4037435.097	4351631.678	2154985.336	5257043.606	5220794.116	5280828.355	4873129.754	4410433.768	4281850.043	5091527.001	4667192.157	5058446.792	1935249.617	5257228.15
FMN	466619.5463	652846.5307	728536.6679	247413.9259	838891.3625	343229.4911	985918.5929	942175.6307	575132.4137	399081.5897	951525.0996	590398.6078	497204.1875	737067.0142	669105.3233	529386.5466	293800.6126	957778.5799	560095.451	838267.4899	699175.5139	412649.3004	82041.79564	1122377.369
folate																								
fructose / mannose	2590409230	3396048281	5803470173	3801551385	4939071792	2615287632	4781811488	4404101159	6161124718	4604149101	4148644254	4896529388	3047745143	4372641498	2634532380	4673523436	5163847533	5535362794	4943565031	4484518980	4896620465	4081377331	1577487793	4656470907
fumaric acid	20809236.19	28820928.34	17046688.74	23171042.85	21568562.92	23511818.57	17753626.63	33935066.25	7682874.964	45722716.32	23870692.35	20458801.91	20175412.89	25368727.7	33530714.53	37960407.94	21604897.07	11374920.52	18506547.09	28908449.36	21200888.72	42629475.23	17903618.97	25660227.89
GABA	119018697.5	136617083	160885029.3	143281776.5	160734062.5	97174824.87	186011091.9	152968997.2	156188963.2	266812718.5	157191360.1	155797491.4	138010963.7	183331717.5	179833261.8	144696398.4	316969111.5	145357266.1	165407895.9	177903744.9	182433736.4	164121484.1	127269270.6	162379873.6
galactosamine / glucosamine / mannosamine	22710840.06	24033392.21	35309509.38	23023501.06	32762870.72	26126355.86	30393923.98	25749239.17	32918520.79	28932067.36	29465775.2	28344956.4	24502860.59	33426415.11	27866622.82	26048932.32	31453663.29	32094556.86	46466208.05	32831130.5	36670696.77	36198949.03	50081980.72	38511170.55
galactose / glucose	2044039181	3853341253	4711153945	4535234481	6023885470	3713090808	4622860759	4261625198	5115507140	5908931174	6016844881	5429814507	3306429169	4566951506	3378132557	4762627540	5369049756	5202494947	5367623935	4384296995	4958085029	5542896292	3191632425	6019581834
GalNAC / GlcNAC	1874459.802	2322289.919	2000716.814	1337621.517	1260571.999	1815845.183	2269245.836	1518452.305	2006196.383	2043162.401	1994607.538	1823152.286	1985258.81	1952704.418	1559591.908	1518182.549	1632000.016	1466522.049	2007588.27	1259516.356	1739857.616	1961832.906	2702613.602	1603063.671
GAP / DHAP	3194833.953	4595956.645	10073234.94	5293718.322	5140336.935	2637845.081	9202503.586	4278394.019	3628669.656	7046761.6	6961947.368	5636737.214	2749819.72	5998268.241	4316427.118	6052090.42	3517521.041	4420503.86	6183084.718	5555282.782	8017469.926	6630300.422	1503834.477	6212540.148
GDP	1023361.157	2086421.11	8097609.048	2174536.972	1965219.4	1621999.908	2347188.821	2808840.004	1020226.359	2381974.134	2689729.014	2380125.298	1181939.928	2444299.881	3028091.615	2492011.05	2134105.446	2109288.619	1986750.029	2559965.136	2929730.765	2952951.502	1255532.462	2478603.722
GDP-L-fucose	47160.61562	239646.209	539685.0533	166277.8911	127797.4966	77243.23572	136162.1469	237202.7898	64192.05107	122840.1659	141988.0729	140872.9985	94971.53014	266597.5198	126722.686	205581.955	153561.0123	68484.02828	119956.0899	217421.3432	206783.0801	94598.49953	16119.99487	128721.3371
geranyl-PP																								
glucono-lactone	431322105.3	149181906.7	1293724989	540463123.3	356727296.3	406286051.2	938288070.3	518839333.3	1792613465	411553272.3	925277078	876890998.5	356839626.1	635348326.5	105708220	929573951.8	1230320880	1596721216	965076880.2	923447271.9	685091367.5	656537943.5	254166205.3	884022963.9
glutaconic acid	283881618.3	110010594.6	751330733.4	365706745.3	260216751.4	280700886.2	620903154.5	342690464.6	1149600781	290960282.2	605834652.5	607400872.3	259418062.9	426899108.1	80641836.4	621851388.9	807222922.7	1076229121	656445602.7	605474032	460868763.5	409107347.1	185043863.1	582505654.3
glutamate	1024648227	2053430008	2660421603	1699219198	1379973243	975875692.5	1687991037	2352140139	1214516116	2148705751	1447277249	1333463204	1278919096	1932485944	2490436654	1729684710	1866992476	1339243654	1489176614	2006114352	2190701576	1785813862	646528930.4	1525619210
glutamine	4503265465	5843515451	5112738777	9213260340	7800245277	4480809665	5840108640	6004626411	5483824948	10128488814	7471342320	6521456432	4934089612	5962452706	5380182084	9240479198	8781744642	7346957810	5301289877	5921376915	5734346280	10256868041	4628607338	7275997952
glutathione	102094839.4	96885091.8	182363147.2	149403158.2	132854633.9	115001757.5	124115907.2	147584303.8	120458744.4	158120660.7	175182958.8	212208972.8	154109885.1	160766682.1	100051933.4	177505727.6	201276223.8	171492760	98028857.3	189657252.3	143865084.6	195621838.7	48857122.83	189115470.1
glutathione disulfide	36366765.41	61306973.78	92608290.96	59315432.89	35266344.02	25671462.71	60769673.02	66921644.69	39046003.8	74030226.06	56928402.4	47868311.43	42774277.54	81671514.12	55923822.5	58670109.75	65353127.52	43153395.75	42803159.68	39886040.79	68034241.07	29517754.41	17613220.48	62429104.79
glyceraldehyde	456498532.7	916059212.4	713046067.2	1296890142	1225387873	1274185103	1120404834	1135283330	906070977	1363307312	1166103092	2877683314	603049708	1022010027	2578540210	1180133478	1350812115	1336374509	866436403.6	773076158	904019554.8	1028764441	1166295264	951221714.4
glyceric acid	8753812.895	17283076.98	27005687.46	18649767.37	22369096.85	10123553.61	23373995.99	25031609.43	22056487.41	20739101.08	21972169.65	12681096.68	17375800.65	31468250.55	13619865.26	24031687.58	25225143.58	16485710.52	30249063.64	28580401.47	23704393.22	27244373.26	7234203.373	21607373.05
glycerol 2/3-phosphate	89097767.58	255331427.4	280447652.3	232713885.2	276808887.7	158314992.6	301591462.6	253752229.6	213634581.9	254017416.9	242269276.6	169338336	201740296.3	374476510.8	265794979	245774862.6	192253102	187777566.9	239079833.9	366700059.3	278926215	278622356.7	90024519.29	196178456.9
glycine	353245321.2	395677693.6	378289855.1	548238580.3	493626763.3	342789472.3	427140800.7	376029446.5	409468442	574532815	509253590.6	425066085.9	271257962.5	397148214.4	392639244.7	485364267.7	522610313.4	497277383.7	454589017.9	387242254	388873429.6	507691759.3	390747644.3	514513392.1
glycylglycine	2651051.411	3320660.231	4752634.365	3768338.947	4543657.861	2961124.94	4944709.666	4490828.7	209677.3932	170616.1309	270105.4824	216063.411	2809495.197	122034.8119	4672316.867	4286388.979	3756230.463	289485.3958	360277.7866	5020236.372	106708.2276	306025.5648	2563314.22	4236879.608
glyoxylic acid	552347.0612	1788020.868	1336246.587	2984118.758	1798408.029	2125198.536	3035184.785	1506340.255	3828863.144	3151188.466	3916533.408	2680146.642	2431392.41	2500440.938	2303895.444	2750658.784	3961549.569	3936986.329	3090236.716	1948289.728	3089240.989	4138997.725	2523694.243	3283539.364
GMP	17153885.13	53298472.87	92245230.61	62063692.05	75328466.35	66276912.25	60983199.9	64267781.31	65042040.14	71388186.31	93571302.83	75637380.28	32126280.66	76176302.78	56032071	67334579.94	89081294.18	77836837.72	56478486.8	66857565.24	67897382.59	65162272.98	22018543.39	85227339.87
GTP	22169.41575		472970.7757	70513.32133	25714.84895	47383.51136	18792.4302	20871.33124	10524.57706	13550.48617	30085.41618	36107.72081		36894.45712	97231.31713		13929.76253	45980.79558	17626.9698	11370.04099	53441.08591	74556.79405	7561.295257	12747.34569
guanidine	45142804.31	30512315.39	8573809.01	30289306.73	6658337.658	3942469.052	29446328.98	23047848.62	8219954.797	10629284.09	38853908.47	8568558.895	5689741.561	10725172.7	32705897.37	8434268.365	9490160.331	14766172.28	13399552.23	17178921.82	20234093.84	17821634.3	5697180.032	10185182.88
guanidinoacetate									16679.72312															
guanine	932586.0855	1372374.371	2788179.65	23264468.06	19902168.48	12180820.16	1850242.833	1552732.658	4297263.829	24593681.32	26211726.27	18324942.59	1275743.189	1625632.313	805136.5977	24711833.02	22597199.53	33370236.16	2019837.467	1993706.556	1275546.875	26668407.95	8588213.748	29338707.97
guanosine	92296122.16	215107596.5	150155463.5	297680701.2	454754122.6	239770842.3	185197202.8	228280284.8	174409261.3	313541191	538360784.3	249979649	79249827.19	196033985	130110723.1	275466435.9	407443914.8	368417745.5	215894287.9	205674075	180120036.1	292873781	162379545.5	464626869.5
gulonic-lactone																								
histamine	13771797.94	55751856.28	34265999.65	27080446.63	90620699.88	21685286.35	36126707.28	49789451.71	58142308.13	27975401.89	30817784.06	28774853.65	43295605.22	112808348.1	37851607.67	111223299.7	27599250.82	33060554.1	60346714.97	68913908.3	42491132.75	41656946.61	40864788.61	27371029.72
histidine	2383395090	5432696345	4882752647	3395497614	3164944828	2338300104	4505348688	6066462473	3999861982	4398538343	3334931762	3041450670	3969972564	5786972877	6663179087	3395974786	3432117774	2829132083	4519532200	5302952814	5176781302	3904727929	1373854278	3316894293
homocysteine															41338.2628									32912.70679
homocystine																								
homogentisic acid	14674802.88	44227897.72	112612963.3	55477950.09	28634607.89	36124565.3	41639211.69	66596218.89	111795327.4	46617517.51	63092233.89	42766531.78	40955749.55	51403607.28	32036143.88	72621886.1	53035556.45	103151877.2	59084472.92	70358447.23	91821805.06	80973198.59	31311910.6	90759213.28
homoserine / threonine / allothreonine	433261318.5	542040240.6	426723116.1	1313034852	910803246.7	596657714.6	498009579.9	433653369.8	464473575.8	1510684515	947570589.1	568293042.8	506102662.9	558361119.5	567513661.1	1185393655	963562477.2	758686798.3	573177138.6	473691475.4	478415202.2	1196651481	842643089.4	892579145.9
hydroxyphenyllactic acid / HVA		3074434.063	2833134.806	6255991.997	13622243.22	4846965.381	3768151.649	1645885.381	3460727.694	9749519.488	21766988.3	4960827.007	2994671.525	4334435.301		7474761.841	14054627.68	15239464.57	7636220.499	2808520.783	3906140.512	13003239.73	12319878.58	14919102.3
hydroxypyruvic acid																								
hypoxanthine	88301211	315821753.9	385457479.5	275511111.8	273010843.5	64489496.88	444234200.4	322824689.5	765692066.8	308456642.1	231379934.9	138549287	272199231.7	588739903.9	182585929.3	296179638.8	238374302	315800136.5	560408231.3	476777968.6	488644126.3	306001680.2	147742977.8	267022222.9
IDP			104483.912	38627.79611	73916.73044	6424.972081		35722.47936				35365.62081			29450.52801	22823.92547	14904.96784	31036.21343	11364.11533		77967.67942		6750.15656	23169.12943
imidazole-4-acetate	6621573.618	11854959.75	16797580.43	5289203.367	9740682.398	7070605.074	13247836.94	13525824.02	17518263.12	7087284.399	7688151.546	15678456.41	7049700.213	12928803.15	9249233.185	11198486.13	8580371.555	16562976.2	17516357.25	9843206.951	11092305.48	13692709.56	4531805.8	12274608.13
IMP	9149147.007	50479903.16	48866572.31	55699510.47	43218432.74	39461770.53	38803770.24	54754821.81	41428225.74	51262720.74	39390115.22	40934041.73	30275522.66	49500317.32	43875576.35	40985654.1	39083393.61	42953333.73	33708943.32	57047978.94	45557370.11	50634153.18	11751478.45	42410125.81
inosine	198710060.7	635753513.2	673692606.6	1165323941	1358500329	749910431.6	753353842.8	683789773.2	856881815.2	1323663087	1568653927	859233658.8	393293332.9	774748761.5	399965338.5	1176730028	1319851706	1341525657	895419630.5	844287164.1	792204261.6	1321659583	497818098.6	1574137159
isonictinic acid 	9154391.224	14466732.14	24134710.88	4957721.575	8154872.125	5547011.671	48217455.55	14394201.04	32691089.86	42908094.56	12463017.37	14251100.83	9268707.927	30238051.85	18375212.95	9223027.834	11327894.26	13939036.28	25092400.32	18401866.47	44613391.61	12021594.1	11955716.1	12215648.86
isopentenyl pyrophosphate																								
itaconic acid	9031204.494	24037649.59	24723228.4	29382453.29	23125092.43	20365757.26	25464021.92	29716799.11	29217217.64	43487776.23	23429022.87	28333072.66	12615415.19	28277274.69	29166515.46	33716792.04	25592699.53	46103427.81	40413893.56	35916387.57	30733477.63	49335389.95	19728609.42	32039566.73
kynurenic acid	62229158.34	36869294.29	54902985.54	17505060.25	44202941.36	13848533.86	113282584.5	30691989.52	65657287.25	19971016.89	53031232.26	20504506.96	57574449.2	41325006.99	21275958.04	19044523.46	31964616.98	106133593.3	173822430.5	35784991.67	49161957.55	25998878.09	16783880.41	48295751.04
kynurenine	40558004.9	20824446.93	17345681.4	12961718.3	35771596.93	6732291.066	114670155.4	17034038.41	34225800.22	33045779.46	40029367.92	9721051.144	30072924.36	15097710.77	8613148.401	36790322.17	34608701.65	47888842.77	94202108.6	23251977.35	13936834.25	19321192.06	13919444.21	23262323.14
lactic acid	6910692175	11901528711	12420430287	12574999497	13104021652	7535686613	14730108543	12803142925	17385460860	13261848005	14246190487	9839735214	9372940909	16389919804	7287728324	13371411862	13652526103	13969615810	16293579379	15055084487	14229478925	13571664353	5899250190	12880590980
lactose / maltose / sucrose	222615022.1	594765877	773127237.2	741880587.7	709448436.9	504313057.9	563220368.5	564451415.3	486414338.9	846345692.7	766535940.8	751000392	418238068.2	732322600.4	729364878.6	731120155.1	822714267.1	906403409.5	668696747.8	615624016.1	657229929.5	853642671.8	246973257.1	809262762.1
L-arginino-succinate	6001579.499	22101728.22	40157991.37	23812334.58	12603297.14	7919442.768	22928461.8	31296244.68	11580846.77	25895999.47	18151671.08	21015332.36	12573869.71	34485175.22	24778063	25190570.85	13354853.06	13641871.82	19230663.19	27839930.37	22251188.97	25125101.72	3637049.915	21272645.5
L-cysteic acid			103670.1229				87551.60357			65344.71618				127641.8821							51278.13697		16435.60243	
leucine / leucine(iso) / norleucine	2554603341	5806871127	5370073137	5402070335	5259327864	3063597293	5720533810	5370754028	6894365028	6284828958	6087112944	4240957493	3129914335	6123284376	3807335854	5444184924	6284386830	5921292487	6448464498	5860529177	5912419208	5523451926	2278036124	6206715647
levulinic acid																								
lipoamide																								
L-NMMA	2829279.254	3774754.747	15065293.37	3732795.847	4185434.106	3961202.34	6544468.107	3877389.323	5051417.434	9409590.735	5181470.393	5846086.669	2126897.156	7609176.071	4788089.956	4889162.075	6837025.128	5277015.311	6009358.303	4717740.169	10405992.19	5232444.981	3649909.164	6239500.804
L-tyrosine methyl ester	6334226.856	8843535.088	8836472.977	7442561.631	6395035.278	6035844.787	9285990.33	7746966.847	15817068.76	12229917.03	7068091.605	11674048.12	11604152.6	10472268.79	8703225.211	16515686.91	10340579.87	16115818.32	21207879.82	14300030.32	13195633.15	26183618.85	13058240.44	23034322.42
lysine	742164886.7	671943074.6	3197084020	1253903681	1044117921	707709687.9	1063905868	862022077.9	1072517263	1362331028	1036314709	828577496.4	502617743.1	1111989542	823953685.6	1398548125	1313871775	1073418591	875320033.9	906283375.6	1349463592	1323235409	903323837.6	1011675903
maleic acid	1793372.607	1574757.717	2017884.844	1427908.846	869320.9583	1053087.342	2852786.14	1159642.392	2642901.353	1205333.964	1495988.03	828268.643	1222492.331	1788286.777	894229.0254	2131731.861	1097620.77	2201151.189	1996986.81	1842050.989	1627513.061	2216261.871	1229881.374	2353982.695
malic acid	186088382.6	468487548	439817700.5	656185324.8	296909942.8	282817453.8	215076165.4	727599884	88977186.73	1653741106	444411545.7	392677177.8	670299177.8	663204452.4	1155803123	1421369272	749035692.9	287520208.6	205688212.3	596583755.4	496945546.2	1534606561	182971476.4	570605034.4
malonic acid	21639979.65	26426734.66	104113448.7	56259785.1	35906613.37	23672749.58	73308650.19	89879875.09	97093714.76	43861298.1	152495798.8	63771973.2	52551967.17	117984790	48612808.97	98907432.84	83969099.07	116431608.4	75182834.38	119051772.5	49097833.2	69526493.09	43747915.89	66792983.76
malonyl-CoA	21473.45924																			31086.18868				
mandelic acid / vanillin																								
ManNAC	1569604.983	2339313.974	3736987.878	2659883.626	3304484.409	1795331.523	3409059.539	2942072.363	4081359.173	6306836.176	3614046.515	2890267.563	2273418.595	3668255.745	1526152.559	9558464.055	3931868.323	3388302.315	3164559.187	3411546.944	2335264.867	2278035.221	2333665.066	4421627.252
mesaconic acid	808882664.1	1015364818	1440616003	1047713198	934294338.9	666156243.8	1167142767	1071043197	1251326003	1322921916	1294523166	1328061011	989232641.5	1664420329	1349634952	1338586580	1151604107	1143109905	1125947881	1189880681	1365146374	1180880772	517793239	1074303117
methionine	596360017.9	1515563799	2326840654	1478352935	1309484423	1080948921	1253283951	1669952410	2404016345	1600171148	1523242039	1292014970	848793547.8	1767052329	1060356277	1721999966	1936161519	1288900050	1448455759	1494941838	2269764491	1542599774	778974703.8	1672743339
methyl acetoacetate	4248768.031	4502944.767	6533493.179	5279010.795	11423098.09	10552367.07	11240385.99	4101088.813	12181514.67	11763084.12	6892497.315	14327332.83	5897554.736	12271274.56	11312853.8	5941386.388	6870047.867	12004500.1	8662689.657	7717567.65	11160261.48	10289602.16	9166381.905	10064364.35
methylglyoxal	2606174.206				812951.0896	1562383.03	4913073.638		3319503.403			541973.0116						2735545.485	2004404.83	1383772.119	2862225.877	1880739.934		1153296.631
methylmalonic acid	15384862.69	21734870.51	27415135.99	27747780.99	22831689.27	14642013.1	22560753.94	21630055.11	25944135.97	25898289.88	22691499.42	28343061.06	17664448.21	22845004.84	17325578.8	27386501.78	24651822.41	30495227.82	23385591.37	23491062.18	23725791.16	27746187.32	3385826.612	26146946.23
mevalonic acid	8381614.788	41975949.83	99942170.83	9140779.913	50217448.19	6916439.878	156730255	14707921.35	54056923.18	108677754.7	89625234.35	28134606.25	21793348.97	74736642.73	7010215.487	19243708.29	126136310.5	18217189.58	41754332.1	30728311.28	146052394.7	70290408.54	44932154.7	27571004.58
N1/N8-acetylspermidine	227025.4596	9547498.619	7780632.319	121704221.3	20971657.85	6913083.336	6660522.569	9735084.156	12819082.81	17057335.84	6936660.957	6754299.705	8266195.518	4129555.521	10563435.36	8523807.423	5340061.001	6249323.483	7180408.663	7594740.798	7905113.477	15195837.83	5619329.232	5863869.428
N1-acetylspermine	14410212.91	13963912	7109540.023	6368755.878	4910222.42	2628241.754	2552861.415	1616339.707	896008.7892	527908.3107	209064.5672	282711.4304	339498.1439	103488.5847	31447.19202	81570.01609	9968.897968	28909.85261	92098.9724	60384.68209	17419.32258	7245.301556	40838.64707	65514.41713
N-acetylaspartic acid	140250153.9	225635865.1	261585287.2	203182175.7	124366655.2	88649768.95	187453404.4	248239663	158290859.5	221941180.2	130350806.2	130333387.3	91231668.1	263950136.2	220370741.1	205157913.5	142449503.7	135974787.5	171843636.2	239623393.4	190818262.8	180459374.1	60224417.12	144604246.1
N-acetylaspartylglutamic acid			187941.0213																					
N-acetyl-b-alanine	29141494.85	53519892.27	79767627.05	23149851.66	40286175.3	19945819.42	65117218.08	55442039.79	82010501.45	24463672.93	44179017.19	35772874.23	36583051.28	46728909.28	29858824.94	31424466.46	48489055.95	45472089.21	77538451	47960946.19	65112930.82	28314429.44	11985318.4	41644050.17
N-acetyl-DL-alanine 	5584400.494	15462770.16	17868028.9	12383224.02	19490806.55	6801090.283	24442884.26	14738606.61	23820520.79	21664933.98	22598063.05	12596223.46	31209546.61	17523404.9	31420500.54	51152366.21	20537672.57	21791813.97	31388970.82	16550783	30173245.35	15839623.72	8063104.165	17821092.08
N-acetyl-DL-serine / O-acetyl-L-serine	16081576.79	35525698.82	50566456.03	38530536.42	41943519.06	18071201.14	36143299.97	32631800.66	41440107.45	38256136.57	32453771.42	26194543.88	21791737.33	45602716.89	20890125.79	35711261.54	47680538.96	37547047.21	42317662.43	40255640.25	39706505.26	40232218.59	11865584.27	40036066.57
N-acetylglucosamine 1/6-phosphate	3660111.15	12478429.8	30947209.56	14446378.06	11912420.36	10909764.8	13187857.79	14443712.73	12338297.58	15205668	12578247.29	14017518.17	7225123.566	19148897.63	13972753.15	14785863.11	12227492.81	11360238.17	11394865.37	15150412.36	17675787.34	14233585.85	3458428.761	15121912.34
N-acetylglycine	6998710.935	14396308.84	16872610.68	14962759.37	16182553.98	8430809.268	16411098.74	14655345.61	19492173.45	21967530.32	19071305.2	9996320.601	9250308.229	19382563.57	7393792.662	17365096.28	19203919.16	13299358.89	11695859.37	18101111.29	15869265.19	16737694.26	3871307.48	17554716.25
N-acetyl-L-glutamic acid	6831549.325	12932677.84	10065322.88	8840718.998	6512664.067	3431595.625	8522942.204	9598637.431	6352391.886	11662822.85	6565610.247	4287185.581	7382441.297	10073662.17	9123966.89	7695401.215	5659470.139	2714536.883	7541147.887	7648534.709	8587083.305	7839937.507	4289913.961	4658026.728
NAD+	8837588.753	31847516.04	50769892.52	20525789.33	16449772.63	16843080.42	32422052.99	33722228.45	18681119.11	26438404.11	16004015.98	19750617.54	24617921.3	32729499.27	28499233.01	17914456.37	15390605.77	16647176.42	21251283.02	33441416.71	30206405.06	19419855.48	3371358.57	17426780.04
NADH	745946.2181	1704901.652	900559.1756	718505.1974	932814.0184	656511.9094	1614230.158	1641264.515	329439.1944	2631049.507	2029500.367	905717.1636	1584180.256	3153345.563	1771727.329	1346663.906	969605.6305	669311.1358	1809913.262	2825325.139	1920098.292	1381610.709	233707.8534	1303424.165
NADP+	198022.0848	389931.8839	5376693.039	349277.1208	235392.2446	120870.5024	480307.182	697744.6041	443657.6963	453239.4194	375962.2135	315307.7651	219204.0457	534413.656	505881.6745	361154.6814	443515.085	456147.2044	420960.6801	488597.6137	819984.0909	159326.4885	61876.00058	453733.25
NADPH	12670.82833	36492.47744	100704.6595	39720.68769	29244.88032		19082.55107	65609.66924			30009.49875		12337.10684	14300.15312	28531.95051	41108.45164	41534.55063		12015.26453		40066.41227	14666.80905		
N-carbamoyl-L-aspartate		125872.0345		21362.5393	166005.1919	53627.01224	15118.46899		73119.29649	75374.43031		62790.04671					76064.61006	66324.36754				73780.62911		65767.03118
nebularine			12107.67909								22570.38226								10324.82729					16203.42514
N-formyl-L-methionine	430266.3668	1258458.558	1283293.648	1394415.248	1072404.066	575639.3457	1223599.5	1114346.18	1333918.908	1240266.311	2435222.368	673416.9311	767924.8923	1357837.768	701202.1339	1644906.699	2203167.136	1160348.391	2558780.104	1365150.703	1349687.069	1507110.509	922114.3416	1187350.617
nicotinamide		55494616.01	64387464.28		33226671.32		45466124.49	32138074.41	100177725.1				66783564.38	60509552.64	81098853.85			49765543.71	68458003.45	43960549.32	57971011.51	29240787.98		25618278.32
nicotinamide riboside+	18042235.37	106159077.8	48173759.7	10967930.23	17932892.16	9157110.503	78429090.14	89516423.83	56731784.9	20997885.95	16027371.33	15649971.06	32190452.68	92967599.15	56641161.64	14142959.42	14035792.15	9700515.612	54175026.2	91448023.49	64767944.29	26845680.47	5973199.341	18401701.45
nicotinic acid	21498407.21	63304851.18	59397105.92	56864512.26	70511128.12	33685862.76	68249189.61	62486892.29	96431019.98	75390037.58	70767084.19	50908720.92	47914464.26	80430806.22	29906883.16	61407477.46	74104070.23	78215984.37	82786072.91	83748067.36	76371713.8	74061486.64	32479026.66	77245363.78
N-methyl-alanine																								
