Sample	A1	B1	C1	D1	E1	F1	A2	B2	C2	D2	E2	F2	A3	B3	C3	D3	E3	F3	A4	B4	C4	D4	E4	F4
Group	A	B	C	D	E	F	A	B	C	D	E	F	A	B	C	D	E	F	A	B	C	D	E	F
3-ureidopropionic acid	858131.0544	674885.9282	1336138.744	746118.878	828825.1306	171588.9431	1353629.004	569918.8525	1332389.076	993563.3528	1526178.542	869601.0947	1129978.81	1650606.733	497382.9779	829982.2216	1871785.515	668185.7853	1688003.244	1236915.466	1171770.039	1200600.045	268076.2602	912432.3146
4-hydroxybutanoic acid	3382200.453	12875566.84	11760363.9	7476958	6916733.305	3981610.73	10933136.34	14003716.1	13901851.42	11821225.06	8264639.109	2673234.494	11149254.08	14168279.65	2692559.265	7377509.535	22328886.21	5910340.545	11174787.35	12454598.58	10404543.31	12737022.1	4083839.878	7135976.72
4-hydroxyphenylpyruvic acid		88322.08863	29540.78278	50981.66714	53563.64231	89639.55636	46642.22537	19871.7425	53237.49269	29060.62026	140990.382	100274.4068		43764.90358	144879.0168	70590.09326	24237.47489	109905.0774	96577.6235	207156.649	28287.22882	222143.0565		106500.666
4-hydroxyproline / 5-aminolevulinate	31706387.86	20579736.92	50198586.87	44177185.96	48109280.07	34445240.03	43664914.04	33396565.39	56783806.9	52838437.38	59305669.35	61564979.16	24187944.78	35359347.18	32633918.48	66045637.8	54185641.18	71443841.94	49134386.09	32380364.88	42131514.4	62416578.81	31767639.29	57266148.84
5-aminopentanoic acid																								
5'-deoxyadenosine	76135.22461	53099.35879	471167.9528	521409.2221	100213.5813	233987.5346	190813.7635	221040.3262	543929.6562	594491.3115	662268.252	290582.1426	100300.3498	320931.7462	123110.7768	501617.6436	559214.1405	535624.86	359012.7074	404032.9977	319527.1052	466374.0183	408601.2017	456900.5978
5-HIAA	4109699.517	3082534.255	2411381.956	1887056.933	4335451.163	854144.193	11625635.43	2021304.646	3785272.068	3750110.377	3797452.462	1530720.833	3290259.456	1950809.317	1041275.836	4310727.995	4274282.749	5683121.273	10214911.76	3236749.056	1926672.961	2269033.319	1210740.082	2636986.006
5-methylcytosine	3305804.075	7430873.244	8271294.955	6442622.004	8411646.602	2607409.017	6777988.714	7355529.531	9883875.948	7057802.734	780624.0706	4934702.664	5041349.077	7628641.889	2756570.976	6768139.611	7919189.675	7761557.096	10184745.35	8309037.156	8620556.726	8680358.913	3271756.166	7168056.712
5-methyl-THF																								
5'-methylthioadenosine	12210804.1	18161010.52	31820649.82	34169378.02	17982462.95	18566602.46	37754834.14	27390891.99	56358127.31	32111086.89	31795094.03	16108848.29	27201462.05	28547020.31	27579823.31	39313266.23	23258255.31	21846749.64	69907653.83	22256475.53	34176508.44	27201053.13	15605219.14	21029222.14
6-aminohexanoate		133078150.2	185490046.1	119978096.6	217663502.7	143052982.5	249491208.9	153748605.7	226193909.8	97392506.1	311432264.7	162696199.9	124674242.3	123321220.7	91101387.25	110042406.9	334797705.4	285445436.4	193503245.6	129595954.6	134670661.5	109667554.8	95022977.99	223019684.6
6-O-methylguanine																								
6-phosphogluconic acid		760923.9202	3231959.806	592378.0541	1003631.978	283489.1658	899702.7884	345522.9396	717059.7384	2705344.179	1194562.783	1268870.058	424965.3582	2225726.907	1672074.338	1289761.315	953096.6581	1123397.578	709799.4999	1178248.674	2001411.986	1214967.972	431945.9369	1542388.395
6-phosphoglucono-D-lactone			31239.53504	15054.57578				14889.94266	16386.82519	16616.36567		51890.17632	13094.75122			27610.19008			12467.74506	63458.40137	14410.74057	19778.53589		
acetoacetic acid	86579334.94	28644149.32	24786099.25	19887192.28	34623496.88	35160777.91	16199404.9	14956675.08	8646489.97	23639513.55	22527508.47	26554256.63	11776933.44	15212291.85	23376549.47	16956524.64	15471216.12	15821745.71	19899363.55	13911386.74	15863428.38	14129862.73	28669925.47	18171399.35
acetoin -	1452433.671	3757541.173	5973900.84	3676900.327	2710644.059	1841085.047	6178569.812	4541144.945	6538344.833	3966633.6	2888294.386	2214647.795	261997.3056	3598181.747	1895691.214	3642722.932	2478497.292	5865532.678	5188721.259	4717300.532	4566732.885	5109365.845	811830.5219	5007916.149
acetylcarnitine+	1137932345	1136004415	831778254.2	643144548.7	621468172.7	352599263.4	939990336.4	876546739.7	704849758.8	643460405.8	418767186.7	404718136.8	546984020.7	930868628.8	731637204.3	612009529.6	798722103.2	559891774.3	733443340	786831090	800737305.4	488174788.3	267931430.7	447845786.7
acetylcholine+	37659468.27	288498900.2	106656593.4	64000374.37	522661602.4	28921458.18	77160956.93	167761575.8	116270479.7	82093713.24	67745029.59	45153287.05	129964920.8	343276696.4	48685213.01	164648203.8	73984770.97	70629338.57	155119947.4	335459561.8	92248230.9	82927691.72	264661454.6	60176182.91
acetyl-CoA																								
aconitic acid	195107329.1	172568123.8	285411487.4	176379930.5	169751973.8	149966051	242937823.3	289703857.5	225326956.3	293412046.6	244458929	322555124.3	123588867.7	186301230.4	197785601.6	299736147.7	352574993.6	338859177.8	182317157.4	184261753	254913118.8	202814885.3	77958710.33	254852114.4
acrylic acid	172137729.9	328808152.5	395359850.6	430298647.4	550814507	342264506.6	371764851.8	326028861	384850790.8	483103203.4	497514818.5	467334301.6	282256018.6	359316148.4	288579967.4	412980506.5	494699762.3	472296966.2	456147414	375317000.2	409028651.4	496596032.7	358721409.8	511907990.1
adenine	66686761.63	104139963.6	122024346.8	131588045.6	202904678	68458318.06	179602128	120796435.5	149808655.3	152857868.7	243706673	102598647.6	69166967.19	121580703.4	30734511.08	172652625.4	246576147	185558691	199015407.4	182835428.7	141836809.4	164654314.3	171686983.3	219884419
adenosine	618886977.4	1206044158	1105167160	963700584.9	1315684865	390690038.2	1645776498	1339117939	1224543605	1134173318	1310134782	651018413	543091052.5	963406383.2	337650869.6	1026462616	1122761633	1086651637	1474294011	1509231823	1388050771	1242805655	521978781	1322482166
adenylosuccinate	218420.169	780875.1146	8566166.992	1608491.24	1147777.704	606487.7365	784011.4465	1417387.987	599371.0119	2227388.719	1507859.547	1533006.085	467689.1273	1492176.329	982066.018	2266163.105	1236252.038	1050128.355	548941.9703	1192696.204	983397.6766	1516805.788	430430.4798	1720446.95
