Gene name,Glia precursors (GP),Midline glia (MG),Perineurial glia (PG),Subperineurial glia (SPG),Astrocyte like glia (AG),Ensheathing glia (EG),Cortex glia 1 (CG1),Cortex glia 2 (CG2),Twi+,Unanotated (UA)
CG6683,1.025232844,1.056354104,1.075094254,1.03674985,1.031605178,1.302994339,1.052609309,1.685792525,1.108390354,1.024798068
GstO3,1.015064189,1.389495494,1.03686752,1.393800535,1.430228426,1.008861195,1.586371352,1.60762802,1.066431491,1.058821363
se,1,1,1,1,1,1,1,1,1,1
GstO2,1.113106699,1.579111144,1.708851809,1.768678525,1.282649831,3.408529443,1.144733661,6.220344431,4.011917145,1.618899385
GstO1,1.030355309,1.056354104,1.172687754,1.197760277,1.132541315,1.063701872,1.004671983,1.329570407,1.080238255,1.05021108
foi,1.030355309,1.056354104,1.067337791,2.073072163,1.570167363,1.361757001,1.014081534,1.329570407,1.3971769,1.158323286
ergic53,1.295848149,2.539580038,2.00394959,2.028663575,1.834482248,5.25177986,1.47924628,5.268045103,4.116471753,1.528963659
rhea,1.276616949,10.95676986,2.508251434,3.314180636,5.984488366,1.938011375,1.458705469,1.462003639,1.95210329,2.376219332
CR43910,1.004996391,1.075835899,1.029386851,1.007244249,1,1,1,1,1.012946696,1
CG6638,1.158384703,1.389495494,1.189793791,1.445022496,1.343935353,1.280205514,1.057527082,1.180769016,1.212827073,1.288039193
CG43078,1,1,1,1,1,1,1,1.024021979,1,1
Nelf-E,1.053724973,1.136463666,1.207149354,1.223979925,1.302761348,1.638926159,1.166276754,2.523840212,1.630386245,1.256871215
RpL14,1279802.214,3.34048E+21,3.84508E+26,2.24438E+19,2.38989E+15,9.91217E+28,7.11585E+13,1.29838E+53,5.25618E+62,1.27756E+19
CG5989,1.072267222,1.22264841,1.288436125,1.146993954,1.186654592,1.314540426,1.171725579,1.767757467,1.489993444,1.187047466
CG6282,1,1.018442485,1,1,1,1,1,1,1,1.008198621
S-Lap1,1,1,1,1.007244249,1,1,1,1,1,1
GAPsec,1.085711119,1.178768635,1.260749866,1.138744605,1.205260937,1.554428969,1.204957308,1.810222501,1.3101422,1.148903858
Zasp66,1.012537824,1.018442485,1,1,1.0477804,1,1,1,1.012946696,1
Cdc6,1.017596859,1.075835899,1.130990923,1.021890563,1.064209244,1.314540426,1.047714405,1.646246427,1.293396983,1.058821363
Cpr66D,1,1,1,1,1,1.045098172,1,1,1,1.01646446
CG13305,1.002495083,1,1,1.007244249,1,1.008861195,1.004671983,1.099606032,1,1
Pex7,1.025232844,1.075835899,1.007267112,1.029293393,1,1.017800911,1.014081534,2.295222234,1,1.01646446
h,2.127757245,120050805.8,294.139574,19.42679932,46.6572265,1.758776799,11.23588505,1.329570407,4.865761727,3.692970909
CR44526,1.002495083,1,1.007267112,1,1,1,1,1,1,1
SrpRbeta,1.299081397,3.796339812,2.367084908,1.781491272,1.750827032,2.459260859,1.623776739,5.931928072,3.527654418,1.672646844
CG32022,1.045876776,1.245197085,1.279140468,1.223979925,1.243353424,1.790084628,1.107986357,1.99053158,1.672875756,1.298599338
CG6511,1.015064189,1.095676986,1.014587035,1.014540976,1.064209244,1.111672882,1.018819306,1.238179203,1.080238255,1.01646446
Cp18,1.002495083,1,1,1.007244249,1.015679663,1.026819843,1,1,1.026061009,1
Fhos,1.040677146,1.364333789,1.242623672,1.074850251,1.69718713,2.615920378,1.004671983,1.099606032,1.052801194,1.041670815
dally,1.196525829,3.72759372,2.94139574,2.910380978,5.202549442,3.62566E+11,2.481628923,129.8380732,16.09547918,2.085205857
CG32026,1,1,1,1,1,1.054358991,1.004671983,1,1,1.008198621
Mcm7,1.053724973,1.136463666,1.521913387,1.146993954,1.064209244,2.231819171,1.077429008,7.88691602,6.133515925,1.206591562
TrpA1,1,1,1,1,1,1,1,1.024021979,1,1
Tsp66E,1.242097948,1.966304593,3.499654388,1.306133176,1.570167363,1.668100537,1.94748304,1.646246427,1.344285828,1.77103421
CG43783,1.004996391,1.018442485,1.021960152,1.044260324,1,1.082636734,1.014081534,1.126020745,1,1.024798068
orb2,1.010017746,1.136463666,1.051992343,1.074850251,1.0477804,1.082636734,1.042842263,1.180769016,1.080238255,1.01646446
GNBP3,1.004996391,1.018442485,1,1.014540976,1.015679663,1,1,1.298380732,1.026061009,1.033199999
mRpL12,1.308829626,1.861406687,2.920174505,2.103216657,1.806162232,3.204402976,1.507084669,7.70190111,4.865761727,2.068249066
CG13313,1,1,1,1,1,1,1,1,1,1
ValRS-m,1.004996391,1,1.007267112,1.007244249,1,1.026819843,1.004671983,1.099606032,1.039345109,1.01646446
CG5021,1.34185512,2.002568136,2.00394959,1.873817423,1.834482248,3.066126286,1.790756092,3.518777065,2.24882317,1.64555369
CG5026,1.045876776,1.200508058,1.122831183,1.044260324,1.097843767,1.161807296,1.586371352,1.024021979,1.080238255,1.076254285
pix,2.327464775,17.30195739,14.78465929,9.038843201,5.284123666,22.31819171,4.464754368,788.691602,715.7289818,10.5021108
Srp68,1.127062635,1.339627725,1.326299205,1.232846739,1.323188207,1.385997517,1.262451129,2.188800532,1.489993444,1.256871215
CG5644,1,1,1,1.014540976,1.015679663,1,1.018819306,1,1,1
CG13314,1.00750394,1.018442485,1.007267112,1.029293393,1.302761348,1,1.004671983,1,1,1.024798068
Galk,1.129874749,1.494869134,1.532973302,1.155303063,1.302761348,1.121523632,1.128837892,1.298380732,1.122740346,1.158323286
CG5068,1.093858231,1.200508058,1.33593757,1.241777788,1.132541315,1.758776799,1.102833936,1.810222501,1.630386245,1.187047466
CG5280,1.002495083,1,1.007267112,1,1,1,1.004671983,1.024021979,1.012946696,1
smg,1.020135847,1.22264841,1.051992343,1.03674985,1.0477804,1.257815257,1.037992778,1.126020745,1.197325661,1.058821363
CG5087,1.020135847,1.037225095,1.029386851,1.014540976,1.031605178,1.161807296,1.023579213,1.267922718,1.052801194,1.05021108
Doc3,1,1,1,1,1,1.008861195,1,1,1,1
CG5144,1.00750394,1.037225095,1,1,1,1,1,1.024021979,1,1
Argk,58.08570489,288614.0441,4.104E+25,1445022496,9.693631061,1.314540426,13.98778627,4.0574E+13,137.9319273,479.5689579
CG4911,1.038087033,1.157422881,1.067337791,1.074850251,1.115057588,1.246767408,1.082462738,1.153069992,1.052801194,1.067502238
CG4942,1,1,1.021960152,1.029293393,1.031605178,1.045098172,1.033165845,1.153069992,1.039345109,1.01646446
teq,1.053724973,1.291549665,1.082907085,1,1,1.008861195,1.004671983,1,1.012946696,1.01646446
CG32032,105.6354104,610540.2297,2266.448797,1.445022496,2143.290708,1.063701872,1366.556305,1.726288598,1.122740346,25.36619456
CG13315,1.149756995,2.077113926,1.106687889,1.059444888,1.097843767,1,1,1,1,1.024798068
bol,1.00750394,1.095676986,1.03686752,1.029293393,1.015679663,1.017800911,1.009365794,1.048621014,1.066431491,1.033199999
Dhpr,1.286196606,1.966304593,2.563333017,1.887391822,2.176896784,2.15443469,1.782428615,5.656884604,2.136037823,1.632172129
Use1,1.048486325,1.200508058,1.224758083,1.146993954,1.168335485,1.361757001,1.082462738,1.49712386,1.137276124,1.236512701
nwk,1.004996391,1,1,1,1,1.008861195,1,1,1,1
Rdl,1.030355309,1.056354104,1.03686752,1.029293393,1.080895687,1.045098172,1.018819306,1,1.012946696,1.111985927
Slc45-1,3.099859367,166.8100537,1.207149354,2.412376788,1.408149122,1,1.004671983,1,1.27686579,1.386257701
CG4476,1.002495083,1,1.021960152,625.515743,1.097843767,1.008861195,1,1.153069992,1.026061009,1.01646446
GluRIB,1,1,1.021960152,1,1,1,1,1,1,1.008198621
PGRP-LA,1.14404092,1.339627725,1.395256608,1.044260324,1.115057588,1.017800911,1.458705469,1,1.012946696,1.187047466
PGRP-LC,1.027790885,1.268161613,1.155827656,1,1.115057588,1.008861195,1.072418686,1,1,1.024798068
PGRP-LF,1.02268117,1.608233878,1.03686752,1.007244249,1.015679663,1,1.004671983,1,1,1.01646446
UGP,1.338515414,3.340484984,2.15443469,2.058162324,2.110203429,1.349796194,1.322688233,1.726288598,1.528824176,1.467799268
CG32039,1.348559553,1.762104848,2.350007143,1.999587618,2.352998345,2.212216291,1.623776739,2.188800532,2.002977071,1.516530202
Pdxk,1.167077153,1.637893707,1.721270226,1.718342445,1.498565312,1.58209922,1.911509753,1.267922718,1.738695234,1.256871215
Klp67A,1.012537824,1.056354104,1.114730314,1.021890563,1.015679663,1.337940443,1.009365794,1.810222501,1.094223771,1.058821363
mRRF1,1.096587497,1.136463666,1.242623672,1.114350837,1.132541315,1.121523632,1.118363529,1.36150932,1.197325661,1.187047466
CG4452,1.051102385,1.245197085,1.189793791,1.180593298,1.224159023,2.416249418,1.171725579,2.77522992,1.548617398,1.158323286
Fdx1,1.074942617,1.157422881,1.215921843,1.114350837,1.262848787,1.638926159,1.21624269,1.462003639,1.528824176,1.309246063
Hsp67Bc,1.064280922,1.31536905,1.365274962,1.155303063,1.080895687,7.343454074,1.047714405,2.406818267,1.470949508,1.22645744
CG4461,1,1.056354104,1.014587035,1.007244249,1,1,1,1,1,1.008198621
Hsp26,6.984830058,66895487869,2333052589,5001031.167,2.2457E+15,1.16181E+12,3.177051768,8.07638E+31,1.26055E+15,20852.05857
Hsp67Ba,1.064280922,1.095676986,1.106687889,1.146993954,1.097843767,1.214202682,1.028361358,3.603305055,1.807104387,1.330802093
CR43481,1.004996391,1.018442485,1.014587035,1,1,1,1.009365794,1,1.039345109,1.008198621
Hsp23,39474.83708,19306977289,1.33594E+26,1.44502E+29,2.92561E+18,3.0125E+29,123.9131533,7.17249E+49,2.16369E+20,1.19678E+11
Hsp27,7564.633276,2002568.136,828397908.5,276698159,1723798452,120353789.8,77.74782691,9.53633E+18,79330709926,1139.561029
CG4080,1.043273722,1.268161613,1.181209807,1.344394248,1.132541315,1.758776799,1.749504161,1.646246427,1.27686579,1.121102678
eIF4E1,3.20991481,21.15421069,47.09295851,17.81491272,10.97843767,42.12317252,6.697472378,1073.810967,486.5761727,13.97623103
Cpr67B,1.002495083,1.037225095,1,1,1.0477804,1.017800911,1,1.024021979,1.026061009,1
CG4022,1.038087033,1.115883993,1.114730314,1.03674985,1.080895687,2.615920378,1.042842263,2.406818267,2.002977071,1.130294175
CG3689,1.138353262,1.579111144,1.975138181,1.434629682,1.386410669,2.933816523,1.221924955,6.220344431,6.293361537,1.516530202
CG3967,1.077624688,1.31536905,1.189793791,1.268961003,1.132541315,1.361757001,1.286209583,1.462003639,1.452148977,1.16781994
CG3982,1,1.018442485,1,1,1,1.008861195,1,1,1,1
aay,2.264531442,43.14402261,8.047488734,1.807395895,2.176896784,1.008861195,6.245202986,1.073810967,1.052801194,1.16781994
Shc,1.375713942,2.993577295,2.350007143,1.657432066,2.504082589,5.298316906,2.390795943,3.689863575,3.35073178,1.800193333
RpS17,3433.320018,4.01028E+12,1.50003E+16,5.29832E+11,96936310.61,9.15558E+17,24244620.17,4.90593E+28,4.38994E+35,29382253840
MTF-1,1.038087033,1.157422881,1.114730314,1.044260324,1.064209244,1.082636734,1.062467831,1.024021979,1.152000093,1.024798068
CG42526,1.004996391,1.018442485,1.021960152,1,1,1.045098172,1,1.073810967,1,1.01646446
Bet3,1.127062635,1.441219597,1.307230588,1.250773535,1.205260937,1.257815257,1.280228377,2.241379853,1.509283936,1.148903858
Nf-YA,1.027790885,1.075835899,1.114730314,1.082636734,1.097843767,1.302994339,1.033165845,1.646246427,1.470949508,1.148903858
CG3529,1.17583483,2.002568136,1.500032363,1.621927166,2.110203429,2.116754531,1.69334301,2.406818267,1.830500418,1.352713031
CG3448,1.03292613,1.056354104,1.090776692,1.082636734,1.031605178,1.101908654,1.042842263,1.153069992,1.137276124,1.058821363
ghi,1.60556431,4.393970561,4.255306214,4.858703264,5.536601209,3.890794687,2.390795943,4.461537381,3.960639944,2.867126194
phol,1.045876776,1.136463666,1.189793791,1.074850251,1.115057588,1.682881902,1.134111803,2.350358015,1.784007386,1.093974231
CG3552,1.017596859,1.095676986,1.067337791,1.029293393,1.0477804,1.172102298,1.009365794,1.180769016,1.026061009,1.033199999
CR45873,1.012537824,1.037225095,1.03686752,1.021890563,1.0477804,1.054358991,1.023579213,1.048621014,1.052801194,1.01646446
CG3437,1.012537824,1.075835899,1.147488727,1.098379329,1.064209244,1.326188825,1.042842263,1.427707284,1.3971769,1.076254285
CG3434,1.056354104,1.115883993,1.385190275,1.20643715,1.080895687,1.59611851,1.144733661,1.533087739,1.568666877,1.16781994
CG44838,1.18170976,2.115421069,2.6196242,1.306133176,1.186654592,1.448503471,1.250736984,2.087313245,2.367563718,1.700186071
Uch-L5,1.335184019,1.467799268,3.350867326,1.956753188,1.892461387,5.205651566,1.405313698,71.72492505,7.157289818,1.516530202
Jarid2,1.088420058,1.730195739,1.521913387,1.155303063,1.150299182,3.261444268,1.244920735,4.154862932,2.871445374,1.2466504
pall,1.035503366,1.389495494,1.251653957,1.241777788,1.132541315,1.624530874,1.047714405,2.295222234,1.452148977,1.158323286
CG32037,1.002495083,1.018442485,1,1,1,1,1,1,1,1
path,5.609417292,219.416782,1.385190275,25929437.97,11.86654592,1.487352107,1.057527082,78869.1602,42.2375116,2.018201567
CG3408,1.072267222,1.200508058,1.385190275,1.172102298,1.064209244,2.061466327,1.144733661,7.172492505,1.807104387,1.363803413
RpS9,22872.16942,5.57226E+17,6.57068E+19,6.62699E+13,27490914631,2.57017E+23,4485613626,4.25467E+38,1.60955E+48,4.10653E+13
CR45874,1,1,1,1.007244249,1,1,1,1.024021979,1.012946696,1.008198621
CG42673,1.053724973,1.494869134,1.021960152,1.098379329,1,1.008861195,1.042842263,1.462003639,1.108390354,1.05021108
Tmc,1.00750394,1.018442485,1,1,1,1,1.004671983,1.024021979,1,1
LanB2,1.004996391,1.22264841,1.172687754,1.768678525,1.015679663,2.709880823,1.118363529,1.329570407,2.492573909,1.444024189
CG3335,1.043273722,1.200508058,1.269911877,1.082636734,1.097843767,1.291549665,1.062467831,1.533087739,1.379319273,1.076254285
CG8336,1.056354104,1.245197085,1.139209961,1.114350837,1.132541315,1.554428969,1.102833936,1.943836773,1.452148977,1.139561029
fry,1.051102385,1.966304593,1.307230588,1.259834449,1.323188207,1.15160272,1.316537392,1.073810967,1.166914687,1.085078087
CNMaR,1.002495083,1,1,1.051825205,1,1,1,1,1,1
CG16717,1.102066477,1.579111144,1.365274962,1.215176881,1.47543105,1.373823796,1.322688233,1.49712386,1.761205593,1.187047466
alphaTub67C,1,1.018442485,1.021960152,1,1.031605178,1,1.009365794,1,1,1
CG6767,1.769438603,4.993587893,13.55424938,4.455565385,5.623413252,9.155579198,1.993403157,181.0222501,19.27153025,2.43514498
CR45804,1,1,1,1,1,1,1,1,1,1
Ubc4,1.19951126,1.415121244,1.73377889,1.519911083,1.408149122,2.959813644,1.298255957,3.355623258,2.624184787,1.330802093
CG16711,1.027790885,1.075835899,1.215921843,1.029293393,1.0477804,1.728016531,1.113162851,1.329570407,1.182022377,1.058821363
SH3PX1,1.501090673,4.641588834,2.962771192,3.105725082,5.12223453,2.135511506,2.736824592,2.038348089,2.798513294,2.136914933
vsg,4.98944165,946.6522603,22.01746403,15.64434435,29.71481105,32.90344562,3.520130016,11.53069992,6.212924691,6.757518355
CG18178,1.048486325,1.339627725,1.395256608,1.180593298,1.150299182,1.257815257,1.166276754,1.853707628,1.927153025,1.148903858
CG14174,1.010017746,1.037225095,1.059637289,1.044260324,1,1.141487774,1.028361358,1.153069992,1.152000093,1.041670815
nbs,1.020135847,1.018442485,1.082907085,1.03674985,1,1.15160272,1.018819306,1.180769016,1.122740346,1.024798068
defl,1.015064189,1.037225095,1.090776692,1.067119771,1.0477804,1.111672882,1.037992778,1.126020745,1.182022377,1.058821363
Naa60,1.289405773,2.15443469,1.385190275,1.354133374,1.545927736,1.280205514,1.341313712,1.298380732,1.182022377,1.148903858
ATPsynB,5.23136134,115.7422881,138.5190275,175.595793,180.6162232,67.82934519,12.04957308,1990.53158,2337.303362,57.86438578
CG6749,1,1,1,1,1,1,1,1,1,1.008198621
CG42268,1.00750394,1,1.014587035,1.007244249,1,1.192966786,1.009365794,1.209133425,1.122740346,1.01646446
CG8177,1.002495083,2.077113926,1.014587035,27.07708329,1.0477804,5.635829609,1,1.726288598,1.761205593,1.444024189
CG32052,1,1,1.007267112,1,1,1,1,1.024021979,1,1
Ilp2,1,1,1,1,1,1,1,1,1,1
CG43897,1.002495083,1.037225095,1.007267112,1,1.0477804,1,1,1,1.012946696,1.041670815
I-2,1.178768635,1.608233878,1.73377889,1.498126856,1.594787058,1.610262028,1.347580307,2.406818267,1.878205106,1.444024189
Cdk8,1.027790885,1.095676986,1.114730314,1.114350837,1.080895687,1.326188825,1.067431663,1.726288598,1.228529176,1.041670815
RasGAP1,1.025232844,1.389495494,1.164227185,1.082636734,1.080895687,2.043359718,1.107986357,1.394215469,1.182022377,1.085078087
CG10809,1.030355309,1.095676986,1.075094254,1.03674985,1.0477804,1.59611851,1.033165845,1.569915541,1.65149436,1.148903858
iPLA2-VIA,1.056354104,1.415121244,1.33593757,1.424311614,1.343935353,1.326188825,1.4118793,1.685792525,1.228529176,1.16781994
CG8108,1.20250414,2.039500469,2.15443469,1.445022496,1.205260937,5.537261314,1.360201467,14.27707284,3.960639944,1.618899385
CR45406,1,1,1,1,1,1,1,1.024021979,1,1
CG34382,1,1,1,1,1,1,1,1,1,1
Taf2,1.040677146,1.157422881,1.106687889,1.044260324,1.150299182,1.51382833,1.072418686,1.49712386,1.361689888,1.085078087
CalpB,1.20851232,6.812920691,1.555334836,1.873817423,1.863246312,1.280205514,1.405313698,1.048621014,1.080238255,1.632172129
CG6707,2.165199088,8.639884495,8.283979085,2.76698159,2.583224566,8.91644163,11.50081837,6.074424726,2.871445374,2.189906295
nudE,1.121459385,1.339627725,1.355424938,1.325125628,1.386410669,2.547594298,1.250736984,2.58446785,1.784007386,1.444024189
bma,1,1,1.007267112,1,1,1.008861195,1,1,1,1.01646446
CG6685,1.027790885,1.075835899,1.106687889,1.044260324,1.015679663,1.423169753,1.047714405,1.646246427,1.137276124,1.05021108
Dronc,1.18170976,2.448436747,1.759069582,1.768678525,1.594787058,1.280205514,1.139410355,1.153069992,1.197325661,1.309246063
CG6674,1.038087033,1.075835899,1.139209961,1.082636734,1.262848787,1.314540426,1.144733661,1.569915541,1.166914687,1.085078087
dpr6,1,1,1,1,1,1.017800911,1,1.024021979,1.026061009,1.008198621
dpr10,1.002495083,1,1.007267112,1.007244249,1,1.008861195,1,1,1,1
CG32055,1,1,1,1,1,1,1,1,1,1
scramb1,1.193547828,2.586416205,1.589490226,1.553182793,1.619792782,2.373990229,1.669829252,2.523840212,2.492573909,1.504197853
can,1,1,1,1,1,1,1,1,1,1
CR45242,1.002495083,1,1,1,1.015679663,1,1,2.406818267,1,1
CR46003,1,1,1,1,1,1.026819843,1.018819306,4.254670963,1,1
CR46004,1,1,1,1,1,1,1,1.024021979,1,1.008198621
CR46006,1.004996391,1.075835899,1.03686752,1.189145809,1.064209244,4.212317252,1.047714405,8.880831054,1.197325661,1.206591562
Gem3,1.002495083,1,1.075094254,1.051825205,1.015679663,1.172102298,1.014081534,1.153069992,1.080238255,1.05021108
Rbfox1,1.989304654,439.3970561,26.38661302,11.89145809,22.45697996,248.1052849,20.30917621,44.61537381,79.33070993,5.929931074
CG42521,1,1,1,1,1,1,1,1,1,1
hay,1.025232844,1.157422881,1.098703488,1.044260324,1.031605178,1.224961969,1.028361358,1.394215469,1.066431491,1.085078087
CG34001,1.058989795,1.157422881,1.251653957,1.114350837,1.097843767,1.182488525,1.062467831,1.685792525,1.27686579,1.130294175
E(z),1.056354104,1.178768635,1.215921843,1.155303063,1.064209244,1.373823796,1.107986357,1.853707628,1.716472585,1.130294175
CG8009,1.124257519,1.178768635,1.198440155,1.215176881,1.132541315,1.373823796,1.102833936,1.767757467,1.65149436,1.121102678
CG18628,1,1,1.007267112,1,1.015679663,1.026819843,1,1.073810967,1,1.008198621
CG32066,1.358679063,4.084238653,2.454353459,3.290344562,4.056094905,20.61466327,5.988636256,2.295222234,1.672875756,1.566879004
CG14153,1.010017746,1,1.044402552,1,1,1,1.004671983,1,1,1
CG8003,1.085711119,1.364333789,1.850527731,1.393800535,1.282649831,2.079733382,1.221924955,4.905933415,2.524844505,1.277564921
Adi1,1.613586337,3.72759372,2.638661302,2.028663575,1.952272966,1.697794246,1.549827636,1.462003639,1.716472585,2.22596192
simj,1.03292613,1.339627725,1.181209807,1.059444888,1.132541315,1.838094418,1.062467831,1.646246427,1.784007386,1.076254285
CG11811,1.03292613,1.389495494,1.082907085,1.807395895,1.031605178,3.012501023,1.077429008,2.523840212,2.727433622,1.341712835
CG33493,1.002495083,1.018442485,1.021960152,1.007244249,1.015679663,1.026819843,1.004671983,1.024021979,1.039345109,1.024798068
ND-13B,1.945185569,2.586416205,4.88291591,3.969593918,5.892102188,3.53095937,2.22934939,12.67922718,5.825901377,2.578383526
NijA,1.058989795,10.37225095,1.014587035,1.114350837,1.097843767,1.008861195,1.004671983,1.853707628,1.012946696,1.206591562
CG43245,1.004996391,1,1.021960152,1,1,1,1,1.024021979,1.012946696,1.01646446
CR44347,1.002495083,1,1,1,1,1,1,1,1,1
CR45169,1,1.037225095,1.007267112,1,1,1.017800911,1,1,1.039345109,1.008198621
tna,1.428110804,4.475006297,6.111721022,4.520353656,3.871130729,235.3138609,1.549827636,168.5792525,743.8894164,5.786438578
CG6418,1.056354104,1.178768635,1.251653957,1.051825205,1.150299182,1.51382833,1.057527082,1.60762802,1.470949508,1.111985927
Blos4,1.058989795,1.115883993,1.114730314,1.114350837,1.0477804,1.280205514,1.107986357,1.36150932,1.166914687,1.024798068
galla-2,1.158384703,1.467799268,1.54411359,1.393800535,1.619792782,1.743328822,1.366556305,2.710127298,1.630386245,1.22645744
CG6404,1.038087033,1.056354104,1.122831183,1.067119771,1.015679663,1.214202682,1.042842263,1.394215469,1.228529176,1.05021108
Cpr67Fa2,1.00750394,1,1,1,1,1,1,1,1,1
CR45171,1,1.018442485,1,1.007244249,1,1.008861195,1,1,1.066431491,1
Cpr67Fb,1.102066477,1.136463666,1.014587035,1,1.0477804,1.008861195,1.004671983,1,1,1
Aps,1.308829626,3.279993748,3.525086768,2.180509553,2.110203429,52.05651566,1.392273947,139.4215469,63.74839776,2.395701055
CR45745,1,1,1,1,1,1,1,1,1,1
klu,1.002495083,1.037225095,1.051992343,1.296739275,1.150299182,1.035918694,1.004671983,1.533087739,1.066431491,1.008198621
CG43693,1.043273722,1.467799268,2.796023907,169.3714187,2.835976989,1.045098172,46.9964201,1.099606032,1.012946696,1.16781994
CG7888,1.883179747,84.83428982,23.84286779,1.122423471,2.427365277,1.017800911,15.49827636,1.209133425,1.026061009,1.130294175
CG6321,1.002495083,1,1.021960152,1.067119771,1.031605178,1.035918694,1.004671983,1.126020745,1.080238255,1.01646446
Blos2,1.072267222,1.115883993,1.207149354,1.268961003,1.205260937,1.291549665,1.177199862,1.427707284,1.122740346,1.085078087
CG32069,1.229778341,1.494869134,1.837176762,1.598680786,1.834482248,2.061466327,1.239131533,3.869268484,1.85419935,1.409081686
CG32075,1.02268117,1.037225095,1.224758083,1.074850251,1.064209244,1.131461672,1.067431663,1.238179203,1.197325661,1.058821363
CG6310,2.192345972,46.41588834,6.383097035,3.338189385,1.408149122,8.995451959,1.057527082,1.810222501,36.19588651,1.921710412
Mocs1,1.020135847,1.136463666,1.014587035,1.098379329,1,1.008861195,1.009365794,1.099606032,1.122740346,1.033199999
Pfdn2,1.581736728,5.085682064,12.15921843,4.754621911,3.418092283,14.74288152,2.854076351,132.9570407,47.4217584,7.514265309
CG7839,1.020135847,1.095676986,1.198440155,1.051825205,1.132541315,1.203537898,1.102833936,1.49712386,1.3101422,1.102943312
JIL-1,1.164172446,2.448436747,1.810763098,1.383776117,1.645190588,7.474174246,1.35387618,10.24021979,4.865761727,1.374984721
Iyd,1,1,1,1,1,1,1,1,1,1
CG33947,1.048486325,1.018442485,1.130990923,1.03674985,1.015679663,1.131461672,1.028361358,1.073810967,1,1
Irbp18,1.056354104,1.200508058,1.106687889,1.130554586,1.150299182,1.172102298,1.123588505,1.153069992,1.379319273,1.148903858
APP-BP1,1.051102385,1.056354104,1.207149354,1.098379329,1.205260937,1.448503471,1.067431663,1.394215469,1.361689888,1.148903858
CG7638,1.178768635,2.15443469,1.54411359,1.598680786,1.323188207,1.728016531,1.304321387,1.427707284,1.568666877,1.158323286
Sod1,163.7893707,17621.04848,7219.224808,1424.311614,49653.05174,410.229436,818.3808636,13942.15469,2191.705124,67.02566549
FoxK,1.02268117,1.075835899,1.122831183,1.029293393,1.031605178,1.500531824,1.018819306,1.238179203,1.137276124,1.041670815
mRpL2,1.17583483,1.467799268,1.975138181,1.508979659,1.430228426,2.52521785,1.21624269,5.931928072,4.389935108,1.64555369
Ufd1-like,1.328546083,1.441219597,2.233863354,1.873817423,1.952272966,2.231819171,1.782428615,4.461537381,1.95210329,1.528963659
NaPi-III,1.061632062,1.136463666,1.090776692,1.730790545,1.150299182,1.361757001,1.028361358,7.004236871,1.197325661,1.267175827
nol,1,1,1,1.007244249,1,1,1.004671983,1.024021979,1.012946696,1
CG32074,1,1,1,1,1,1,1,1,1,1
CG14143,1.002495083,1,1,1,1,1,1,1,1,1
IRSp53,1,1.018442485,1.007267112,1,1,1,1,1.048621014,1,1
CR43989,1.004996391,1,1,1.03674985,1.031605178,1,1.004671983,1.024021979,1,1
Alg10,1.104816224,1.31536905,1.446696259,1.325125628,1.323188207,1.527242658,1.177199862,2.350358015,2.277938,1.386257701
wls,1.066936391,1.157422881,1.446696259,1.259834449,1.168335485,2.933816523,1.113162851,2.295222234,2.429264817,1.206591562
CG7616,1.004996391,1.037225095,1.044402552,1.007244249,1,1.054358991,1.023579213,1.048621014,1.039345109,1.008198621
GlcAT-P,1.002495083,1.115883993,1.007267112,1.044260324,1,1.026819843,1.004671983,1,1.012946696,1.008198621
Plod,1.118668215,2.634116148,1.850527731,4.360119904,1.168335485,1.527242658,1.685468529,1.60762802,15.28824176,1.397623103
CG7607,20.80567538,2194.16782,218.5861503,2.326864854,2.352998345,1.161807296,192044.0294,1.394215469,1.122740346,2.455109812
CG14141,2.941810669,24.93592005,35.50703967,1.287412935,1.545927736,1.073127541,226074.2049,1.394215469,1.094223771,2.318719567
Ube3a,1.027790885,1.095676986,1.147488727,1.259834449,1.168335485,1.302994339,1.102833936,1.329570407,1.152000093,1.05021108
CG7600,1.030355309,1.115883993,1.106687889,1.130554586,1.080895687,1.314540426,1.107986357,1.180769016,1.24443457,1.16781994
CG42671,1.074942617,1.415121244,1.242623672,1.090479624,1.224159023,1.59611851,1.239131533,1.394215469,1.433588739,1.2466504
CR44716,1,1,1,1,1,1,1,1,1,1
scyl,1.650184363,6.938567879,3.16227766,25.92943797,12.62848787,1192966.786,2.137762794,129.8380732,65.40974531,1.921710412
CG6175,1.010017746,1.037225095,1.007267112,1.029293393,1.031605178,1.063701872,1.009365794,1.024021979,1.012946696,1
CR45251,1.027790885,1,1.007267112,1.021890563,1,1.026819843,1.009365794,1.024021979,1.012946696,1.01646446
CG6163,1.012537824,1.037225095,1.106687889,1.074850251,1.064209244,1.955184472,1.014081534,2.295222234,2.429264817,1.102943312
CR45036,1,1,1.007267112,1,1,1.017800911,1,1,1.052801194,1.008198621
CR44363,1.010017746,1,1,1.138744605,1.031605178,1,1,1,1.012946696,1.05021108
CG7560,1,1,1,1,1,1,1,1.024021979,1,1.008198621
chrb,1.351924321,2.993577295,2.94139574,4.965063016,2.245697996,52.98316906,1.304321387,12.09133425,21.91705124,1.579725251
Sgs7,1.03292613,1.075835899,1.051992343,1.014540976,1,1.008861195,1.033165845,1.073810967,1.052801194,1.033199999
