Gene name,Glia precursors (GP),Midline glia (MG),Perineurial glia (PG),Subperineurial glia (SPG),Astrocyte like glia (AG),Ensheathing glia (EG),Cortex glia 1 (CG1),Cortex glia 2 (CG2),Twi+,Unanotated (UA)
Fip1,1.096587497,1.55051578,1.467799268,1.163672366,1.243353424,2.353138609,1.155455001,5.524182799,2.834744795,1.352713031
CG34357,1,1,1,1,1.015679663,1,1,1,1,1
CR45558,1,1,1,1,1,1,1,1,1,1
CR44317,1,1,1,1,1,1,1,1,1,1
5-HT2A,1,1,1,1,1,1,1.004671983,1,1,1.008198621
CG9775,1.14404092,2.15443469,1.975138181,1.730790545,1.430228426,3.469204372,1.366556305,8.469056916,2.692573689,1.444024189
slx1,1.004996391,1.037225095,1.044402552,1.021890563,1,1.073127541,1.009365794,1.180769016,1.152000093,1.01646446
MED31,1.138353262,1.494869134,1.555334836,1.287412935,1.430228426,2.19278559,1.292218732,3.200034343,2.337303362,1.309246063
Dlip2,1.072267222,1.268161613,1.307230588,1.074850251,1.115057588,1.774361663,1.128837892,1.569915541,1.293396983,1.024798068
rpk,1,1,1,1,1,1,1,1.099606032,1.012946696,1
Karybeta3,1.389495494,3.279993748,3.30269086,2.103216657,2.792196292,5.25177986,2.157784639,5.268045103,4.562657582,2.890632677
spartin,1.004996391,1.018442485,1,1.007244249,1.015679663,1.035918694,1.014081534,1,1,1.01646446
CG43427,1.045876776,1.762104848,1.082907085,1.138744605,1.0477804,1.121523632,1.018819306,1.394215469,1.182022377,1.158323286
eIF3f1,3.476366379,36.60092519,87.78013136,33.38189385,16.70986622,193.8011375,6.333145025,43568.76582,56053.57959,33.21059036
Nep2,1,1,1.007267112,1,1,1,1,1,1.012946696,1.102943312
tacc,1.242097948,2.586416205,1.960888187,1.833677196,1.723798452,9.653267244,1.832980711,3.518777065,4.22375116,1.937465789
atms,1.066936391,1.364333789,1.316730378,1.223979925,1.168335485,1.697794246,1.118363529,4.905933415,3.023061117,1.177394454
CG44098,1,1.018442485,1.014587035,1,1.015679663,1,1.004671983,1.048621014,1,1.01646446
CG14655,1,1,1,1.03674985,1,1,1,1,1,1
ctrip,1.051102385,1.245197085,1.224758083,1.172102298,1.186654592,1.610262028,1.067431663,1.394215469,1.293396983,1.158323286
Hus1-like,1.043273722,1.037225095,1.139209961,1.163672366,1.080895687,1.182488525,1.042842263,1.36150932,1.3101422,1.111985927
CG1129,1.18170976,1.637893707,1.457209563,1.306133176,1.282649831,1.758776799,1.322688233,2.087313245,1.489993444,1.206591562
CG14657,1.058989795,1.157422881,1.297799335,1.138744605,1.132541315,1.58209922,1.052609309,2.523840212,1.609547918,1.111985927
opa,1.004996391,1,1.007267112,1.007244249,1,1.008861195,1.004671983,1.073810967,1.012946696,1
