Gene name,MN.C0,MN.C1,MN.C2,MN.C3,MN.C4,MN.C5,MN.C6,MN.C7,MN.C8,MN.C9,MN.C10,MN.C11,MN.C12,MN.C13,MN.C14,MN.C15,MN.C16,MN.C17,MN.C18,MN.C19,MN.C20,MN.C21,MN.C22,MN.C23,MN.C24,MN.C25,MN.C26,MN.C27
CG6766,2.417315481,2.481628923,3.928284185,3.16227766,5.779692884,3.891920267,3.981071706,2.807216204,1.559489504,1.757510625,2.797747463,5.484416576,1.755676291,2.682695795,9.466522603,7.079457844,3.758374043,1.205260937,9.210553177,3.433320018,2.15443469,46.41588834,1.858791891,2.872984833,2.371373706,6.158482111,2.15443469,1.584893192
CG6785,1.122018454,1.199353946,1.263133564,1.154781985,1.037225095,1.254182266,1.258925412,1.04049831,1,1.098541142,1.102943312,1,1.291549665,1.115883993,1,1.059253725,1.059253725,1,1,1.085711119,1.089022962,1.089022962,1.092600861,1.100694171,1,1.274274986,1,1.258925412
CG6770,46415888.34,8858667904,1.59551E+11,18434229.92,24935920050,13024291220,413682.0402,2301807313,2069138.081,7906043.211,8220412.615,128438626.4,1944862.439,2275845926,3727593720,749894209.3,251188.6432,23.89892566,7196856730,193069.7729,3593813664,2.34623E+14,5379838.403,6189658.189,21544346900,784759970.4,12915496.65,158489319.2
CR44589,1,1.062467831,1.069019205,1,1,1.078417397,1.079775162,1,1,1,1,1,1.052500285,1,1.178768635,1,1.059253725,1,1,1.085711119,1,1.089022962,1,1,1,1.128837892,1,1
Plzf,1.100694171,1.062467831,1,1.11397386,1.200508058,1.119902793,1,1.082636734,1.128837892,1.048113134,1.102943312,1.051330177,1.107756851,1.056354104,1.056354104,1.122018454,1.333521432,1,1,1,1,1.185971012,1,1,1.211527659,1,1,1
CG14945,1,1.062467831,1,1,1.037225095,1,1.039122304,1,1,1,1,1.051330177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JhI-21,7.792317984,3.679505646,3.554059037,5.048065717,4.475006297,2.877507031,10,3.56224789,3.498320936,281.1768698,4.348083467,2.58847204,1.847849797,31.6227766,4.641588834,10,6.683439176,1.545927736,66.28703162,19.30697729,3.593813664,39.13745602,3.16227766,2.610157216,4.216965034,233.5721469,5.994842503,63.09573445
Rab3-GAP,1.234999173,1.095150193,1.305996548,1.11397386,1.339627725,1.119902793,1,1.268961003,1.084145869,1.206792641,1.216483949,1.162030136,1.052500285,1.056354104,1.245197085,1.258925412,1.412537545,1,1.279802214,1.279802214,1.291549665,1.185971012,1.092600861,1.100694171,1.100694171,1,1,1
firl,1,1,1,1,1,1,1,1,1,1,1,1.051330177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CG14947,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
