"","enzyme","from","to","arrows","FBgn"
"97","2.7.1.145","deoxyguanosine","dGMP","to","FBgn0022338"
"98","4.6.1.1","ATP","cAMP","to","FBgn0003301"
"99","4.6.1.1","ATP","cAMP","to","FBgn0004852"
"100","4.6.1.1","ATP","cAMP","to","FBgn0022710"
"101","4.6.1.1","ATP","cAMP","to","FBgn0023416"
"102","4.6.1.1","ATP","cAMP","to","FBgn0024150"
"103","4.6.1.1","ATP","cAMP","to","FBgn0033984"
"104","4.6.1.1","ATP","cAMP","to","FBgn0040507"
"105","4.6.1.1","ATP","cAMP","to","FBgn0040508"
"106","4.6.1.1","ATP","cAMP","to","FBgn0040509"
"107","4.6.1.1","ATP","cAMP","to","FBgn0040510"
"108","4.6.1.1","ATP","cAMP","to","FBgn0052301"
"109","4.6.1.1","ATP","cAMP","to","FBgn0052305"
"110","Excretion","uric acid","Excretion","to",NA
"111","DNA.A","dATP","DNA.A","to",NA
"112","DNA.G","dGTP","DNA.G","to",NA
"113","RNA.A","ATP","RNA.A","to",NA
"114","RNA.G","GTP","RNA.G","to",NA
"115","Riboflavin.Metabolism","GTP","Riboflavin.Metabolism","to",NA
"116","Folate.Biosynthesis","GTP","Folate.Biosynthesis","to",NA
"117","Pentose Phosphate","Pentose Phosphate","IMP","to",NA
"118","3.5.4.10","FAICAR","IMP","to;from","FBgn0039241"
"119","2.1.2.3","AICA ribonucleotide","FAICAR","to","FBgn0039241"
"120","4.3.2.2","SAICAR","AICA ribonucleotide","to;from","FBgn0038467"
"121","6.3.2.6","CAIR","SAICAR","to;from","FBgn0020513"
"122","4.1.1.21","AIR","CAIR","to;from","FBgn0020513"
"123","6.3.3.1","2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine","AIR","to","FBgn0000053"
"124","6.3.5.3","FGAR","2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine","to","FBgn0000052"
"125","2.1.2.2","GAR","FGAR","to","FBgn0000053"
"126","6.3.4.13","Ribosylamine-5p","GAR","to","FBgn0000053"
"127","2.4.2.14","PRPP","Ribosylamine-5p","to","FBgn0004901"
"128","2.4.2.14","PRPP","Ribosylamine-5p","to","FBgn0041194"
"129","2.7.6.1","D-ribose-1/5-phosphate / D-ribulose 5-phosphate","PRPP","to","FBgn0036030"
