"","Df","FBgn","Symbol"
"31525","Df(1)dx81","FBgn0029824","CG3726"
"31526","Df(1)dx81","FBgn0029825","CG12728"
"31527","Df(1)dx81","FBgn0029826","CG6041"
"31528","Df(1)dx81","FBgn0029827","CG6048"
"31529","Df(1)dx81","FBgn0029828","CG6067"
"31532","Df(1)dx81","FBgn0029831","CG5966"
"31533","Df(1)dx81","FBgn0027546","CG4766"
"31535","Df(1)dx81","FBgn0003302","rux"
"31536","Df(1)dx81","FBgn0029833","MCTS1"
"31537","Df(1)dx81","FBgn0029834","CG5937"
"31538","Df(1)dx81","FBgn0029835","CG5921"
"31539","Df(1)dx81","FBgn0029836","CG5928"
"31540","Df(1)dx81","FBgn0029837","Tsp5D"
"31541","Df(1)dx81","FBgn0029838","CG4666"
"31542","Df(1)dx81","FBgn0029839","CG4660"
"31543","Df(1)dx81","FBgn0029840","raptor"
"31544","Df(1)dx81","FBgn0026060","Mipp2"
"31547","Df(1)dx81","FBgn0029843","Nep1"
"31550","Df(1)dx81","FBgn0264386","Ca-alpha1T"
"31551","Df(1)dx81","FBgn0040069","vanin-like"
"31552","Df(1)dx81","FBgn0029848","Btnd"
"31553","Df(1)dx81","FBgn0029849","Efr"
"31554","Df(1)dx81","FBgn0003514","sqh"
"31555","Df(1)dx81","FBgn0262730","dtn"
"31556","Df(1)dx81","FBgn0029851","CG14445"
"31557","Df(1)dx81","FBgn0023458","Rbcn-3A"
"31558","Df(1)dx81","FBgn0015818","Spx"
"31560","Df(1)dx81","FBgn0029853","CG3781"
"31562","Df(1)dx81","FBgn0029854","CG3566"
"31564","Df(1)dx81","FBgn0029856","CG11700"
"31565","Df(1)dx81","FBgn0026015","Top3beta"
"31566","Df(1)dx81","FBgn0029857","wuho"
"31567","Df(1)dx81","FBgn0028685","Rpt4"
"31568","Df(1)dx81","FBgn0029858","mldr"
"31571","Df(1)dx81","FBgn0029861","CG3815"
"31572","Df(1)dx81","FBgn0043796","CG12219"
"31573","Df(1)dx81","FBgn0029863","CG3823"
"31574","Df(1)dx81","FBgn0029864","CG15894"
"31576","Df(1)dx81","FBgn0029866","CG3842"
"31577","Df(1)dx81","FBgn0029867","CG3847"
"31578","Df(1)dx81","FBgn0029868","ND-B16.6"
"31579","Df(1)dx81","FBgn0261955","kdn"
"31580","Df(1)dx81","FBgn0003655","swa"
"31581","Df(1)dx81","FBgn0029870","Marf"
"31582","Df(1)dx81","FBgn0003139","PpV"
"31585","Df(1)dx81","FBgn0029873","CG3918"
"31586","Df(1)dx81","FBgn0029874","CG3342"
"31587","Df(1)dx81","FBgn0014031","Agxt"
"31588","Df(1)dx81","FBgn0014026","RpL7A"
"31589","Df(1)dx81","FBgn0000524","dx"
"44000","Df(1)dx81","FBgn0028982","Spt6"
"44127","Df(1)dx81","FBgn0029003","mab-21"
"45994","Df(1)dx81","FBgn0005390","fs(1)M3"
"50391","Df(1)dx81","FBgn0029830","Grip"
"50392","Df(1)dx81","FBgn0040918","schlank"
"318189","Df(1)dx81","FBgn0052751","CG32751"
"318192","Df(1)dx81","FBgn0052755","CG32755"
"318193","Df(1)dx81","FBgn0052756","CG32756"
"326237","Df(1)dx81","FBgn0086558","Ubi-p5E"
"326238","Df(1)dx81","FBgn0052750","CG32750"
"3771730","Df(1)dx81","FBgn0053666","CG33666"
"3771864","Df(1)dx81","FBgn0053669","CG33669"
"3771952","Df(1)dx81","FBgn0053665","CG33665"
"3772084","Df(1)dx81","FBgn0053668","CG33668"
"3772383","Df(1)dx81","FBgn0029860","CG15891"
"3772495","Df(1)dx81","FBgn0065071","snoRNA:Or-CD10"
"3772511","Df(1)dx81","FBgn0053667","CG33667"
"3772603","Df(1)dx81","FBgn0029859","CG15892"
"3772644","Df(1)dx81","FBgn0053664","CG33664"
"7354447","Df(1)dx81","FBgn0259817","SteXh:CG42398"
"7354471","Df(1)dx81","FBgn0250869","CG42240"
"7354472","Df(1)dx81","FBgn0259242","CG42340"
"12798121","Df(1)dx81","FBgn0262575","CG43115"
"12798122","Df(1)dx81","FBgn0262536","CG43090"
"19834922","Df(1)dx81","FBgn0265692","lncRNA:CR44499"
"19835169","Df(1)dx81","FBgn0266051","lncRNA:CR44816"
"19835180","Df(1)dx81","FBgn0266264","asRNA:CR44959"
"19835340","Df(1)dx81","FBgn0265691","lncRNA:CR44498"
"19836085","Df(1)dx81","FBgn0267086","lncRNA:CR45530"
"31311","Df(1)ED6712","FBgn0029657","CG12535"
"31312","Df(1)ED6712","FBgn0029658","CG14269"
"31313","Df(1)ED6712","FBgn0029659","CG16782"
"31314","Df(1)ED6712","FBgn0029660","CG10801"
"31315","Df(1)ED6712","FBgn0029661","CG16781"
"31316","Df(1)ED6712","FBgn0029662","CG12206"
"31317","Df(1)ED6712","FBgn0029663","CG10804"
"31318","Df(1)ED6712","FBgn0029664","CG10802"
"31319","Df(1)ED6712","FBgn0029665","CG14270"
"31320","Df(1)ED6712","FBgn0029666","CG10803"
"31321","Df(1)ED6712","FBgn0029667","Gas8"
"31322","Df(1)ED6712","FBgn0052791","DIP-alpha"
"31323","Df(1)ED6712","FBgn0029669","CG13021"
"31326","Df(1)ED6712","FBgn0029672","CG2875"
"31328","Df(1)ED6712","FBgn0044046","Ilp7"
"31329","Df(1)ED6712","FBgn0023216","Parg"
"31331","Df(1)ED6712","FBgn0023215","Mnt"
"31332","Df(1)ED6712","FBgn0015286","Rala"
"44126","Df(1)ED6712","FBgn0266429","AstA-R1"
"318206","Df(1)ED6712","FBgn0283657","Tlk"
"318213","Df(1)ED6712","FBgn0052792","ppk8"
"73544471","Df(1)ED6712","FBgn0259817","SteXh:CG42398"
"12798102","Df(1)ED6712","FBgn0267910","lncRNA:CR34335"
"12798103","Df(1)ED6712","FBgn0263532","mir-4962"
"19835021","Df(1)ED6712","FBgn0266549","lncRNA:CR45102"
"19835087","Df(1)ED6712","FBgn0266350","lncRNA:CR44999"
"31356","Df(1)BSC580","FBgn0029694","CG15375"
"31357","Df(1)BSC580","FBgn0004832","Xpac"
"31358","Df(1)BSC580","FBgn0000221","brn"
"31359","Df(1)BSC580","FBgn0026084","cib"
"31361","Df(1)BSC580","FBgn0026085","dgt4"
"31362","Df(1)BSC580","FBgn0026080","Tip60"
"31363","Df(1)BSC580","FBgn0026083","tyf"
"31364","Df(1)BSC580","FBgn0000635","Fas2"
"31365","Df(1)BSC580","FBgn0029696","CG15571"
"31366","Df(1)BSC580","FBgn0029697","CG15570"
"31367","Df(1)BSC580","FBgn0041252","Femcoat"
"31368","Df(1)BSC580","FBgn0052774","Muc4B"
"31369","Df(1)BSC580","FBgn0029700","CG15576"
"31370","Df(1)BSC580","FBgn0029701","CG12691"
"31371","Df(1)BSC580","FBgn0029702","CG15572"
"31372","Df(1)BSC580","FBgn0029703","CG12692"
"31373","Df(1)BSC580","FBgn0002707","mei-9"
"31374","Df(1)BSC580","FBgn0266570","NO66"
"31375","Df(1)BSC580","FBgn0029705","CG12693"
"31376","Df(1)BSC580","FBgn0262738","norpA"
"31377","Df(1)BSC580","FBgn0029706","CG3626"
"31379","Df(1)BSC580","FBgn0000179","bi"
"31380","Df(1)BSC580","FBgn0029708","CG3556"
"31381","Df(1)BSC580","FBgn0003210","rb"
"31382","Df(1)BSC580","FBgn0029709","CHOp24"
"31383","Df(1)BSC580","FBgn0029710","CG3568"
"31384","Df(1)BSC580","FBgn0029711","Usf"
"31385","Df(1)BSC580","FBgn0029712","CG15912"
"31386","Df(1)BSC580","FBgn0029713","CG11436"
"31387","Df(1)BSC580","FBgn0029714","CG3527"
"31388","Df(1)BSC580","FBgn0029715","CG11444"
"31389","Df(1)BSC580","FBgn0029716","CG3546"
"31390","Df(1)BSC580","FBgn0029717","CG12684"
"31391","Df(1)BSC580","FBgn0003053","peb"
"31392","Df(1)BSC580","FBgn0025387","Alms1b"
"31393","Df(1)BSC580","FBgn0025388","Alms1a"
"31394","Df(1)BSC580","FBgn0025739","pon"
"31395","Df(1)BSC580","FBgn0025613","CG3081"
"31396","Df(1)BSC580","FBgn0025612","CG3062"
"31397","Df(1)BSC580","FBgn0011277","HLH4C"
"31398","Df(1)BSC580","FBgn0029718","mRpL30"
"31399","Df(1)BSC580","FBgn0025615","Torsin"
"31401","Df(1)BSC580","FBgn0029719","CG15473"
"31402","Df(1)BSC580","FBgn0029720","CG3009"
"31404","Df(1)BSC580","FBgn0022768","Pp2C1"
"31405","Df(1)BSC580","FBgn0011760","ctp"
"44409","Df(1)BSC580","FBgn0022942","Cbp80"
"45064","Df(1)BSC580","FBgn0026079","Nsun2"
"45922","Df(1)BSC580","FBgn0262699","fzr"
"50378","Df(1)BSC580","FBgn0040904","CG15577"
"50379","Df(1)BSC580","FBgn0040905","CG15578"
"50380","Df(1)BSC580","FBgn0040906","CG15579"
"50381","Df(1)BSC580","FBgn0040907","mRpL33"
"251900","Df(1)BSC580","FBgn0066114","GlcAT-I"
"73544472","Df(1)BSC580","FBgn0259817","SteXh:CG42398"
"12798106","Df(1)BSC580","FBgn0262980","CG43288"
"12798107","Df(1)BSC580","FBgn0262608","CG43134"
"12798108","Df(1)BSC580","FBgn0262609","CG43135"
"12798109","Df(1)BSC580","FBgn0262339","mir-982"
"12798110","Df(1)BSC580","FBgn0262390","mir-303"
"12798111","Df(1)BSC580","FBgn0262235","mir-983-1"
"12798112","Df(1)BSC580","FBgn0262279","mir-983-2"
"12798113","Df(1)BSC580","FBgn0262282","mir-984"
"12798114","Df(1)BSC580","FBgn0263589","asRNA:CR43614"
"19834968","Df(1)BSC580","FBgn0266262","lncRNA:CR44957"
"19835374","Df(1)BSC580","FBgn0052773","lncRNA:CR32773"
"19835459","Df(1)BSC580","FBgn0267039","lncRNA:CR45483"
"19835710","Df(1)BSC580","FBgn0288701","lncRNA:CR46499"
"26067470","Df(1)BSC580","FBgn0267868","lncRNA:CR46156"
"32279","Df(1)BSC767","FBgn0030465","CG15743"
"32281","Df(1)BSC767","FBgn0030467","CG1764"
"32282","Df(1)BSC767","FBgn0030468","CG1622"
"32285","Df(1)BSC767","FBgn0283680","IP3K2"
"32288","Df(1)BSC767","FBgn0030474","CG15747"
"32290","Df(1)BSC767","FBgn0261085","Syt12"
"32291","Df(1)BSC767","FBgn0030477","dmrt11E"
"32292","Df(1)BSC767","FBgn0030478","CG1640"
"32293","Df(1)BSC767","FBgn0030479","Rbp1-like"
"32294","Df(1)BSC767","FBgn0030480","Tim9a"
"32295","Df(1)BSC767","FBgn0026749","Ype"
"32296","Df(1)BSC767","FBgn0030481","CG1662"
"32297","Df(1)BSC767","FBgn0030482","CG1673"
"32298","Df(1)BSC767","FBgn0030483","CG12725"
"32299","Df(1)BSC767","FBgn0030484","GstT4"
"32300","Df(1)BSC767","FBgn0030485","CG1998"
"32301","Df(1)BSC767","FBgn0030486","Set2"
"32302","Df(1)BSC767","FBgn0085353","CG34324"
"32303","Df(1)BSC767","FBgn0265416","Neto"
"32307","Df(1)BSC767","FBgn0030492","CG15754"
"32308","Df(1)BSC767","FBgn0030493","CG15756"
"32309","Df(1)BSC767","FBgn0030494","Cpr12A"
"32310","Df(1)BSC767","FBgn0030495","CG11816"
"32311","Df(1)BSC767","FBgn0052631","CG32631"
"32312","Df(1)BSC767","FBgn0086674","Tpst"
"44150","Df(1)BSC767","FBgn0010198","RpS15Aa"
"53578","Df(1)BSC767","FBgn0040309","Jafrac1"
"326225","Df(1)BSC767","FBgn0052633","CG32633"
"2768909","Df(1)BSC767","FBgn0030466","CG15744"
"73544473","Df(1)BSC767","FBgn0259817","SteXh:CG42398"
"19834756","Df(1)BSC767","FBgn0265831","lncRNA:CR44620"
"19835241","Df(1)BSC767","FBgn0267273","lncRNA:CR45709"
"19835305","Df(1)BSC767","FBgn0265832","lncRNA:CR44621"
"19835565","Df(1)BSC767","FBgn0265609","asRNA:CR44427"
"19835567","Df(1)BSC767","FBgn0266376","lncRNA:CR45018"
"19836117","Df(1)BSC767","FBgn0265610","CG44428"
"19836243","Df(1)BSC767","FBgn0267272","lncRNA:CR45708"
"26067085","Df(1)BSC767","FBgn0052636","lncRNA:CR32636"
"30522400","Df(1)BSC767","FBgn0284227","CG46311"
"32961","Df(1)BSC871","FBgn0031042","CG14221"
"32962","Df(1)BSC871","FBgn0031043","Naa20A"
"32963","Df(1)BSC871","FBgn0031044","MKP-4"
"32964","Df(1)BSC871","FBgn0031045","CG14212"
"32965","Df(1)BSC871","FBgn0087008","e(y)3"
"32966","Df(1)BSC871","FBgn0031047","Rcd-1"
"32967","Df(1)BSC871","FBgn0031048","CG12237"
"32968","Df(1)BSC871","FBgn0031049","Sec61gamma"
"32969","Df(1)BSC871","FBgn0031050","Arp10"
"32970","Df(1)BSC871","FBgn0031051","Ranbp21"
"32971","Df(1)BSC871","FBgn0031052","Elys"
"32972","Df(1)BSC871","FBgn0031053","CG14223"
"32973","Df(1)BSC871","FBgn0031054","Ssu72"
"32974","Df(1)BSC871","FBgn0004057","Zw"
"32975","Df(1)BSC871","FBgn0031055","et"
"32976","Df(1)BSC871","FBgn0043903","dome"
"32977","Df(1)BSC871","FBgn0031057","Ubqn"
"32978","Df(1)BSC871","FBgn0031058","CG14227"
"32979","Df(1)BSC871","FBgn0086384","Mer"
"32980","Df(1)BSC871","FBgn0031059","CG14229"
"32981","Df(1)BSC871","FBgn0010341","Cdc42"
"32982","Df(1)BSC871","FBgn0031060","Tcs4"
"32983","Df(1)BSC871","FBgn0031061","CG14232"
"32984","Df(1)BSC871","FBgn0031062","CG14230"
"32986","Df(1)BSC871","FBgn0031064","CG12531"
"32987","Df(1)BSC871","FBgn0010380","AP-1-2beta"
"32988","Df(1)BSC871","FBgn0031065","CG14234"
"32989","Df(1)BSC871","FBgn0031066","COX6B"
"32990","Df(1)BSC871","FBgn0052528","parvin"
"32991","Df(1)BSC871","FBgn0031068","Alr"
"32992","Df(1)BSC871","FBgn0031069","Abcd3"
"32993","Df(1)BSC871","FBgn0031070","CG12702"
"32994","Df(1)BSC871","FBgn0259789","zld"
"53448","Df(1)BSC871","FBgn0040089","meso18E"
"59170","Df(1)BSC871","FBgn0042132","CG18809"
"338392","Df(1)BSC871","FBgn0066303","CG33932"
"3772007","Df(1)BSC871","FBgn0066304","Rpp20"
"3772080","Df(1)BSC871","FBgn0031041","Pstk"
"3772213","Df(1)BSC871","FBgn0027358","Tim9b"
"73544474","Df(1)BSC871","FBgn0259817","SteXh:CG42398"
"19835317","Df(1)BSC871","FBgn0265705","asRNA:CR44512"
"19835853","Df(1)BSC871","FBgn0267057","asRNA:CR45501"
"19836010","Df(1)BSC871","FBgn0266179","lncRNA:CR44885"
"19836216","Df(1)BSC871","FBgn0266183","lncRNA:CR44889"
"31423","Df(1)JC70","FBgn0029737","CG6903"
"31424","Df(1)JC70","FBgn0266000","CG44774"
"31425","Df(1)JC70","FBgn0004368","Ptp4E"
"31426","Df(1)JC70","FBgn0061196","CG15468"
"31427","Df(1)JC70","FBgn0029740","CG12680"
"31429","Df(1)JC70","FBgn0003028","ovo"
"31430","Df(1)JC70","FBgn0052767","CG32767"
"31433","Df(1)JC70","FBgn0029745","Rpn13R"
"31434","Df(1)JC70","FBgn0029746","CG15465"
"31435","Df(1)JC70","FBgn0029747","CG5062"
"31438","Df(1)JC70","FBgn0261803","CG42749"
"31439","Df(1)JC70","FBgn0029750","CG3323"
"31440","Df(1)JC70","FBgn0029751","CG17764"
"31441","Df(1)JC70","FBgn0263237","Cdk7"
"31442","Df(1)JC70","FBgn0003449","snf"
"44531","Df(1)JC70","FBgn0266098","rg"
"73544475","Df(1)JC70","FBgn0259817","SteXh:CG42398"
"19835614","Df(1)JC70","FBgn0266096","lncRNA:CR44833"
"19835834","Df(1)JC70","FBgn0266097","lncRNA:CR44834"
"26067123","Df(1)JC70","FBgn0267442","lncRNA:CR45792"
"36786390","Df(1)JC70","FBgn0285992","hpRNA:CR46342"
"31461","Df(1)Exel6234","FBgn0029766","CG15784"
"31463","Df(1)Exel6234","FBgn0029768","SPR"
"31464","Df(1)Exel6234","FBgn0029769","frma"
"31465","Df(1)Exel6234","FBgn0029770","CG4151"
"31466","Df(1)Exel6234","FBgn0029771","CG12730"
"318198","Df(1)Exel6234","FBgn0052762","CG32762"
"73544476","Df(1)Exel6234","FBgn0259817","SteXh:CG42398"
"19834818","Df(1)Exel6234","FBgn0267073","lncRNA:CR45517"
"19835360","Df(1)Exel6234","FBgn0267075","lncRNA:CR45519"
"19835814","Df(1)Exel6234","FBgn0265664","lncRNA:CR44471"
"315771","Df(1)Exel6239","FBgn0029867","CG3847"
"315781","Df(1)Exel6239","FBgn0029868","ND-B16.6"
"315791","Df(1)Exel6239","FBgn0261955","kdn"
"315801","Df(1)Exel6239","FBgn0003655","swa"
"315811","Df(1)Exel6239","FBgn0029870","Marf"
"315821","Df(1)Exel6239","FBgn0003139","PpV"
"37717301","Df(1)Exel6239","FBgn0053666","CG33666"
"37718641","Df(1)Exel6239","FBgn0053669","CG33669"
"37719521","Df(1)Exel6239","FBgn0053665","CG33665"
"37720841","Df(1)Exel6239","FBgn0053668","CG33668"
"37725111","Df(1)Exel6239","FBgn0053667","CG33667"
"37726441","Df(1)Exel6239","FBgn0053664","CG33664"
"73544477","Df(1)Exel6239","FBgn0259817","SteXh:CG42398"
"73544721","Df(1)Exel6239","FBgn0259242","CG42340"
"198351691","Df(1)Exel6239","FBgn0266051","lncRNA:CR44816"
"32920","Df(1)Exel7468","FBgn0040068","Vav"
"32921","Df(1)Exel7468","FBgn0031008","CG8010"
"32922","Df(1)Exel7468","FBgn0052536","CG32536"
"32923","Df(1)Exel7468","FBgn0031010","CG8028"
"32924","Df(1)Exel7468","FBgn0031011","CG8034"
"32925","Df(1)Exel7468","FBgn0031012","CG8051"
"32926","Df(1)Exel7468","FBgn0259834","out"
"32928","Df(1)Exel7468","FBgn0086778","nAChRalpha7"
"32930","Df(1)Exel7468","FBgn0031016","kek5"
"32932","Df(1)Exel7468","FBgn0031018","narya"
"32933","Df(1)Exel7468","FBgn0052533","CG32533"
"32934","Df(1)Exel7468","FBgn0031020","Naa15-16"
"32935","Df(1)Exel7468","FBgn0020261","pcm"
"32936","Df(1)Exel7468","FBgn0031021","ND-18"
"32937","Df(1)Exel7468","FBgn0031022","CG12204"
"32938","Df(1)Exel7468","FBgn0027621","Pfrx"
"32939","Df(1)Exel7468","FBgn0031023","CG14200"
"50363","Df(1)Exel7468","FBgn0040890","ksh"
"117414","Df(1)Exel7468","FBgn0044030","mRpS14"
"318079","Df(1)Exel7468","FBgn0052537","CG32537"
"3771870","Df(1)Exel7468","FBgn0065084","sncRNA:763"
"73544478","Df(1)Exel7468","FBgn0259817","SteXh:CG42398"
"19835736","Df(1)Exel7468","FBgn0265428","asRNA:CR44340"
"19836167","Df(1)Exel7468","FBgn0262905","lncRNA:CR43260"
"32448","Df(1)ED7294","FBgn0263994","CG43737"
"32450","Df(1)ED7294","FBgn0030620","CG5662"
"32452","Df(1)ED7294","FBgn0030622","CG9101"
"32453","Df(1)ED7294","FBgn0030623","PPYR1"
"32454","Df(1)ED7294","FBgn0030624","CG9106"
"32455","Df(1)ED7294","FBgn0030625","CG5877"
"32457","Df(1)ED7294","FBgn0261703","gce"
"32458","Df(1)ED7294","FBgn0004924","Top1"
"32459","Df(1)ED7294","FBgn0015926","dah"
"32460","Df(1)ED7294","FBgn0030628","CG9114"
"32461","Df(1)ED7294","FBgn0026428","HDAC6"
"32462","Df(1)ED7294","FBgn0030629","CG9123"
"32463","Df(1)ED7294","FBgn0030630","CG12608"
"32464","Df(1)ED7294","FBgn0030631","Prp5"
"32467","Df(1)ED7294","FBgn0030634","CG9164"
"32468","Df(1)ED7294","FBgn0263257","Cngl"
"32470","Df(1)ED7294","FBgn0040285","Scamp"
"32471","Df(1)ED7294","FBgn0014455","Ahcy"
"47080","Df(1)ED7294","FBgn0000028","acj6"
"48531","Df(1)ED7294","FBgn0003132","Pp1-13C"
"318101","Df(1)ED7294","FBgn0052588","CG32588"
"73544479","Df(1)ED7294","FBgn0259817","SteXh:CG42398"
"12797978","Df(1)ED7294","FBgn0262485","CG43075"
"12797979","Df(1)ED7294","FBgn0262486","CG43076"
"12797980","Df(1)ED7294","FBgn0263548","mir-4957"
"19834866","Df(1)ED7294","FBgn0265611","asRNA:CR44429"
"19835099","Df(1)ED7294","FBgn0265875","lncRNA:CR44664"
"19835618","Df(1)ED7294","FBgn0265612","lncRNA:CR44430"
"19835774","Df(1)ED7294","FBgn0266276","asRNA:CR44961"
"19836029","Df(1)ED7294","FBgn0266349","asRNA:CR44998"
"19836103","Df(1)ED7294","FBgn0265874","lncRNA:CR44663"
"31486","Df(1)ED6802","FBgn0259926","CG42449"
"31487","Df(1)ED6802","FBgn0029789","PGAP1"
"31489","Df(1)ED6802","FBgn0027564","CG3149"
"31490","Df(1)ED6802","FBgn0029791","AdamTS-B"
"31491","Df(1)ED6802","FBgn0053080","CG33080"
"31493","Df(1)ED6802","FBgn0052758","Snx27"
"31494","Df(1)ED6802","FBgn0029795","CG15773"
"31496","Df(1)ED6802","FBgn0261383","IntS6"
"31497","Df(1)ED6802","FBgn0029798","Rtel1"
"31498","Df(1)ED6802","FBgn0029799","CG15772"
"31499","Df(1)ED6802","FBgn0029800","lin-52"
"31500","Df(1)ED6802","FBgn0029801","CG15771"
"31503","Df(1)ED6802","FBgn0029804","CG3097"
"31504","Df(1)ED6802","FBgn0259149","CG42264"
"31506","Df(1)ED6802","FBgn0029807","CG3108"
"31507","Df(1)ED6802","FBgn0261610","CG42699"
"31508","Df(1)ED6802","FBgn0029809","CG15767"
"31509","Df(1)ED6802","FBgn0029810","CG12239"
"31510","Df(1)ED6802","FBgn0029811","Cpr5C"
"31511","Df(1)ED6802","FBgn0029812","Prosbeta2R1"
"31512","Df(1)ED6802","FBgn0029813","AgmNAT"
"31513","Df(1)ED6802","FBgn0029814","CG15765"
"31515","Df(1)ED6802","FBgn0029816","CG12729"
"31516","Df(1)ED6802","FBgn0029817","CG15764"
"31517","Df(1)ED6802","FBgn0029818","GAA1"
"31518","Df(1)ED6802","FBgn0014340","mof"
"31519","Df(1)ED6802","FBgn0029819","Usp30"
"31520","Df(1)ED6802","FBgn0029820","CG16721"
"31521","Df(1)ED6802","FBgn0000042","Act5C"
"31522","Df(1)ED6802","FBgn0029821","CG4020"
"31523","Df(1)ED6802","FBgn0029822","CG12236"
"31524","Df(1)ED6802","FBgn0029823","Shmt"
"315251","Df(1)ED6802","FBgn0029824","CG3726"
"315261","Df(1)ED6802","FBgn0029825","CG12728"
"315271","Df(1)ED6802","FBgn0029826","CG6041"
"315281","Df(1)ED6802","FBgn0029827","CG6048"
"315291","Df(1)ED6802","FBgn0029828","CG6067"
"44510","Df(1)ED6802","FBgn0000394","cv"
"44573","Df(1)ED6802","FBgn0013987","MAPk-Ak2"
"44873","Df(1)ED6802","FBgn0003747","Gr5a"
"459941","Df(1)ED6802","FBgn0005390","fs(1)M3"
"3181921","Df(1)ED6802","FBgn0052755","CG32755"
"3181931","Df(1)ED6802","FBgn0052756","CG32756"
"735444710","Df(1)ED6802","FBgn0259817","SteXh:CG42398"
"12798117","Df(1)ED6802","FBgn0263545","mir-4963"
"12798118","Df(1)ED6802","FBgn0262945","lncRNA:CR43264"
"12798119","Df(1)ED6802","FBgn0262610","CG43136"
"12798120","Df(1)ED6802","FBgn0262611","CG43137"
"14462382","Df(1)ED6802","FBgn0264939","asRNA:CR44108"
"19834896","Df(1)ED6802","FBgn0267084","asRNA:CR45528"
"19835061","Df(1)ED6802","FBgn0266095","lncRNA:CR44832"
"19835358","Df(1)ED6802","FBgn0267228","lncRNA:CR45668"
"19835540","Df(1)ED6802","FBgn0267085","lncRNA:CR45529"
"19835958","Df(1)ED6802","FBgn0267081","asRNA:CR45525"
"19836036","Df(1)ED6802","FBgn0266263","asRNA:CR44958"
"19836078","Df(1)ED6802","FBgn0261927","lncRNA:CR42794"
"19836089","Df(1)ED6802","FBgn0265417","CG44329"
"313751","Df(1)ED6727","FBgn0029705","CG12693"
"313761","Df(1)ED6727","FBgn0262738","norpA"
"313771","Df(1)ED6727","FBgn0029706","CG3626"
"313791","Df(1)ED6727","FBgn0000179","bi"
"313801","Df(1)ED6727","FBgn0029708","CG3556"
"313811","Df(1)ED6727","FBgn0003210","rb"
"313821","Df(1)ED6727","FBgn0029709","CHOp24"
"313831","Df(1)ED6727","FBgn0029710","CG3568"
"313841","Df(1)ED6727","FBgn0029711","Usf"
"313851","Df(1)ED6727","FBgn0029712","CG15912"
"313861","Df(1)ED6727","FBgn0029713","CG11436"
"313871","Df(1)ED6727","FBgn0029714","CG3527"
"313881","Df(1)ED6727","FBgn0029715","CG11444"
"313891","Df(1)ED6727","FBgn0029716","CG3546"
"313901","Df(1)ED6727","FBgn0029717","CG12684"
"313911","Df(1)ED6727","FBgn0003053","peb"
"313921","Df(1)ED6727","FBgn0025387","Alms1b"
"313931","Df(1)ED6727","FBgn0025388","Alms1a"
"313941","Df(1)ED6727","FBgn0025739","pon"
"313951","Df(1)ED6727","FBgn0025613","CG3081"
"313961","Df(1)ED6727","FBgn0025612","CG3062"
"313971","Df(1)ED6727","FBgn0011277","HLH4C"
"313981","Df(1)ED6727","FBgn0029718","mRpL30"
"313991","Df(1)ED6727","FBgn0025615","Torsin"
"314011","Df(1)ED6727","FBgn0029719","CG15473"
"314021","Df(1)ED6727","FBgn0029720","CG3009"
"314041","Df(1)ED6727","FBgn0022768","Pp2C1"
"314051","Df(1)ED6727","FBgn0011760","ctp"
"31406","Df(1)ED6727","FBgn0028325","Pdha"
"31407","Df(1)ED6727","FBgn0029722","CG7024"
"31408","Df(1)ED6727","FBgn0029723","Proc-R"
"31409","Df(1)ED6727","FBgn0029724","CG15472"
"31410","Df(1)ED6727","FBgn0025679","Klf15"
"31411","Df(1)ED6727","FBgn0029725","CG2871"
"31412","Df(1)ED6727","FBgn0029726","CG15471"
"31413","Df(1)ED6727","FBgn0029727","CG6978"
"31414","Df(1)ED6727","FBgn0029728","CG2861"
"31415","Df(1)ED6727","FBgn0029729","CG12682"
"31416","Df(1)ED6727","FBgn0029730","boil"
"31419","Df(1)ED6727","FBgn0029733","CG6927"
"31420","Df(1)ED6727","FBgn0052772","CG32772"
"444091","Df(1)ED6727","FBgn0022942","Cbp80"
"459221","Df(1)ED6727","FBgn0262699","fzr"
"735444711","Df(1)ED6727","FBgn0259817","SteXh:CG42398"
"8674091","Df(1)ED6727","FBgn0260971","CG42594"
"127981091","Df(1)ED6727","FBgn0262339","mir-982"
"127981101","Df(1)ED6727","FBgn0262390","mir-303"
"127981111","Df(1)ED6727","FBgn0262235","mir-983-1"
"127981121","Df(1)ED6727","FBgn0262279","mir-983-2"
"127981131","Df(1)ED6727","FBgn0262282","mir-984"
"127981141","Df(1)ED6727","FBgn0263589","asRNA:CR43614"
"12798115","Df(1)ED6727","FBgn0263506","lncRNA:CR43495"
"198353741","Df(1)ED6727","FBgn0052773","lncRNA:CR32773"
"19835704","Df(1)ED6727","FBgn0267072","lncRNA:CR45516"
"198357101","Df(1)ED6727","FBgn0288701","lncRNA:CR46499"
"19836165","Df(1)ED6727","FBgn0267071","lncRNA:CR45515"
"32124","Df(1)ED7147","FBgn0030329","prtp"
"32125","Df(1)ED7147","FBgn0030330","Tango10"
"32126","Df(1)ED7147","FBgn0260812","inaF-D"
"32127","Df(1)ED7147","FBgn0030331","CG15221"
"32128","Df(1)ED7147","FBgn0030332","CG9360"
"32130","Df(1)ED7147","FBgn0004511","dy"
"32131","Df(1)ED7147","FBgn0030334","Karl"
"32132","Df(1)ED7147","FBgn0000259","CkIIbeta"
"32133","Df(1)ED7147","FBgn0001218","Hsc70-3"
"32135","Df(1)ED7147","FBgn0030336","CG1578"
