"","GRF.CxDf","GRF.CxOE","WTF.CxDf","WTF.CxOE","GRxWT.FC","GRxWT.FDf","GRxWT.FOE","GRM.CxDf","GRM.CxOE","WTM.CxDf","WTM.CxOE","GRxWT.MC","GRxWT.MDf","GRxWT.MOE"
"1",0.154168921968492,0.668844566425216,0.710123848369326,0.819368118469657,0.742900501765696,0.640239107916304,0.373419391227989,0.139952353163368,0.860476378287518,0.687656914023925,0.998016147758084,0.930504658748799,0.056925777809342,0.271982783842671
"2",0.90632616340406,0.636631272253899,0.433567780163217,0.631358103036451,0.0330978123065238,0.322425161338456,0.50013404072477,0.146741375121456,0.999434219973619,0.812508947202472,0.644528691497436,0.244486822453823,0.695771091384526,0.962389704294397
"3",0.418245091042647,0.868152141519872,0.720808701485349,0.874587286118235,0.800920834209252,0.94712530709541,0.231080744598191,0.0440358081310895,0.928984289842186,0.279316156738925,0.957289115933489,0.0523996856546552,0.232065507306894,0.300123000214186
"4",0.285661871276322,0.975708257110159,0.393169420907651,0.915352334902087,0.0609916446034068,0.929203667102177,0.0251831095611315,0.173146092594633,0.999434219973619,0.934813660806346,0.517423699675389,0.159842248997573,0.963876611692135,0.0243910843792234
"5",0.928495001335179,0.942243583754131,0.0566745668638164,0.0784240815953288,0.0159403622346029,0.906466703274988,0.947248172085156,0.00333790576566645,0.999434219973619,0.622381710667605,0.847280352367641,0.513742181140085,0.180525504353838,0.997012320970229
"6",0.0195905629423064,0.94782884477763,0.320224688623802,0.787080437047496,0.572415128976376,0.0818566229492063,0.651409929153115,0.653383702191759,0.763760756405081,0.274799416404107,0.690109378956227,0.0440811183819545,0.91816035755232,0.0868969433888141
"7",0.939926792220761,0.964330024142713,0.195733877775244,0.87433372852248,0.336564111686601,0.872213611446753,0.579001561827989,0.117259641786999,0.80297039911484,0.331139813717709,0.407444825583042,0.0463982850122394,0.574918719529987,0.767320423347921
"8",0.931388201674123,0.961999750612966,0.119519823116169,0.18409870970224,0.394919283867137,0.613781666979233,0.247246419387822,0.198677119685778,0.999434219973619,0.480907143911562,0.992256575441984,0.236465680432521,0.18591026814116,0.101389851769011
"9",0.755819475935434,0.943701593712071,0.968414944942414,0.559709034877092,0.671133260539626,0.928640689475087,0.064960494837994,0.29681368225297,0.954766895484464,0.580656241328642,0.946154823660656,0.110062519983754,0.949152696740503,0.0291810506133352
"10",0.552629192401747,0.93267498473386,0.466270467750166,0.762653251435346,0.367664831184617,0.50503871436333,0.867255291782807,0.959315014754605,0.981317319157124,0.260878734976311,0.53871680430095,0.875131524271895,0.0921360554395425,0.0680922043873179
