Genotype,Data,Sample,NMJ,Segment,Boutons,Experiment,IntDen - pMad,CTCF
WT-cr/LoxP,NMJ,6a,4,3,,1,705365.202,593705.4991
WT-cr/LoxP,NMJ,1a,4,3,,2,2091577.213,1683405.856
WT-cr/LoxP,NMJ,1b,4,3,,2,1028357.874,853940.7441
WT-cr/LoxP,NMJ,2a,4,3,,2,1333454.204,1162399.599
WT-cr/LoxP,NMJ,2b,4,3,,2,856938.164,701359.6289
WT-cr/LoxP,NMJ,3a,4,3,,2,2828192.65,2163474.224
WT-cr/LoxP,NMJ,4b,4,3,,2,350126.767,319713.2492
WT-cr/LoxP,NMJ,5a,4,3,,2,1192897.332,918544.5509
WT-cr/LoxP,NMJ,1a ,7-Jun,3,,1,971967.981,902141.6825
WT-cr/LoxP,NMJ,2b,7-Jun,3,,1,431864.405,373530.7715
WT-cr/LoxP,NMJ,2a,7-Jun,3,,1,1034163.129,759069.3856
WT-cr/LoxP,NMJ,3a,7-Jun,3,,1,828325.936,714816.0729
WT-cr/LoxP,NMJ,3b,7-Jun,3,,1,981242.62,902151.4238
WT-cr/LoxP,NMJ,4b,7-Jun,3,,1,1307781.633,1036222.967
WT-cr/LoxP,NMJ,5a,7-Jun,3,,1,1222904.749,968752.7108
WT-cr/LoxP,NMJ,5b,7-Jun,3,,1,1704318.577,1203608.34
WT-cr/LoxP,NMJ,6a,7-Jun,3,,1,969033.73,859433.7479
WT-cr/LoxP,NMJ,1a,7-Jun,3,,2,1300203.642,1064972.692
WT-cr/LoxP,NMJ,2a,7-Jun,3,,2,1278871.711,1090778.046
WT-cr/LoxP,NMJ,2b,7-Jun,3,,2,1250009.587,1064960.028
WT-cr/LoxP,NMJ,3a,7-Jun,3,,2,5674660.059,4629211.451
WT-cr/LoxP,NMJ,3b,7-Jun,3,,2,4168169.643,2821513.104
WT-cr/LoxP,NMJ,4a,7-Jun,3,,2,2381069.233,2022421.255
WT-cr/LoxP,NMJ,4b,7-Jun,3,,2,1550903.839,1430269.729
WT-cr/LoxP,NMJ,5a,7-Jun,3,,2,2449167.162,2197261.161
WT-cr/LoxP,NMJ,5b,7-Jun,3,,2,1839644.144,1634075.839
WT-cr/LoxP,NMJ,6a,7-Jun,3,,2,2956608.031,2845049.044
G85Rcr/G85Rhr,NMJ,1a,4,3,,1,324006.547,300170.0453
G85Rcr/G85Rhr,NMJ,2a,4,3,,1,362520.086,156762.3612
G85Rcr/G85Rhr,NMJ,2b,4,3,,1,445013.784,365134.3647
G85Rcr/G85Rhr,NMJ,3a,4,3,,1,196909.3,171591.7985
G85Rcr/G85Rhr,NMJ,3b,4,3,,1,214126.346,200463.9067
G85Rcr/G85Rhr,NMJ,4a,4,3,,1,200886.973,186892.2979
G85Rcr/G85Rhr,NMJ,4b,4,3,,1,224015.876,210986.1431
G85Rcr/G85Rhr,NMJ,1a,4,3,,2,1074115.309,858196.2051
G85Rcr/G85Rhr,NMJ,2a,4,3,,2,1929940.045,1842431.793
G85Rcr/G85Rhr,NMJ,2b,4,3,,2,1270336.622,1103078.463
G85Rcr/G85Rhr,NMJ,3a,4,3,,2,920009.108,818357.9852
G85Rcr/G85Rhr,NMJ,4b,4,3,,2,1653387.676,1464286.319
G85Rcr/G85Rhr,NMJ,5a,4,3,,2,1607192.345,1544855.4
G85Rcr/G85Rhr,NMJ,5b,4,3,,2,1400372.658,1312553.977
G85Rcr/G85Rhr,NMJ,1a,7-Jun,3,,1,449603.838,394489.1191
G85Rcr/G85Rhr,NMJ,2a,7-Jun,3,,1,731002.239,617399.9831
G85Rcr/G85Rhr,NMJ,2b,7-Jun,3,,1,243372.681,178306.0731
G85Rcr/G85Rhr,NMJ,3a,7-Jun,3,,1,537743.758,472007.1998
G85Rcr/G85Rhr,NMJ,3b,7-Jun,3,,1,491013.68,444242.5705
G85Rcr/G85Rhr,NMJ,4a,7-Jun,3,,1,1014630.682,945512.0599
G85Rcr/G85Rhr,NMJ,1a,7-Jun,3,,2,2497476.761,2352859.022
G85Rcr/G85Rhr,NMJ,2a,7-Jun,3,,2,1739763.165,1619368.723
G85Rcr/G85Rhr,NMJ,2b,7-Jun,3,,2,2491974.703,2003498.868
G85Rcr/G85Rhr,NMJ,3a,7-Jun,3,,2,4383597.804,3302482.315
G85Rcr/G85Rhr,NMJ,3b,7-Jun,3,,2,4294515.463,3451319.236
G85Rcr/G85Rhr,NMJ,4a,7-Jun,3,,2,3654860.562,3016968.648
G85Rcr/G85Rhr,NMJ,4b,7-Jun,3,,2,2181974.212,2036533.765
G85Rcr/G85Rhr,NMJ,5a,7-Jun,3,,2,2246117.352,2151945.46
G85Rcr/G85Rhr,NMJ,5b,7-Jun,3,,2,3422815.568,3230527.421
OK371>gbb [WTcr/LoxP],NMJ,1a,4,3,,1,875346.175,816397.5164
OK371>gbb [WTcr/LoxP],NMJ,2b,4,3,,1,248491.108,200630.4651
OK371>gbb [WTcr/LoxP],NMJ,3a,4,3,,1,806205.018,727503.6245
OK371>gbb [WTcr/LoxP],NMJ,4a,4,3,,1,591785.517,539464.9924
OK371>gbb [WTcr/LoxP],NMJ,4b,4,3,,1,274367.709,234012.7101
OK371>gbb [WTcr/LoxP],NMJ,1a,4,3,,2,684483.047,533946.5178
OK371>gbb [WTcr/LoxP],NMJ,1b,4,3,,2,608877.132,545420.7472
OK371>gbb [WTcr/LoxP],NMJ,2a,4,3,,2,535623.021,482959.8274
OK371>gbb [WTcr/LoxP],NMJ,2b,4,3,,2,1362372.043,1200853.363
OK371>gbb [WTcr/LoxP],NMJ,3a,4,3,,2,615869.007,522776.7133
OK371>gbb [WTcr/LoxP],NMJ,3b,4,3,,2,1411045.092,1297845.974
OK371>gbb [WTcr/LoxP],NMJ,4a,4,3,,2,556947.709,530343.456
OK371>gbb [WTcr/LoxP],NMJ,1a,7-Jun,3,,1,1329137.607,1171695.818
OK371>gbb [WTcr/LoxP],NMJ,2a,7-Jun,3,,1,808024.585,329867.1574
OK371>gbb [WTcr/LoxP],NMJ,2b,7-Jun,3,,1,688183.98,576599.6111
OK371>gbb [WTcr/LoxP],NMJ,3a,7-Jun,3,,1,1385560.813,1148382.165
OK371>gbb [WTcr/LoxP],NMJ,4a,7-Jun,3,,1,905763.584,762617.1644
OK371>gbb [WTcr/LoxP],NMJ,4b,7-Jun,3,,1,464424.952,427233.6258
OK371>gbb [WTcr/LoxP],NMJ,1a,7-Jun,3,,2,2500207.175,1853483.355
OK371>gbb [WTcr/LoxP],NMJ,2a,7-Jun,3,,2,1563839.629,1447815.385
OK371>gbb [WTcr/LoxP],NMJ,2b,7-Jun,3,,2,1159526.553,1086545.066
OK371>gbb [WTcr/LoxP],NMJ,3a,7-Jun,3,,2,1453580.818,863053.7806
OK371>gbb [WTcr/LoxP],NMJ,3b,7-Jun,3,,2,1286075.631,1160972.077
OK371>gbb [WTcr/LoxP],NMJ,4a,7-Jun,3,,2,1226610.897,1065878.099
OK371>gbb [G85cr/G85Rhr],NMJ,1a,4,3,,1,698367.244,540684.2117
OK371>gbb [G85cr/G85Rhr],NMJ,2a,4,3,,1,529148.029,446394.5937
OK371>gbb [G85cr/G85Rhr],NMJ,2b,4,3,,1,829649.67,704763.9279
OK371>gbb [G85cr/G85Rhr],NMJ,3a,4,3,,1,742141.153,622819.5247
OK371>gbb [G85cr/G85Rhr],NMJ,3b,4,3,,1,1078549.515,901504.5439
OK371>gbb [G85cr/G85Rhr],NMJ,4a,4,3,,1,846157.969,752913.6966
OK371>gbb [G85cr/G85Rhr],NMJ,4b,4,3,,1,607796.727,543283.2778
OK371>gbb [G85cr/G85Rhr],NMJ,5a,4,3,,1,684083.29,618124.1439
OK371>gbb [G85cr/G85Rhr],NMJ,6a,4,3,,1,371743.065,202723.629
OK371>gbb [G85cr/G85Rhr],NMJ,6b,4,3,,1,749012.425,659951.6903
OK371>gbb [G85cr/G85Rhr],NMJ,7a,4,3,,1,658418.734,575224.8461
OK371>gbb [G85cr/G85Rhr],NMJ,7b,4,3,,1,414995.263,377185.1966
OK371>gbb [G85cr/G85Rhr],NMJ,8a,4,3,,1,458857.427,323185.8979
OK371>gbb [G85cr/G85Rhr],NMJ,8b,4,3,,1,298461.049,258352.4764
OK371>gbb [G85cr/G85Rhr],NMJ,1a,4,3,,2,646735.804,550882.6307
OK371>gbb [G85cr/G85Rhr],NMJ,1b,4,3,,2,364623.345,274419.5281
OK371>gbb [G85cr/G85Rhr],NMJ,2a,4,3,,2,676166.857,509210.7721
OK371>gbb [G85cr/G85Rhr],NMJ,2b,4,3,,2,1055181.144,944965.5967
OK371>gbb [G85cr/G85Rhr],NMJ,3a,4,3,,2,2754031.749,1679990.975
OK371>gbb [G85cr/G85Rhr],NMJ,3b,4,3,,2,452783.446,393198.5874
OK371>gbb [G85cr/G85Rhr],NMJ,4a,4,3,,2,623242.099,548312.8301
OK371>gbb [G85cr/G85Rhr],NMJ,1a,7-Jun,3,,1,776545.601,433449.7365
OK371>gbb [G85cr/G85Rhr],NMJ,2a,7-Jun,3,,1,908014.29,809018.2222
OK371>gbb [G85cr/G85Rhr],NMJ,2b,7-Jun,3,,1,1484225.818,1347103.561
OK371>gbb [G85cr/G85Rhr],NMJ,3a,7-Jun,3,,1,894934.241,849920.2685
OK371>gbb [G85cr/G85Rhr],NMJ,4b,7-Jun,3,,1,920104.895,871793.2223
OK371>gbb [G85cr/G85Rhr],NMJ,5a,7-Jun,3,,1,1495188.8,1313417.173
OK371>gbb [G85cr/G85Rhr],NMJ,6a,7-Jun,3,,1,977691.257,842957.0838
OK371>gbb [G85cr/G85Rhr],NMJ,6b,7-Jun,3,,1,1103297.431,995173.4396
OK371>gbb [G85cr/G85Rhr],NMJ,7a,7-Jun,3,,1,1039525.852,971950.6358
OK371>gbb [G85cr/G85Rhr],NMJ,7b,7-Jun,3,,1,871896.104,797986.2978
OK371>gbb [G85cr/G85Rhr],NMJ,8a,7-Jun,3,,1,642292.038,554301.5618
OK371>gbb [G85cr/G85Rhr],NMJ,8b,7-Jun,3,,1,642117.072,528791.8039
OK371>gbb [G85cr/G85Rhr],NMJ,1a,7-Jun,3,,2,1432196.456,1353008.673
OK371>gbb [G85cr/G85Rhr],NMJ,1b,7-Jun,3,,2,1142323.025,998301.8445
OK371>gbb [G85cr/G85Rhr],NMJ,2a,7-Jun,3,,2,1940261.968,1499482.668
OK371>gbb [G85cr/G85Rhr],NMJ,2b,7-Jun,3,,2,878679.217,792680.727
OK371>gbb [G85cr/G85Rhr],NMJ,3a,7-Jun,3,,2,2676848.148,2439011.499
OK371>gbb [G85cr/G85Rhr],NMJ,3b,7-Jun,3,,2,1671572.732,1330323.539
OK371>gbb [G85cr/G85Rhr],NMJ,4a,7-Jun,3,,2,1482976.82,1380916.371
OK371>saxA [WTcr/LoxP],NMJ,1a,4,3,,1,711129.806,646270.6521
OK371>saxA [WTcr/LoxP],NMJ,1b,4,3,,1,532149.292,492957.4477
OK371>saxA [WTcr/LoxP],NMJ,2a,4,3,,1,926424.329,730449.9228
OK371>saxA [WTcr/LoxP],NMJ,3a,4,3,,1,602797.068,542719.3122
OK371>saxA [WTcr/LoxP],NMJ,3b,4,3,,1,617939.243,557881.4355
OK371>saxA [WTcr/LoxP],NMJ,4a,4,3,,1,252281.939,232205.9498
OK371>saxA [WTcr/LoxP],NMJ,4b,4,3,,1,343549.519,299791.9172
OK371>saxA [WTcr/LoxP],NMJ,5a,4,3,,1,1527220.395,1189861.795
OK371>saxA [WTcr/LoxP],NMJ,5b,4,3,,1,455995.982,383010.0514
OK371>saxA [WTcr/LoxP],NMJ,6a,4,3,,1,752046.711,649468.5072
OK371>saxA [WTcr/LoxP],NMJ,6b,4,3,,1,481982.95,384339.9872
OK371>saxA [WTcr/LoxP],NMJ,1a,7-Jun,3,,1,2246034.021,2084594.959
OK371>saxA [WTcr/LoxP],NMJ,1b,7-Jun,3,,1,1124823.157,924283.5023
OK371>saxA [WTcr/LoxP],NMJ,2a,7-Jun,3,,1,1094480.871,982744.3181
OK371>saxA [WTcr/LoxP],NMJ,3a,7-Jun,3,,1,1649939.439,1497164.036
OK371>saxA [WTcr/LoxP],NMJ,3b,7-Jun,3,,1,1001504.284,860448.3423
OK371>saxA [WTcr/LoxP],NMJ,4a,7-Jun,3,,1,1125919.397,995907.6772
OK371>saxA [WTcr/LoxP],NMJ,4b,7-Jun,3,,1,1149488.515,966353.7425
OK371>saxA [WTcr/LoxP],NMJ,5a,7-Jun,3,,1,1454703.033,1177553.519
OK371>saxA [WTcr/LoxP],NMJ,5b,7-Jun,3,,1,1530920.266,1240097.347
OK371>saxA [WTcr/LoxP],NMJ,6a,7-Jun,3,,1,950087.979,775534.0776
OK371>saxA [G85Rcr/G85Rhr],NMJ,1a,4,3,,1,847102.225,722378.3691
OK371>saxA [G85Rcr/G85Rhr],NMJ,1b,4,3,,1,445439.612,326444.5222
OK371>saxA [G85Rcr/G85Rhr],NMJ,2a,4,3,,1,66726.59,55287.61426
OK371>saxA [G85Rcr/G85Rhr],NMJ,3a,4,3,,1,925343.442,792248.6799
OK371>saxA [G85Rcr/G85Rhr],NMJ,3b,4,3,,1,812376.813,705292.8482
OK371>saxA [G85Rcr/G85Rhr],NMJ,4a,4,3,,1,1218120.031,1056447.862
OK371>saxA [G85Rcr/G85Rhr],NMJ,4b,4,3,,1,1047201.272,875309.9184
OK371>saxA [G85Rcr/G85Rhr],NMJ,5a,4,3,,1,222205.771,206028.2491
OK371>saxA [G85Rcr/G85Rhr],NMJ,5b,4,3,,1,998451.072,918017.3825
OK371>saxA [G85Rcr/G85Rhr],NMJ,6a,4,3,,1,155085.894,131111.8208
OK371>saxA [G85Rcr/G85Rhr],NMJ,6b,4,3,,1,1030610.511,896667.1568
OK371>saxA [G85Rcr/G85Rhr],NMJ,1b,7-Jun,3,,1,824108.119,791310.118
OK371>saxA [G85Rcr/G85Rhr],NMJ,2a,7-Jun,3,,1,784073.575,680790.4063
OK371>saxA [G85Rcr/G85Rhr],NMJ,2b,7-Jun,3,,1,576330.682,438085.7996
OK371>saxA [G85Rcr/G85Rhr],NMJ,3a,7-Jun,3,,1,1904448.524,1659841.409
OK371>saxA [G85Rcr/G85Rhr],NMJ,3b,7-Jun,3,,1,1778610.606,1420698.421
OK371>saxA [G85Rcr/G85Rhr],NMJ,4a,7-Jun,3,,1,1400538.933,1110089.473
OK371>saxA [G85Rcr/G85Rhr],NMJ,4b,7-Jun,3,,1,577028.614,438103.5564
OK371>saxA [G85Rcr/G85Rhr],NMJ,5a,7-Jun,3,,1,2295389.264,2092387.706
OK371>saxA [G85Rcr/G85Rhr],NMJ,5b,7-Jun,3,,1,2283014.388,2088221.597
OK371>saxA [G85Rcr/G85Rhr],NMJ,6a,7-Jun,3,,1,908810.424,723830.4322
OK371>saxA [G85Rcr/G85Rhr],NMJ,6b,7-Jun,3,,1,966781.769,804907.2738
