Genotype,Data,Sample,NMJ,Segment,Boutons,Experiment,IntDen - pMad,CTCF
WT-cr/LoxP,Boutons,5b,7-Jun,3,56,2,,
WT-cr/LoxP,Boutons,6a,7-Jun,3,48,2,,
WT-cr/LoxP,Boutons,1a,7-Jun,4,42,1,,
WT-cr/LoxP,Boutons,1b,7-Jun,4,43,1,,
WT-cr/LoxP,Boutons,2a,7-Jun,4,55,1,,
WT-cr/LoxP,Boutons,2b,7-Jun,4,59,1,,
WT-cr/LoxP,Boutons,3a,7-Jun,4,35,1,,
WT-cr/LoxP,Boutons,3b,7-Jun,4,55,1,,
WT-cr/LoxP,Boutons,4a,7-Jun,4,44,1,,
WT-cr/LoxP,Boutons,4b,7-Jun,4,47,1,,
WT-cr/LoxP,Boutons,5a,7-Jun,4,37,1,,
WT-cr/LoxP,Boutons,5b,7-Jun,4,35,1,,
WT-cr/LoxP,Boutons,6a,7-Jun,4,30,1,,
WT-cr/LoxP,Boutons,6b,7-Jun,4,37,1,,
WT-cr/LoxP,Boutons,1a,7-Jun,4,52,2,,
WT-cr/LoxP,Boutons,1b,7-Jun,4,31,2,,
WT-cr/LoxP,Boutons,2a,7-Jun,4,16,2,,
WT-cr/LoxP,Boutons,2b,7-Jun,4,36,2,,
WT-cr/LoxP,Boutons,3a,7-Jun,4,34,2,,
WT-cr/LoxP,Boutons,3b,7-Jun,4,44,2,,
WT-cr/LoxP,Boutons,4a,7-Jun,4,14,2,,
WT-cr/LoxP,Boutons,4b,7-Jun,4,41,2,,
WT-cr/LoxP,Boutons,5a,7-Jun,4,38,2,,
WT-cr/LoxP,Boutons,5b,7-Jun,4,45,2,,
WT-cr/LoxP,Boutons,6a,7-Jun,4,51,2,,
WT-cr/LoxP,Boutons,1a,7-Jun,5,30,1,,
WT-cr/LoxP,Boutons,1b,7-Jun,5,32,1,,
WT-cr/LoxP,Boutons,2a,7-Jun,5,28,1,,
WT-cr/LoxP,Boutons,2b,7-Jun,5,28,1,,
WT-cr/LoxP,Boutons,3a,7-Jun,5,57,1,,
WT-cr/LoxP,Boutons,3b,7-Jun,5,71,1,,
WT-cr/LoxP,Boutons,4a,7-Jun,5,47,1,,
