Data,Sample,Experiment,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Raw - VNC pMad,Norm - VNC pMad,Raw - NMJ pMad,Norm - NMJ pMad,Raw - NMJ pMad,Norm - NMJ pMad,Raw - NMJ pMad,Norm - NMJ pMad,Raw - NMJ pMad,Norm - NMJ pMad
side,,,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,,,a,a,b,b,a,a,b,b
NMJ,,,4,4,4,4,6-7,6-7,6-7,6-7,4,4,4,4,6-7,6-7,6-7,6-7,,,4,4,4,4,6-7,6-7,6-7,6-7
Segment,,,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,,,3,3,3,3,3,3,3,3
OK371>gbb [G85R],2,1,21,,,,,,,,26,,,,49,,,,873479.487,856861.9533,529148.029,446394.5937,829649.67,704763.9279,908014.29,809018.2222,1484225.818,1347103.561
OK371>gbb [G85R],2,2,29,,,,42,,,,25,,,,35,,,,518605.95,537084.2,676166.857,509210.7721,1055181.144,944965.5967,1940261.968,1499482.668,878679.217,792680.727
OK371>gbb [G85R],3,1,33,,,,33,,,,27,,,,,,,,1271160.951,1261078.029,742141.153,622819.5247,1078549.515,901504.5439,894934.241,849920.2685,,
OK371>gbb [G85R],3,2,40,,,,31,,,,5,,,,40,,,,,,2754031.749,1679990.975,452783.446,393198.5874,2676848.148,2439011.499,1671572.732,1330323.539
OK371>gbb [G85R],4,1,27,,,,,,,,19,,,,27,,,,724504.362,709183.7649,846157.969,752913.6966,607796.727,543283.2778,,,920104.895,871793.2223
OK371>gbb [G85R],4,2,23,,,,30,,,,,,,,,,,,326176.336,337798.2,623242.099,548312.8301,,,1482976.82,1380916.371,,
OK371>gbb [G85R],5,1,34,,,,40,,,,,,,,,,,,468309.445,453021.0917,684083.29,618124.1439,,,1495188.8,1313417.173,,
OK371>gbb [G85R],5,2,,,,,,,,,,,,,,,,,227153.578,235247.2,,,,,,,,
OK371>gbb [G85R],6,1,,,,,46,,,,,,,,54,,,,793555.816,775341.6911,371743.065,202723.629,749012.425,659951.6903,977691.257,842957.0838,1103297.431,995173.4396
OK371>gbb [G85R],6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
OK371>gbb [G85R],7,1,25,,,,26,,,,15,,,,41,,,,921596.836,914294.4444,658418.734,575224.8461,414995.263,377185.1966,1039525.852,971950.6358,871896.104,797986.2978
OK371>gbb [G85R],7,2,,,,,,,,,,,,,,,,,,,,,,,,,,
OK371>gbb [G85R],8,1,,,,,57,,,,30,,,,39,,,,,,458857.427,323185.8979,298461.049,258352.4764,642292.038,554301.5618,642117.072,528791.8039
OK371>gbb [G85R],8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
OK371> saxA [WT-cr/LoxP],1,1,46,,,,68,,,,28,,,,56,,,,862679.111,843048.9726,711129.806,646270.6521,532149.292,492957.4477,2246034.021,2084594.959,1124823.157,924283.5023
OK371> saxA [WT-cr/LoxP],2,1,44,,,,65,,,,,,,,,,,,747407.895,722729.0586,926424.329,730449.9228,,,1094480.871,982744.3181,,
OK371> saxA [WT-cr/LoxP],3,1,,,,,68,,,,43,,,,80,,,,912760.963,865719.6282,602797.068,542719.3122,617939.243,557881.4355,1649939.439,1497164.036,1001504.284,860448.3423
OK371> saxA [WT-cr/LoxP],4,1,26,,,,59,,,,18,,,,29,,,,559072.791,526027.4564,252281.939,232205.9498,343549.519,299791.9172,1125919.397,995907.6772,1149488.515,966353.7425
OK371> saxA [WT-cr/LoxP],5,1,50,,,,34,,,,27,,,,53,,,,675415.817,669853.6713,1527220.395,1189861.795,455995.982,383010.0514,1454703.033,1177553.519,1530920.266,1240097.347
OK371> saxA [WT-cr/LoxP],6,1,20,,,,38,,,,27,,,,23,,,,,,752046.711,649468.5072,481982.95,384339.9872,950087.979,775534.0776,,
OK371> saxA [WT-cr/LoxP],7,1,,,,,,,,,,,,,,,,,877642.168,863245.7597,,,,,,,,
OK371> saxA [WT-cr/LoxP],8,1,,,,,,,,,,,,,,,,,1351269.243,1332432.197,,,,,,,,
OK371>saxA G85R,1,1,30,,,,,,,,22,,,,36,,,,873468.769,863046.3345,847102.225,722378.3691,445439.612,326444.5222,,,824108.119,791310.118
OK371>saxA G85R,2,1,,,,,55,,,,,,,,43,,,,1469279.948,1441600.813,66726.59,55287.61426,,,784073.575,680790.4063,576330.682,438085.7996
OK371>saxA G85R,3,1,,,,,60,,,,30,,,,48,,,,951337.169,896372.7628,925343.442,792248.6799,812376.813,705292.8482,1904448.524,1659841.409,1778610.606,1420698.421
OK371>saxA G85R,4,1,35,,,,54,,,,42,,,,26,,,,,,1218120.031,1056447.862,1047201.272,875309.9184,1400538.933,1110089.473,577028.614,438103.5564
OK371>saxA G85R,5,1,,,,,81,,,,38,,,,60,,,,435155.829,425608.491,222205.771,206028.2491,998451.072,918017.3825,2295389.264,2092387.706,2283014.388,2088221.597
OK371>saxA G85R,6,1,6,,,,33,,,,30,,,,37,,,,1232063.709,1222933.94,155085.894,131111.8208,1030610.511,896667.1568,908810.424,723830.4322,966781.769,804907.2738
