w1118,WTloxP,G85Rhr,WTcr,G85Rcr,G85R/X16,WTcr/X16,A4V,A4V/X16,A4V/G85Rcr
85,46,21,11,11,14,39,13,26,59
112,46,28,48,17,10,12,21,30,9
121,84,36,155,24,12,28,37,17,20
132,16,39,103,19,12,20,23,17,27
135,,,165,13,,,29,24,20
125,,,73,10,,,10,9,
139,,,,34,,,,12,
102,,,,12,,,,11,
,,,,11,,,,10,
