"","filter","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","E1","E2","E3","E4","F1","F2","F3","F4"
"2-ketovaleric acid",0,277528.5274,2266827.141,277528.5274,277528.5274,1387642.637,277528.5274,277528.5274,277528.5274,277528.5274,2083792.283,277528.5274,277528.5274,277528.5274,277528.5274,277528.5274,277528.5274,1453370.193,277528.5274,277528.5274,277528.5274,277528.5274,277528.5274,2578399.698,277528.5274
"2-oxoadipic acid",11775516.0865,13348418.66,26334143.83,11790772.01,22357578.23,8218809.695,12165612.28,7299344.769,8572328.453,57942409.21,46798021.11,16123617.55,32687931.7,10254554.61,7039880.351,9515392.826,10462414.06,11836336.93,9474377.779,19889730.36,9485136.516,12630327,21751789.24,21127196.7,18796561.42
"3- / 4-hydroxyphenylacetic acid",18141602.4975,12033933.64,20797861.21,9227462.283,35368379.52,6811412.082,10648781.31,12325632.9,37676067.68,10042173.6,22041604.22,4985278.21,27982870.9,7265706.151,26114948.75,19534157.65,23800678,35925770.73,19511868,38471421.15,71671355.33,21333675.5,14197373.82,22072623.16,38148555.39
"3- / 7-methylguanine",8498422.5185,3404208.326,14586374.73,6409320.487,16732299.5,11552137.73,12046990.52,14950666.04,15667444.68,14960468.94,17234170.69,5256129.791,12632731.13,5488138.695,10162030.74,6923730.969,6626878.806,8717254.439,8880502.153,15247815.85,3993792.132,2123664.911,5266768.929,11573127.49,8925633.229
"3-hydroxy-anthranilic acid",1023524.5685,1073340.668,3401472.551,2233379.73,4469820.183,4176874.296,2988489.386,3331801.938,4528907.554,2811677.067,3265053.994,1524320.328,4191789.882,3529723.685,3039002.552,2878476.668,3106214.111,2960473.508,2928184.93,3327380.395,2012600.005,2152211.723,1393364.265,3056549.235,2356466.787
"3-hydroxykynurenine",22821087.69,23702240.46,51989974.62,24569166.31,78163957.47,38829198.12,36590480.22,31834043.94,42675186.44,25545303.44,40684937.78,41749299.16,31303566.68,14049598.38,10028430.04,26072776.27,27607247.95,21009175.61,16381147.57,20702002.86,7701758.716,7246114.836,8930361.211,14422229.88,12986018.41
"3-hydroxypropanoic acid",116355472.4525,31130913.88,141560251.7,131353326.1,298034658.1,74600117.74,176517469.6,247155979.5,156146254.4,50869001.6,145739577.4,88662473.93,258240368.5,184692087.1,62714530.45,127197440.7,3059756.804,156512111.4,611951.3608,43397488.1,95100610.59,60679014.74,198952018.3,165864886.5,232129255.3
"3-methoxytyramine",568817.5425,1690653.309,1726249.158,1170293.237,1265131.043,1500598.496,1292887.336,890276.0573,2928212.21,1863308.291,2136031.029,626886.8235,1668522.13,1673668.046,1514913.011,1406926.36,1107352.492,2447649.583,1732538.864,1333297.809,369348.215,3303993.39,1851918.31,2223871.84,1443089.602
"3-phosphohydroxypyruvic acid",2604989.5,3262922.267,2532057.208,2221349.226,2915734.003,5803289.79,5857434.071,3262163.907,3952606.3,5898586.495,5264385.584,5703710.418,4679262.055,10927613.93,5669398.329,6453409.29,8178564.55,5939959.349,2655595.039,5076893.031,3044229.754,4648165.642,5464848.601,6735933.026,5221061.787
"3-phospho-serine",5961499.70775,3795462.162,5752992.542,2730824.837,5416359.438,8829536.293,8659482.945,7063134.443,8000385.043,16575727.61,3853793.764,9789350.525,7587370.651,2147750.083,1992758.946,1991176.089,1801372.778,1254314.209,1005302.662,1497406.89,459913.7318,631380.0041,1167832.522,897772.2975,873336.2808
"3-ureidopropionic acid",605015.85245,858131.0544,1353629.004,1129978.81,1688003.244,674885.9282,569918.8525,1650606.733,1236915.466,1336138.744,1332389.076,497382.9779,1171770.039,746118.878,993563.3528,829982.2216,1200600.045,828825.1306,1526178.542,1871785.515,268076.2602,171588.9431,869601.0947,668185.7853,912432.3146
"4-hydroxybutanoic acid",5860069.345,3382200.453,10933136.34,11149254.08,11174787.35,12875566.84,14003716.1,14168279.65,12454598.58,11760363.9,13901851.42,2692559.265,10404543.31,7476958,11821225.06,7377509.535,12737022.1,6916733.305,8264639.109,22328886.21,4083839.878,3981610.73,2673234.494,5910340.545,7135976.72
"4-hydroxyphenylpyruvic acid",72963.6992,3974.3485,46642.22537,3974.3485,96577.6235,88322.08863,19871.7425,43764.90358,207156.649,29540.78278,53237.49269,144879.0168,28287.22882,50981.66714,29060.62026,70590.09326,222143.0565,53563.64231,140990.382,24237.47489,3974.3485,89639.55636,100274.4068,109905.0774,106500.666
"4-hydroxyproline / 5-aminolevulinate",23698488.7225,31706387.86,43664914.04,24187944.78,49134386.09,20579736.92,33396565.39,35359347.18,32380364.88,50198586.87,56783806.9,32633918.48,42131514.4,44177185.96,52838437.38,66045637.8,62416578.81,48109280.07,59305669.35,54185641.18,31767639.29,34445240.03,61564979.16,71443841.94,57266148.84
"5'-deoxyadenosine",293081.8527,76135.22461,190813.7635,100300.3498,359012.7074,53099.35879,221040.3262,320931.7462,404032.9977,471167.9528,543929.6562,123110.7768,319527.1052,521409.2221,594491.3115,501617.6436,466374.0183,100213.5813,662268.252,559214.1405,408601.2017,233987.5346,290582.1426,535624.86,456900.5978
"5-HIAA",2206070.097,4109699.517,11625635.43,3290259.456,10214911.76,3082534.255,2021304.646,1950809.317,3236749.056,2411381.956,3785272.068,1041275.836,1926672.961,1887056.933,3750110.377,4310727.995,2269033.319,4335451.163,3797452.462,4274282.749,1210740.082,854144.193,1530720.833,5683121.273,2636986.006
"5-methylcytosine",3266043.0315,3305804.075,6777988.714,5041349.077,10184745.35,7430873.244,7355529.531,7628641.889,8309037.156,8271294.955,9883875.948,2756570.976,8620556.726,6442622.004,7057802.734,6768139.611,8680358.913,8411646.602,780624.0706,7919189.675,3271756.166,2607409.017,4934702.664,7761557.096,7168056.712
"5'-methylthioadenosine",12212092.4525,12210804.1,37754834.14,27201462.05,69907653.83,18161010.52,27390891.99,28547020.31,22256475.53,31820649.82,56358127.31,27579823.31,34176508.44,34169378.02,32111086.89,39313266.23,27201053.13,17982462.95,31795094.03,23258255.31,15605219.14,18566602.46,16108848.29,21846749.64,21029222.14
"6-aminohexanoate",101508374,18220277.45,249491208.9,124674242.3,193503245.6,133078150.2,153748605.7,123321220.7,129595954.6,185490046.1,226193909.8,91101387.25,134670661.5,119978096.6,97392506.1,110042406.9,109667554.8,217663502.7,311432264.7,334797705.4,95022977.99,143052982.5,162696199.9,285445436.4,223019684.6
"6-phosphogluconic acid",672473.94655,56697.83316,899702.7884,424965.3582,709799.4999,760923.9202,345522.9396,2225726.907,1178248.674,3231959.806,717059.7384,1672074.338,2001411.986,592378.0541,2705344.179,1289761.315,1214967.972,1003631.978,1194562.783,953096.6581,431945.9369,283489.1658,1268870.058,1123397.578,1542388.395
"6-phosphoglucono-D-lactone",13950.661298,2493.549012,2493.549012,13094.75122,12467.74506,2493.549012,14889.94266,2493.549012,63458.40137,31239.53504,16386.82519,2493.549012,14410.74057,15054.57578,16616.36567,27610.19008,19778.53589,2493.549012,2493.549012,2493.549012,2493.549012,2493.549012,51890.17632,2493.549012,2493.549012
"acetoacetic acid",9821653.5425,86579334.94,16199404.9,11776933.44,19899363.55,28644149.32,14956675.08,15212291.85,13911386.74,24786099.25,8646489.97,23376549.47,15863428.38,19887192.28,23639513.55,16956524.64,14129862.73,34623496.88,22527508.47,15471216.12,28669925.47,35160777.91,26554256.63,15821745.71,18171399.35
"acetoin -",2620743.65525,1452433.671,6178569.812,261997.3056,5188721.259,3757541.173,4541144.945,3598181.747,4717300.532,5973900.84,6538344.833,1895691.214,4566732.885,3676900.327,3966633.6,3642722.932,5109365.845,2710644.059,2888294.386,2478497.292,811830.5219,1841085.047,2214647.795,5865532.678,5007916.149
"acetylcarnitine+",276215830,1137932345,939990336.4,546984020.7,733443340,1136004415,876546739.7,930868628.8,786831090,831778254.2,704849758.8,731637204.3,800737305.4,643144548.7,643460405.8,612009529.6,488174788.3,621468172.7,418767186.7,798722103.2,267931430.7,352599263.4,404718136.8,559891774.3,447845786.7
"acetylcholine+",98617681.015,37659468.27,77160956.93,129964920.8,155119947.4,288498900.2,167761575.8,343276696.4,335459561.8,106656593.4,116270479.7,48685213.01,92248230.9,64000374.37,82093713.24,164648203.8,82927691.72,522661602.4,67745029.59,73984770.97,264661454.6,28921458.18,45153287.05,70629338.57,60176182.91
"aconitic acid",105651729.25,195107329.1,242937823.3,123588867.7,182317157.4,172568123.8,289703857.5,186301230.4,184261753,285411487.4,225326956.3,197785601.6,254913118.8,176379930.5,293412046.6,299736147.7,202814885.3,169751973.8,244458929,352574993.6,77958710.33,149966051,322555124.3,338859177.8,254852114.4
"acrylic acid",120391341.5,172137729.9,371764851.8,282256018.6,456147414,328808152.5,326028861,359316148.4,375317000.2,395359850.6,384850790.8,288579967.4,409028651.4,430298647.4,483103203.4,412980506.5,496596032.7,550814507,497514818.5,494699762.3,358721409.8,342264506.6,467334301.6,472296966.2,511907990.1
"adenine",66883926.75,66686761.63,179602128,69166967.19,199015407.4,104139963.6,120796435.5,121580703.4,182835428.7,122024346.8,149808655.3,30734511.08,141836809.4,131588045.6,152857868.7,172652625.4,164654314.3,202904678,243706673,246576147,171686983.3,68458318.06,102598647.6,185558691,219884419
"adenosine",432074799.6,618886977.4,1645776498,543091052.5,1474294011,1206044158,1339117939,963406383.2,1509231823,1105167160,1224543605,337650869.6,1388050771,963700584.9,1134173318,1026462616,1242805655,1315684865,1310134782,1122761633,521978781,390690038.2,651018413,1086651637,1322482166
"adenylosuccinate",783577.592175,218420.169,784011.4465,467689.1273,548941.9703,780875.1146,1417387.987,1492176.329,1192696.204,8566166.992,599371.0119,982066.018,983397.6766,1608491.24,2227388.719,2266163.105,1516805.788,1147777.704,1507859.547,1236252.038,430430.4798,606487.7365,1533006.085,1050128.355,1720446.95
"ADP / dGDP",11899844.275,27233413.34,59227522.29,31872757.65,42798685.41,47775623.44,67965652.3,56324239.98,54514086.61,126883250.4,30994679.59,59685659.85,60392394.76,45626998.51,54615780.71,48627898.12,57565884.46,45745628.54,54865415.86,46044487.23,14943224.41,34904776.77,56571057.86,46844678.18,52679591.95
"ADP-D-glucose",96107.613725,53776.44307,174251.5425,130374.0326,137292.2992,195536.7698,323787.886,264761.4179,262419.482,423875.3543,97951.94988,189831.5659,246389.6895,141245.6727,238214.911,154934.045,147269.7725,168726.8216,157822.3441,203121.7507,9891.061401,218554.8937,98240.38458,38219.71149,118327.0394
"agmatine",7473218.82,2010489.142,18606664.21,21891433.7,30521957.34,16698776.71,25984269.47,14061737.52,28888941.35,9720847.705,11253171.56,9663590.475,12077243.54,18417026.43,15117051.04,16272380.8,17102653.51,12123162.59,12355460.14,13341863.9,9849045.218,17648346.64,19065317.61,24311090.36,21143653.76
"AICA ribonucleotide",316871.507005,59586.49455,382957.7047,138478.1549,386599.6443,61151.76999,63020.76897,301807.0064,445929.7515,392872.176,820034.7614,368377.6038,617566.9702,63317.66327,223195.2156,58459.43803,68223.02237,198319.9448,310307.2415,252850.9278,60853.56147,228642.8515,310588.2074,501840.2789,290568.4083
"a-KG",181322913.75,270420347.9,225223634.3,173194509.7,247346348.3,419933069.8,527206471.7,291045337,307755366.8,470748413,466033200.3,456948093.3,379696258.1,779606394,440370850.3,488410450.7,608111531.4,424850276.1,230556308.5,388878291.8,261945764,349201288.6,452594282.5,493285263.8,405353519
"alanine",512194852.5,1669358806,2257213139,1263117070,2321774371,2149958993,2270939300,2720915322,2130751592,2060637456,2469878674,1706028137,1989955209,2135683601,2213953915,1991132323,2091256894,1828686224,1893784679,1778661404,1606975066,1412723053,1479769712,1467808082,1599788681
"allantoin",75028489.55,59051556.37,151539747.8,103094362.2,243327423,179153351.9,194715261.2,196843850.6,200756029.3,254859769.5,346169380.5,104556685.5,240993180.8,138900563,142503291.2,194869834.2,201237686.6,182277595.1,227891345.9,262209553.1,78927952.2,71301060.28,114788758.5,198678545,181826882
"AMP / dGMP",34036113.725,76137494.78,191797254.8,167958847.9,170694752.7,184147277.8,199981144.2,207110493.3,216246645.7,259306108.1,192543202.6,190458222.6,194515528.6,157312722.6,189203990.2,180201549.2,159133719.1,167032927.3,194270512.3,216916173.9,63062652.83,145592299.3,197358760.8,223873168.2,210200788.6
"arginine",1671662414.25,5979625876,8790407340,4809604143,9976524623,7336284345,9095339643,10631380205,9640103884,15843500700,8800994308,9784425730,11322719831,7830439824,9969891762,8927102618,8792678980,8450356419,9520335544,9966088992,5820301205,6405913066,9976449055,9286220264,8753940393
"ascorbic acid",493342686.375,186479769.8,355071176.9,466262490.4,260861757.1,198272003,219801906.5,346752797.5,45773622.3,411747431.7,177834795.5,521778878,295474995.4,857367034.9,1629265381,990299619.5,715857199.2,415438375.2,828186325.7,844116750.7,143009684.6,415377406.3,637874740.4,566987611,846261499.5
"asparagine",228325066.65,288552246.3,724926749.7,510025387.6,712694365.1,683989316.3,701951030.8,803144336.4,742128553,736432808.5,769868136.1,798922306.7,750468016.9,1088801582,1084540108,1093931876,1107063396,929408653,965108433.7,1151367052,551013102.1,493107221,738534001.6,811204437.9,800271692.1
"aspartic acid",24253441.3025,28703055.87,60882292.76,40104691.49,47470628.87,40296104.95,55971935.54,82584089.66,62547114.26,68788151.69,29456643.84,58872507.62,56374281.04,25080823.15,76307232.99,58225942.77,51552788.35,34714322.55,48727587.61,70941919.46,19998634.49,35257242.62,38621859.87,30841951.25,47434392.84
"ATP / dGTP",1788016.1145,2393536.42,3583699.62,2473183.005,2705729.125,2450855.655,5563230.494,4763427.721,3543780.635,15547333.59,1452713.324,6711365.715,5998599.691,3798689.034,3230183.454,4183670.961,5151718.783,4123665.355,3292203.378,3759944.686,2228649.009,3482474.978,5387752.686,4132256.343,4798875.054
"b-alanine",492437441.275,1222618787,1666250060,1089995016,1474557502,1428480692,1439028641,1704627122,1611693074,1628465325,1513767483,1165385309,1497163961,1046194014,959663580.4,1021458067,995660318.4,954741362.1,1098687583,1016759492,764248657.4,760211940.6,964105746.7,944271210.9,1057374001
"betaine+",965793320.25,1678739755,3274773599,1349570429,3521678385,2909197076,3423290880,4002470325,3774256173,3731335568,4090521752,1035292828,3242252796,2465467368,2722520750,2487636792,3064322043,3378469921,2602426054,2823062659,1066863734,1904714228,2760128661,3775746112,3372211793
"biotin",3563035.7295,3490440.57,9134450.984,5171491.336,13823009.72,8263166.294,8496792.133,7578224.937,9315867.979,9545868.41,9876981.87,5581277.923,9331416.284,5628600.03,6175600.776,5812190.227,6097219.87,5763491.195,7464898.39,9699850.221,2891652.281,3038254.554,4365827.282,6376585.237,6370408.132
"butyric acid",2019927.931,2377547.897,4168996.348,3865928.583,4061331.488,2761710.684,3252963.95,5406307.455,5196197.79,5213453.528,6389213.488,2963443.324,5671518.633,3546696.435,5071654.867,4140069.52,4009005.983,4936838.77,2228713.773,5220966.63,1355463.455,2661731.259,4710379.205,5725405.306,4827627.673
"butyric acid(iso)",1995172.6385,1918186.179,5213090.045,5237416.077,4298186.086,2807047.797,2842370.926,5129842.414,6615693.917,4765104.178,5760773.691,5011793.229,6450865.088,6490991.601,6729415.334,4845632.224,6780532.784,7580404.693,3867236.703,6540625.116,3881404.944,4898710.017,6727107.423,6957937.485,7553137.602
"caffeic acid",216747.518925,77220.38375,263936.3714,88556.33124,367626.2189,341672.8903,396560.4324,312727.8923,581699.9832,325224.2555,293860.5286,167581.0455,421746.2061,191385.7674,132327.1722,277843.567,311557.9565,112831.7327,222024.1387,385795.1805,150834.2871,134777.3626,156949.8248,400517.6168,457800.5372
"cAMP(2',3') / cAMP(3',5')",11624633.16,10110968.48,27920106.49,18758557.25,30599456.57,14430247.1,19306580.12,21059825.72,18717020.4,35384913.12,37075773.2,14434111.67,32139636.37,15216582.71,21479598.57,27476019.07,18867690.39,24588761.76,29088906.66,33332371.06,7853946.412,11469861.57,20777815.53,31435129.91,23468330.17
"carbamoyl phosphate",1216413.2955,3911414.978,8412133.118,6953910.351,8863941.139,7370903.337,9253442.837,7893928.254,8074073.271,7972791.724,10485670.93,7255873.937,8086763.5,5790858.694,7040946.455,6736728.885,6871089.482,8023870.796,7772890.913,6873025.512,4377908.726,6830061.685,7719978.021,6492254.421,8539113.409
"carnitine+",1322477970,5083698125,7290589946,4922509787,7374226824,7461770697,7712612229,7593883668,7344303615,7205205938,7399564585,5949030336,6526164835,6741683340,6991010672,6549456024,5992377079,6655960003,6685196931,6419333256,4614440519,4910332774,6026546559,5902819294,6651557082
"cCMP(2',3'-)",5379437.12025,6973759.92,14225440.36,11177507.36,16301589.95,10942638.97,14041633.35,16108482.45,15901338.39,13423959.58,12590450.08,5800507.605,15113294.01,7593680.337,9733827.427,12281897.49,10772365.68,18361212.63,14917505.12,15305344.06,4197740.986,5567351.429,9797883.394,15892955.49,13005406.51
"CDP",237634.6159,493895.0906,614152.0711,192643.5562,373021.2131,424778.2858,803501.3993,433374.2968,482625.1847,3146438.548,68623.13647,528456.7805,750764.6375,402019.6701,516572.0434,267439.1654,392183.0127,308168.2334,315810.036,352678.4013,93413.52294,166252.3367,245401.3554,226243.5336,278891.4975
"CDP-choline+",1095505.1605,656074.8414,4531898.994,1190436.6,1616325.999,1831633.768,2200111.19,3756630.131,2923514.331,6511664.873,1786373.72,2080127.3,4450841.84,2435125.077,4101069.117,2279623.898,2837945.271,1932607.62,2170797.97,1936029.894,670933.3033,1696208.342,2122916.342,1630037.968,1887944.46
"cGMP",13434521.0325,16814808.09,34317999.19,21157693.65,34692849.35,20435681.84,22594848.99,29313446.57,26967221.54,45599926.61,48811027.18,14842047.81,41962941.59,19865314.93,27392659.76,27126298.41,27242805.38,34213927.04,28267705.82,43921112.99,9980315.736,10112600.43,24844487.3,38396997.32,27953764.2
"choline+",891972166.75,2595272141,4118828961,2851690389,4707870523,3924357263,4051767189,4098264200,4386631260,4724735042,4914919122,2458664152,4645849578,4176283101,4106958835,3883125205,4566044626,4150799434,4459652147,4466028391,1993322683,3092064324,3098347214,4671763490,4617477618
"citraconic acid",9139748.906,3882058.854,33070984.25,11945955.64,17733823.5,12478366.69,15895195.77,12266232.45,9152067.574,22197992.58,34583237.06,1646350.608,16381023.19,8365864.992,10833969.9,9642074.703,7691485.87,17204750.99,7428371.366,24332352.6,14341900.11,3999281.638,6852670.45,19079625.38,12182117.95
"citramalic acid",11501902.51,20907136.21,56822607.88,40696003.3,40140513.4,49114209.08,34144692.27,48903550.17,40342280.9,53066083.44,44336239.34,39772168.41,44868727.09,35060034.73,34067467.76,29941204.15,34175548.91,38062686.9,35708801.83,24099225.67,15717347.7,30158478.35,32495836.2,28013150.11,29378936.44
"citrate / citrate(iso)",1658451979.75,987315931,3089723618,1848585154,2914031563,2751058027,4335710141,4357258742,3395369479,7324068116,2577692573,4851563625,4392898347,3273169680,4709551652,4720505814,3935103235,2557291625,3505891060,4437504320,1134786427,1606765465,4014034712,3939707986,3631302578
"citrulline",637039.65565,679802.1127,1466955.072,918745.4067,1194642.65,1802817.93,1266948.183,2254283.647,1746976.28,1310232.631,776292.8457,843446.6533,1137279.762,597465.9815,2555696.372,1396787.991,812301.5454,3402594.799,1038696.744,1252377.083,1753325.044,489252.3961,940637.5351,1005734.436,1011181.709
"CMP",7896393.065,9211945.768,24960953,13450186.79,17729425.13,26851022.59,29158017.76,28391117.43,26252263.1,37172216.92,17330527.53,19710868.5,22217388.05,17911449.77,22305371.44,18035922.62,17266880.93,15128173.79,15725827.02,21102621.74,4453497.355,13987891.97,14373644.55,15407689.62,14906973.69
"Coenzyme A +",8736.4378281,1855.5291284,1855.5291284,1855.5291284,1855.5291284,1855.5291284,1855.5291284,25692.66912,1855.5291284,19196.73815,1855.5291284,14534.9309,1855.5291284,1855.5291284,32989.05626,1855.5291284,9277.645642,1855.5291284,1855.5291284,1855.5291284,1855.5291284,17815.96986,1855.5291284,1855.5291284,29129.75743
"creatine",879265.704,4380308.169,4776363.957,2826152.671,3324054.513,2398571.014,3001022.825,2673156.944,3081274.07,3386205.113,2593460.02,2326876.392,3058249.906,3448820.193,2070184.731,4528352.454,3053659.987,2438855.134,2410307.398,2570746.395,1368856.357,825182.0501,1380491.839,2035539.778,1953948.813
"CTP",0,1891.6032392,1891.6032392,1891.6032392,1891.6032392,1891.6032392,1891.6032392,9458.016196,1891.6032392,295028.0443,1891.6032392,1891.6032392,23930.11343,1891.6032392,1891.6032392,1891.6032392,1891.6032392,1891.6032392,1891.6032392,1891.6032392,1891.6032392,1891.6032392,12559.55131,1891.6032392,1891.6032392
"cystathionine",8343481.0025,6652663.678,19612993.97,13338566.24,13807515.66,15237328.71,27807199.79,28854413.64,22384744.3,53927797.72,21936711.82,24727459.15,25739648.33,16958476.08,18722188.85,21947310.51,15720379.42,16353758.9,17977079.87,23182446.07,9465542.506,7888625.774,17022330.56,12731849.42,23346087.59
"cysteine",35449273.05,12440913.94,32778477.37,29847066.45,31842164.04,8908150.167,20123550.47,40894728.07,63636642.03,49115078.7,36966375.94,14661185.57,40528731.65,29100137.92,66091926.37,64782167.7,80665029.94,64495096.49,107367284.4,109042810.2,20886729.16,31000594.05,89570339.52,53034907.58,73565843.68
"cysteine-S-sulfate",0,9534.682262,9534.682262,9534.682262,9534.682262,9534.682262,9534.682262,9534.682262,9534.682262,9534.682262,9534.682262,9534.682262,9534.682262,9534.682262,9534.682262,9534.682262,183775.5483,9534.682262,9534.682262,632181.4859,47673.41131,9534.682262,9534.682262,9534.682262,9534.682262
"cystine",16556106.8325,8606169.331,47629797.42,22999458.95,61198344.25,10148620.71,18097966.51,31901641.04,42209066.05,30330094.19,37394932.4,11534247.49,32023672.39,10566235.59,35981557.18,23807529.87,21389298.47,27874045.86,39532084.25,31239385.14,9951168.246,9690976.89,30453853.44,24149942.9,24976957.35
"cytidine",23648874.255,19785689.74,59975811.16,27505492.5,78252920.56,52821315.01,54447900.64,51443905.66,60496930.98,63228309.2,80603176.83,36490735.51,65642196.43,32788159.42,32595054.04,30938853.94,32841263.52,35595535.36,37593537.95,45497335.8,16399207.45,18592754.6,25941900.93,41372319.32,40465082.83
"cytosine",1402670.12625,1325775.185,3323882.107,2101910.037,5450560.952,4262690.15,4059983.258,4868061.827,4797422.222,4001158.072,4943192.05,972213.9483,3715704.754,3275675.244,3210246.544,3086898.929,2837192.092,3414129.05,3190149.414,6049865.883,1444238.122,1476260.954,2320383.143,3973126.557,3172673.575
"dADP",86396.938258,2529.379412,12646.89706,2529.379412,2529.379412,2529.379412,12741.9984,2529.379412,2529.379412,12828.68608,2529.379412,2529.379412,2529.379412,230161.1664,310962.0122,97776.14874,264050.2699,152437.8447,131032.7975,80597.20103,2529.379412,70214.61403,60066.92523,85976.37398,77537.10669
"dAMP",727714.513635,83699.26278,8992.732032,69208.66594,8992.732032,65454.87373,108297.9948,8992.732032,73814.40766,8992.732032,59314.9259,44963.66016,8992.732032,831412.0455,1234313.766,852454.5048,1137239.626,669315.7763,744003.8699,1007595.337,216669.4391,767451.4823,634772.9135,582210.5993,979081.8284
"D-arabinono-1,4-lactone",12076193.475,12823251.2,31617815.95,13177792.87,49331839.4,29680776.4,38731209.4,32310810.71,43426499.44,31479659.37,33308275.8,26153864,36113589.47,35794167.38,40063169.16,34556347.98,59567541.12,27394020.81,24683361.82,26444068.31,18609625.74,25219703.82,25687787.68,44443502.2,37907648.06
"dCMP",29936.774015,30315.43675,41171.39846,26433.91124,17238.06884,54243.88398,45475.62004,101133.5729,3447.613768,96239.17688,67043.91567,50920.17094,49295.50585,38244.4569,52917.24355,50244.97574,50524.35704,21836.02572,3447.613768,3447.613768,3447.613768,3447.613768,25511.6031,22313.10282,28735.27219
"dehydroascorbic acid",16813659.465,27421302.14,63149133.02,46207918.97,71967608.83,55033668.5,48423053.49,51989959.99,50535909.22,59778825.14,51827382.59,23181030.5,49688371.64,83578042.68,98209754.34,73552051.23,82497941.66,56243447.86,56836481.92,57951688.52,27529128.79,25451878.62,26515725.64,59643255.55,69284318.24
"deoxyadenosine",605022.195875,88263.19933,518122.9346,167101.9981,360906.2545,94817.8858,158093.0435,166647.281,365169.6368,673872.0598,1285926.314,56826.52519,295403.166,494549.031,940111.0533,716498.9435,781995.9995,405923.0932,1095525.76,876370.0343,294837.9009,184726.4587,445654.5137,1144902.094,795382.1592
