,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4
Label,TktOEWT,TktOEWT,TktOEWT,TktOEWT,TktDfWT,TktDfWT,TktDfWT,TktDfWT,WT,WT,WT,WT,TktDfGR,TktDfGR,TktDfGR,TktDfGR,GR,GR,GR,GR,TktOEGR,TktOEGR,TktOEGR,TktOEGR
D-ribose-1/5-phosphate / D-ribulose 5-phosphate,5288873979,17116545969,10259912843,11240769333,12906930274,15848620433,16713020591,16406725768,15563218191,10386889505,11651982815,14180476438,12092601940,11835818661,13978853969,16211343981,9559631831,9889004679,6692183052,4014614297,8508526973,10942303584,9081646795,9115618954
D-sedoheptulose,21327917830,29357022927,21209427087,28219127275,28545580488,31095287625,32323564123,31728499170,29295084550,31021089874,19353091950,28198163403,34343373912,29708290375,35143812655,36410578848,25907928835,26214510982,30570552786,17346210504,30323325173,47393135174,47070751542,45058160301
D-sedoheptulose-7-phosphate,15888981230,54951117834,33542150069,47489341854,42129076084,52011773883,62187284384,56835818322,92007630504,50164948192,58848799085,68364179044,41158088640,43687428397,61411203088,51491078847,30461251810,39986788674,40657775677,19846555207,44248530163,78580202905,58044280367,65144505510
dTMP,217965278,156175124,197885641,223088744,269991576,408280478,375566496,495540678,411728850,298313904,311281167,90771608,343064382,374539246,319809161,334995251,453325918,344563383,366078869,159158734,300917416,350562214,159061521,477246172
epinephrine / normetanephrine,12731533600,8750135648,12827698160,7882537046,12042715006,8335451236,8186026984,6948257690,8727048243,7462889737,6512624028,6438710849,9337406225,7886905961,8084956177,6704582826,10089146299,8439696475,8077926670,5770940079,7489903914,7422282938,8102128807,6852324809
ethyl acetate,4187842581,14806861821,1756925684,2755119759,5522811715,2488012124,5943466015,4140321413,10006960959,1359412387,3723834339,13774609716,3689642074,17323165813,3667385004,11124713560,1800963407,3579121231,3797504632,9047829849,2395412145,3465489625,2833790600,5609237114
"F-1,6/2,6-DP",2532123802,1275328126,606991939,481141190,2210807564,1116845270,676681444,508939833,4799166517,827250772,659671566,791287808,2061713318,849946539,561440347,391850959,1365956335,557691539,469305696,196011031,1038102009,551307974,359062443,327598839
F1P,434828733,541973404,691761366,55163642,482565325,374374980,978079605,607544581,688360443,610454583,829669359,990169591,2127969885,1750561736,2056076184,2400877408,1848632912,1861018225,2281939335,1253307759,1393626820,1873043621,2771857182,57519119
F6P / G1P / G6P,2.31E+11,7.67E+11,6.40E+11,6.53E+11,8.10E+11,9.39E+11,1.09E+12,8.89E+11,1.65E+12,6.75E+11,9.91E+11,1.00E+12,7.43E+11,8.96E+11,9.68E+11,7.61E+11,6.69E+11,8.05E+11,6.73E+11,2.46E+11,5.02E+11,9.74E+11,7.14E+11,7.64E+11
FAD,3850997670,3339771821,2147681460,3017278840,3420067873,3669482805,3547670127,3612159858,3143366616,2140464708,4046175326,3210450963,3517578500,3938032346,3704766521,3618091186,3401831321,2621815782,3288802600,1904033487,1991248661,3281387183,3007899839,3640187693
FMN,466619546,710922482,495519017,394680835,490675942,677823598,497403260,594704924,454170122,389057718,518564301,480946279,176358128,264363199,371391271,295150440,637887217,617898112,198281652,80718438,306683603,445195404,653201519,777151794
fructose / mannose,2.59E+12,3.45E+12,3.04E+12,3.48E+12,2.55E+12,3.17E+12,2.95E+12,3.18E+12,3.62E+12,4.17E+12,2.04E+12,3.37E+12,2.71E+12,3.05E+12,3.28E+12,2.92E+12,3.76E+12,2.69E+12,3.49E+12,1.55E+12,2.34E+12,3.69E+12,3.78E+12,3.22E+12
fumaric acid,20809236190,12801718524,20107032512,13040954813,21661654781,24413695229,17119865113,20508963289,10626914265,5197206290,25986688381,14583589303,16516458106,30288051069,26631134170,30491044962,16400586767,15501068483,14580822849,17614828472,21008361518,15427144420,7757654553,17767546529
GABA,1.19019E+11,1.34128E+11,1.37543E+11,1.16558E+11,1.02681E+11,1.1005E+11,1.2372E+11,1.26213E+11,1.00296E+11,1.05657E+11,1.39373E+11,1.25492E+11,1.02132E+11,1.76744E+11,1.01512E+11,1.17389E+11,1.22221E+11,1.02076E+11,2.13918E+11,1.25216E+11,86827985903,1.17481E+11,99133128458,1.12434E+11
galactosamine / glucosamine / mannosamine,22710840060,21916336743,24419813225,32743207935,18063368366,18524616184,22557525338,23291890954,22011965762,22268271203,21596952335,25224903928,16411289435,19165439070,18274635317,25891563912,24912661357,19134384231,21227608301,49274144038,23344511928,21373770463,21888371413,26665741925
galactose / glucose,2.04E+12,3.33E+12,3.30E+12,3.78E+12,2.90E+12,3.07E+12,3.08E+12,3.11E+12,2.94E+12,3.46E+12,2.62E+12,3.41E+12,3.23E+12,3.91E+12,3.34E+12,3.96E+12,4.58E+12,3.91E+12,3.62E+12,3.14E+12,3.32E+12,4.09E+12,3.55E+12,4.17E+12
GalNAC / GlcNAC,1874459802,1636299279,1978530187,1414681398,1745420617,1092410768,1317765583,893557949,1247247860,1357124320,1208701618,1196806853,953464628,1353449929,1065081366,1403215381,958530270,1295251415,1101412474,2659019671,1622500274,1374764453,1000162720,1109986571
GAP / DHAP,3194833953,6635706781,2740499776,4357016359,3454296304,3077978598,4047879122,3941169214,6279659687,2454672873,3345280529,5515027704,3773394122,4667978904,4245845625,4742371028,3908676819,4520925549,2373922495,1479577197,2356976468,4250432623,3014767605,4301660789
GDP,1023361157,1692502114,1177933988,1399997375,1568142888,2020746425,1649514503,1816155213,5048053520,690148789,2346805736,2015292416,1550022976,1577888630,1748271007,2112120230,1494339303,1746647020,1440275941,1235280364,1449294973,1794754985,1438527191,1716224312
GDP-L-fucose,47160616,98183290,94649644,84529110,180116802,170649339,179911016,154248548,336439931,43423762,98211535,142241184,118523877,81372882,144226075,67662271,97176337,92203729,103636037,15859975,69018643,106226557,46705859,89128684
glucono-lactone,4.31E+11,6.77E+11,3.56E+11,6.80E+11,1.12E+11,3.73E+11,4.29E+11,6.55E+11,8.07E+11,1.21E+12,8.19E+10,4.71E+11,3.85E+11,2.73E+11,6.52E+11,4.70E+11,2.71E+11,6.01E+11,8.30E+11,2.50E+11,3.63E+11,6.61E+11,1.09E+12,6.12E+11
glutaconic acid,2.83882E+11,4.47719E+11,2.58539E+11,4.62576E+11,82683371414,2.4654E+11,2.88089E+11,4.29551E+11,4.6838E+11,7.77666E+11,62498348228,3.17021E+11,2.60678E+11,1.92741E+11,4.3626E+11,2.92617E+11,1.97867E+11,3.93415E+11,5.44783E+11,1.82059E+11,2.50813E+11,4.58016E+11,7.33984E+11,4.03336E+11
glutamate,1.02E+12,1.22E+12,1.27E+12,1.05E+12,1.54E+12,1.69E+12,1.30E+12,1.42E+12,1.66E+12,8.22E+11,1.93E+12,1.51E+12,1.21E+12,1.42E+12,1.21E+12,1.28E+12,1.05E+12,9.40E+11,1.26E+12,6.36E+11,8.72E+11,1.01E+12,9.13E+11,1.06E+12
glutamine,4.50E+12,4.21E+12,4.92E+12,3.74E+12,4.39E+12,4.32E+12,4.02E+12,4.20E+12,3.19E+12,3.71E+12,4.17E+12,3.94E+12,6.57E+12,6.71E+12,6.48E+12,7.34E+12,5.93E+12,4.85E+12,5.93E+12,4.55E+12,4.00E+12,4.92E+12,5.01E+12,5.04E+12
glutathione,1.02095E+11,89497032997,1.53588E+11,69077710296,72818314081,1.06176E+11,1.08492E+11,1.34551E+11,1.13685E+11,81486285675,77541396050,98961384900,1.06495E+11,1.04744E+11,1.24529E+11,1.3992E+11,1.01022E+11,1.1376E+11,1.35838E+11,48069043457,1.02757E+11,1.60018E+11,1.16957E+11,1.30947E+11
glutathione disulfide,36366765410,43819567968,42629302996,30161978274,46077991868,48145025727,55115310544,28296963843,57732054784,26413307195,43341603922,46799143348,42280395782,49039765089,41160030920,21112790435,26816285220,36967971071,44105851183,17329114193,22938054226,36095532712,29430459440,43226896849
glyceraldehyde,4.56E+11,8.08E+11,6.01E+11,6.11E+11,6.89E+11,8.17E+11,6.90E+11,5.48E+11,4.45E+11,6.13E+11,2.00E+12,6.22E+11,9.24E+11,9.03E+11,8.28E+11,7.36E+11,9.32E+11,7.57E+11,9.12E+11,1.15E+12,1.14E+12,2.17E+12,9.11E+11,6.59E+11
glyceric acid,8753812895,16854433389,17316908977,21315519862,12989867733,18008336250,21236075026,20276231258,16835359035,14920471262,10555551806,16305690764,13293665868,13738181001,16859436740,19486737886,17009307257,14268212311,17024073231,7117513602,9045632666,9562295522,11243194802,14961285912
glycerol 2/3-phosphate,89097767580,2.1747E+11,2.01057E+11,1.68472E+11,1.91906E+11,1.82555E+11,2.52712E+11,2.60154E+11,1.74831E+11,1.44517E+11,2.05994E+11,1.91867E+11,1.6588E+11,1.68268E+11,1.72423E+11,1.99287E+11,2.10484E+11,1.57324E+11,1.29749E+11,88572398030,1.41458E+11,1.27691E+11,1.28064E+11,1.35837E+11
glycine,3.53245E+11,3.08001E+11,2.70339E+11,3.20334E+11,2.97389E+11,2.70525E+11,2.68012E+11,2.74727E+11,2.35826E+11,2.76992E+11,3.043E+11,2.67497E+11,3.90788E+11,3.80587E+11,3.40507E+11,3.6313E+11,3.7535E+11,3.30697E+11,3.52702E+11,3.84445E+11,3.0629E+11,3.20525E+11,3.39141E+11,3.56257E+11
glycylglycine,2651051411,3565512706,2799972996,253875902,2495790376,3230809169,82354131,3561583057,2962794634,141839698,3621099167,73402063,2686094569,113021065,3007117315,218887031,3454966159,175400174,2535023925,2521967228,2645834607,162924567,197427990,2933682269
glyoxylic acid,552347061,2188599664,2423151710,2177588136,1343866871,1083697071,1687400807,1382204974,833016789,2590097029,1785545396,2125015722,2127097721,2087438474,1929725393,2960448494,1367497085,2543305057,2673590727,2482986333,1898914753,2020988790,2685010402,2273574447
GMP,17153885130,43973537130,32017395294,39798531336,40058845643,46235773178,51406914994,47431784874,57505722781,43998750694,43425497752,46705001640,44239371369,47289601466,47238592259,46607793892,57279247254,60763012315,60119637014,21663377984,59219976061,57035049965,53084441112,59012754415
GTP,22169416,13550775,1507134,12421146,1136606,15015333,24897903,8066422,294850218,7119522,75355386,36760857,50262318,8976234,1060926,53327294,19553394,19536765,9400989,7439329,42338279,27227353,31358736,8826463
guanidine,45142804310,21233048493,5670457362,9442223571,22932892193,16581171457,7237789459,12187505202,5344916814,5560522718,25347445621,13918553999,21590399228,7041145524,5917063189,12747054703,5062954119,25230818076,6404767685,5605282888,3522688595,6461199250,10070475957,7052381277
guanine,932586086,1334166165,1271419322,1423313004,1031469198,1117072871,1097043819,1414425729,1738152585,2906954325,623990099,877418490,16583052155,16291566551,17336592952,19074774472,15133471906,17021281076,15250512981,8449683402,10883848595,13818088521,22758380071,20314584157
guanosine,92296122160,1.33541E+11,78981226335,1.52134E+11,1.61674E+11,1.6423E+11,1.32292E+11,1.45915E+11,93606990854,1.17982E+11,1.00837E+11,1.239E+11,2.12189E+11,2.07699E+11,1.93254E+11,2.0948E+11,3.45792E+11,3.49599E+11,2.74978E+11,1.5976E+11,2.14241E+11,1.88499E+11,2.5126E+11,3.21715E+11
histamine,13771797940,26050110630,43148863744,42524344451,41902795423,35819717890,76127731982,48890647776,21361441276,39331314250,29335430128,29228644008,19303104532,18531716165,78028735145,29795436730,68907356359,20012347116,18626322804,40205627875,19376312126,21697938368,22547178028,18952132701
histidine,2.38E+12,3.25E+12,3.96E+12,3.18E+12,4.08E+12,4.36E+12,3.91E+12,3.76E+12,3.04E+12,2.71E+12,5.16E+12,3.56E+12,2.42E+12,2.91E+12,2.38E+12,2.79E+12,2.41E+12,2.17E+12,2.32E+12,1.35E+12,2.09E+12,2.29E+12,1.93E+12,2.30E+12
homocysteine,6582541,4746514,6560231,4638500,4947403,4735637,4442171,4669953,4103560,4452868,32037628,4527974,4692075,4360466,4617984,4708211,5005319,4274548,4442459,6476363,5881655,4963625,4489269,22789277
homogentisic acid,14674802880,30025046641,40816938530,41634884010,33241450129,47910906653,34689277025,49915469118,70202977501,75625775705,24828378984,63162045315,39545015061,30880793284,50947903286,57916674451,21773558720,40970618864,35792906154,30806840521,32278146638,32248489673,70349206252,62843110818
homoserine / threonine / allothreonine,4.33E+11,3.59E+11,5.04E+11,4.04E+11,4.07E+11,3.12E+11,3.77E+11,3.36E+11,2.66E+11,3.14E+11,4.40E+11,3.29E+11,9.36E+11,1.00E+12,8.32E+11,8.56E+11,6.93E+11,6.15E+11,6.50E+11,8.29E+11,5.33E+11,4.29E+11,5.17E+11,6.18E+11
hydroxyphenyllactic acid / HVA,329177076,2717124663,2984521707,5380993331,2310728112,1184089159,2925055942,1992491846,1766177651,2341065789,255116010,2686941559,4459308560,6458363980,5243921135,9300662631,10358259969,14134972349,9485258631,12121155413,4330877286,3740756424,10393259583,10330221751
hypoxanthine,88301211000,3.20327E+11,2.71277E+11,3.94901E+11,2.3737E+11,2.32248E+11,3.97306E+11,3.38248E+11,2.40294E+11,5.17965E+11,1.41506E+11,3.36127E+11,1.96386E+11,2.04331E+11,2.07785E+11,2.1887E+11,2.07596E+11,1.50253E+11,1.60875E+11,1.4536E+11,57622878492,1.04474E+11,2.15375E+11,1.8489E+11
IDP,1284994.4,926579,1280639.2,8007918.2,965794.9,25699602.8,867167.3,911633.2,65135322.9,869255.5,22824497,53632120.4,27534124.4,851217.5,16012130.9,919101.7,56205773,834445.3,10059140.5,6641274.6,5740863.3,26667765.9,21166585,16042670.7
imidazole-4-acetate,6621573618,9552700589,7025806716,12343200613,8910124008,9730800079,8724890291,6983216827,10471620020,11850515297,7168261813,7630134268,3770175835,4694822379,7856300889,9793810986,7406747841,4992505533,5790764807,4458706476,6317751522,11822481707,11295889716,8499132276
IMP,9149147007,27980477152,30172910054,23753583232,37940423803,39391923449,33404858359,40472420060,30463445556,28024800146,34004074955,31337836078,39702944626,33957910393,28753496409,36216449602,32862998741,25579018180,26376799515,11561923740,35260017807,30866683995,29294017868,29365440045
inosine,1.99E+11,5.43E+11,3.92E+11,6.31E+11,4.78E+11,4.92E+11,5.23E+11,5.99E+11,4.20E+11,5.80E+11,3.10E+11,5.45E+11,8.31E+11,8.77E+11,8.26E+11,9.45E+11,1.03E+12,1.02E+12,8.91E+11,4.90E+11,6.70E+11,6.48E+11,9.15E+11,1.09E+12
isonictinic acid,9154391224,34768462059,9237293564,17681788890,10873118094,10355531198,20405886139,13055117526,15045590803,22114421835,14241000813,30688495621,3533893629,28423564126,6470417602,8598533391,6200908626,8093191556,7645026908,11762866978,4956385070,10746171336,9506372204,8458307948
itaconic acid,9031204494,18361501450,12572657856,28478341053,18066568190,21378973340,19082672737,25480712056,15412472918,19764464216,22604384042,21140831478,20943988666,28807562047,23654024320,35287499672,17584161091,15214258668,17272131261,19410381304,18197281926,21364809421,31442370609,22184701363
kynurenic acid,62229158340,81685381284,57379312544,1.22487E+11,27710763356,22080548556,27887821330,25387493854,34226548575,44414944653,16489111531,33817346419,12477711777,13229379795,13360690440,18595888327,33611612319,34437240067,21572443326,16513151616,12373989913,15461608726,72382725822,33440739788
kynurenine,40558004900,82685925706,29970998419,66381126398,15651542347,12254693101,10188558723,16496005854,10813306438,23152601732,6675288810,9586818249,9239190427,21890481066,25810260191,13819624395,27200476055,25994133910,23356896640,13694919591,6015460018,7330246442,32660017138,16107199458
lactic acid,6.91E+12,1.06E+13,9.34E+12,1.15E+13,8.95E+12,9.21E+12,1.11E+13,1.07E+13,7.74E+12,1.18E+13,5.65E+12,9.79E+12,8.96E+12,8.79E+12,9.38E+12,9.71E+12,9.96E+12,9.25E+12,9.21E+12,5.80E+12,6.73E+12,7.42E+12,9.53E+12,8.92E+12
lactose / maltose / sucrose,2.22615E+11,4.06125E+11,4.16821E+11,4.71209E+11,4.47023E+11,4.0608E+11,4.94202E+11,4.36752E+11,4.81968E+11,3.29043E+11,5.65266E+11,4.52093E+11,5.28817E+11,5.60644E+11,5.12918E+11,6.10574E+11,5.3946E+11,4.9777E+11,5.55238E+11,2.4299E+11,4.50616E+11,5.66299E+11,6.18164E+11,5.60346E+11
L-arginino-succinate,6001579499,16533169266,12531253186,13551215603,16611540097,22515264116,23272020384,19750907522,25034511854,7834053003,19203283047,15306065973,16973574692,17154259798,17672451602,17970913367,9583460385,11787270028,9012991176,3578383259,7076207916,15846801234,9303707120,14729515277
L-cysteic acid,3287120,63131382,3275979,2316326,2470582,2364833,86138013,2332032,64628006,2223626,2547556,35273016,2343079,43286232,2306080,2351137,2499504,2134579,2218429,16170491,2937119,2478683,2241804,2276054
leucine / leucine(iso) / norleucine,2.55E+12,4.12E+12,3.12E+12,4.54E+12,4.36E+12,3.86E+12,4.13E+12,4.16E+12,3.35E+12,4.66E+12,2.95E+12,4.07E+12,3.85E+12,4.16E+12,3.82E+12,3.95E+12,4.00E+12,3.95E+12,4.24E+12,2.24E+12,2.74E+12,3.20E+12,4.04E+12,4.30E+12
L-NMMA,2829279254,4719060524,2119688479,4234597070,2837085372,2789486265,5134986251,3346978550,9391711402,3417113852,3710824639,7158035608,2660759234,6233185332,3429992939,3742544667,3182575282,3364725506,4614206302,3591035085,3539427227,4408294471,3598905309,4320328772
L-tyrosine methyl ester,6334226856,6695907090,11564822731,14944495106,6646753424,5573352536,7067119456,10145089182,5508661662,10699714578,6745099371,9076963565,5305102501,8101451125,11586584494,18728025511,4862740802,4589853131,6978703150,12847607285,5393168928,8802921457,10990929663,15949328163
lysine,7.42E+11,7.67E+11,5.01E+11,6.17E+11,5.05E+11,6.20E+11,7.50E+11,6.43E+11,1.99E+12,7.26E+11,6.39E+11,9.28E+11,8.94E+11,9.02E+11,9.81E+11,9.46E+11,7.94E+11,6.73E+11,8.87E+11,8.89E+11,6.32E+11,6.25E+11,7.32E+11,7.01E+11
maleic acid,1793372607,2057076333,1218348947,1407210898,1183579433,834274368,1206809769,1306834401,1257950418,1787833799,693037752,1119527694,1017821977,798448115,1495517048,1585197566,661025672,971459586,740767889,1210043035,940958247,624563453,1501177130,1629934747
malic acid,1.86E+11,1.55E+11,6.68E+11,1.45E+11,3.52E+11,5.23E+11,4.48E+11,4.23E+11,2.74E+11,6.02E+10,8.96E+11,3.42E+11,4.68E+11,1.10E+12,9.97E+11,1.10E+12,2.26E+11,2.89E+11,5.06E+11,1.80E+11,2.53E+11,2.96E+11,1.96E+11,3.95E+11
malonic acid,21639979650,52861126612,52373853175,52978869647,19862191684,64661723701,79621008750,84460719468,64904375859,65680629643,37675484574,33773236797,40102311738,29054993748,69388535512,49729334350,27303141627,99027199796,56669492770,43042249487,21152157152,48087832555,79405934782,46248515480
malonyl-CoA,21473459,3096800,4280136,3026328,3227867,3089704,2898235,22053950,2677313,2905214,3328435,2954217,3061282,2844928,3012942,3071810,3265654,2788872,2898423,4225417,3837408,3238451,2928964,2973712
ManNAC,1569604983,2458191870,2265713314,2229960736,1758215805,2116596958,2475490466,2420305917,2329640107,2760902093,1182785739,1606373402,1895980978,4177830881,6705742971,1629381407,2512707197,2346877154,2653559297,2296022381,1604170837,2179432369,2310809894,3061604452
mesaconic acid,8.09E+11,8.42E+11,9.86E+11,7.93E+11,7.63E+11,7.71E+11,1.12E+12,8.44E+11,8.98E+11,8.46E+11,1.05E+12,9.39E+11,7.47E+11,8.76E+11,9.39E+11,8.45E+11,7.10E+11,8.41E+11,7.77E+11,5.09E+11,5.95E+11,1.00E+12,7.80E+11,7.44E+11
methionine,5.96E+11,9.04E+11,8.46E+11,1.02E+12,1.14E+12,1.20E+12,1.19E+12,1.06E+12,1.45E+12,1.63E+12,8.22E+11,1.56E+12,1.05E+12,1.06E+12,1.21E+12,1.10E+12,9.96E+11,9.89E+11,1.31E+12,7.66E+11,9.66E+11,9.74E+11,8.79E+11,1.16E+12
methyl acetoacetate,4248768031,8105175384,5877566197,6104312373,3384389076,2950421008,8281162844,5475192033,4072982907,8240384617,8767591461,7676879592,3762910509,7792207490,4168181182,7359713447,8686045151,4475826312,4636492856,9018525542,9428787553,10803654764,8187025543,6968724621
methylglyoxal,2606174206,3542700718,108027221,1412438133,81468800,77981660,73149154,981710615,67573249,2245532310,84007060,1968857402,77264322,71803723,76044262,1345213038,618162412,70388916,73153901,106646166,1396025893,408679646,1865632102,798560778
methylmalonic acid,15384862690,16268023861,17604578226,16479056782,16335811815,15561177024,15416752704,16665623460,17090609453,17550334646,13427522306,16320409901,19778784461,17155777032,19213007524,19845664075,17361059348,14735328215,16637147323,3331212260,13082982231,21372341265,20797634807,18104557985
mevalonic acid,8381614788,1.13014E+11,21719484933,29422903988,31548898203,10581229064,50435372938,21800055759,62303999154,36567688854,5432997414,1.00466E+11,6515602663,71991291187,13500428610,50275730481,38185001908,58200527874,85127514945,44207386186,6180001302,21215154032,12424057243,19090598448
N1/N8-acetylspermidine,227025460,4802744641,8238178962,5059797728,7175848629,7003651499,2786794605,5388053101,4850450069,8671678002,8186783574,5437740364,86751497783,11299273110,5979879339,10868934511,15946704261,4504505146,3603927536,5528687843,6177002153,5093140716,4262015957,4060235683
N1-acetylspermine,14410212910,1840807737,338347485,64899116,10495201180,1162833298,69838371,42839628,4432090797,606119784,24371935,11982340,4539687330,349701749,57225466,5182255,3733699326,135761633,6727861,40179908,2348395670,213181108,19716415,45363216
N-acetylaspartic acid,1.4025E+11,1.35168E+11,90922457280,1.21093E+11,1.69587E+11,1.7859E+11,1.78124E+11,1.7E+11,1.63072E+11,1.07078E+11,1.7079E+11,1.31259E+11,1.44829E+11,1.4702E+11,1.43929E+11,1.29075E+11,94567548478,84646760309,96137045764,59252980037,79210648427,98279068223,92734312071,1.00126E+11
N-acetyl-b-alanine,29141494850,46954479459,36459060614,54638795172,40225263273,39886324438,31534597762,34025667460,49727178497,55477343574,23140931830,44789643205,16501352899,16205445229,22045842707,20252103421,30633330369,28688818948,32724540766,11791991784,17822057614,26974859012,31011799973,28834997188
N-acetyl-DL-alanine,5584400494,17625183335,31103768324,22118774945,11621734915,10603304771,11825517296,11741875073,11138938130,16113780462,24351248333,20755460959,8826836240,14351479519,35885955963,11329407093,14820675127,14674652825,13860568949,7933043987,6076933733,9498296104,14861938117,12339605248
N-acetyl-DL-serine / O-acetyl-L-serine,16081576790,26062075225,21717878755,29819864336,26700924224,23476094910,30774596628,28559174439,31523153915,28032837723,16190087111,27313164699,27464797105,25341972468,25053244922,28776389560,31893563155,21074718988,32178884707,11674189000,16147042199,19752232474,25606950063,27721603981
N-acetylglucosamine 1/6-phosphate,3660111150,9509451048,7200635508,8029586701,9378720746,10391151087,12922466919,10748388716,19292505878,8346442978,10829043968,12158755540,10297464795,10072674723,10373026152,10180676721,9058122437,8168019167,8252152555,3402643315,9748130810,10570036221,7747641243,10470650622
N-acetylglycine,6998710935,11833653547,9218956228,8241687269,10820188320,10543404824,13080154345,12841748179,10518393915,13185799189,5730274125,10916091732,10665544485,14551928095,12182487861,11971758636,12305102646,12384458885,12960438662,3808862182,7533125882,7537815863,9070114543,12155162422
N-acetyl-L-glutamic acid,6831549325,6145691208,7357420043,5313998790,9720131130,6905488474,6798123248,5426216938,6274727305,4297179275,7071178998,5906851259,6301717446,7725791522,5398710746,5607572829,4952184924,4263553507,3819492000,4220716421,3066211202,3232791021,1851304312,3225291177
NAD+,8837588753,23378772405,24534483961,14975079913,23936421823,24260574644,22087217749,23724855632,31649976325,12637148230,22087232489,20778270738,14630905556,17513564336,12567891576,13890194130,12508293868,10392633112,10386890321,3316977591,15049687522,14893131598,11353313961,12066577372
NADH,745946218,1163983030,1578811006,1275386324,1281394915,1180764798,2128007811,2004413617,561409039,222854525,1373109003,1320790146,512154808,1742883368,944752417,988207198,709305358,1317910001,654372381,229938079,586608794,682964210,456467768,902511451
NADP+,198022085,346338102,218461099,296637140,293070707,501974093,360644405,346633277,3351833123,300119497,392064101,564047639,248966823,300238914,253368162,113959440,178990642,244141055,299321717,60877923,108000630,237760669,311090740,314172059
NADPH,12670828,13759974,12295293,8466762,27427550,47201159,9650334,1704835,62779335,1625584,22112589,27560736,28313144,1591852,28839645,10490543,22237606,19487466,28031049,2364291,2147184,1812044,1638873,1663912
N-carbamoyl-L-aspartate,3023694,10901569,3013446,2130698,94604744,2175317,2040513,2145145,1884972,49462743,2343397,2079927,15227346,49930205,2121273,52772136,126229205,1963516,51334871,2974921,47916994,47347402,45232978,45538130
nebularine,2064965,1488998,2057967,7275566,1552017,1485585,1393524,1464980,7547933,1396880,1600372,1420441,1471920,1367893,1448677,1476982,1570186,14656678,1393614,2031657,1845095,1557106,1408299,11219507
N-formyl-L-methionine,430266367,882308540,765322170,1803088148,945850686,801687193,916325001,968499739,800005900,902351239,543439697,928417774,993947539,821588313,1153984727,1077971850,815448669,1581376365,1486884645,907240373,514347261,507796121,791353396,822140295
nicotinamide,5123655664,32784542574,66557215337,48240102557,41709455019,23120896482,40834345005,31187604735,40139177353,67766858823,62852541994,39876886036,3652172441,3394057854,3594501978,20914688164,25265332140,3327181976,3457878801,5041009632,4578106545,3863538844,33939920375,17738499985
nicotinamide riboside+,18042235370,56553354252,32081349816,38175358442,79788592096,64400248204,62738375221,64877369700,30031545829,38377142766,43897549984,44552335140,7818006351,13909607591,9921996899,19201569943,13636047749,10407799529,9472546813,5876849926,8182093075,11801002071,6615716476,12741628334
nicotinic acid,21498407210,49212869747,47752068119,58336621669,47579585780,44954559184,54278029615,59414672077,37028185462,65232338932,23178177502,52534293403,40533364879,49940543610,43080431956,52973021763,53616176426,45954486879,50011731919,31955130665,30099108702,38388180957,53343017752,53485908271
N-methylaspartic acid,8.11E+11,8.42E+11,9.93E+11,2.44E+08,1.05E+12,1.18E+12,8.25E+11,9.15E+11,9.21E+11,6.05E+11,1.10E+12,7.58E+08,7.31E+08,4.62E+08,3.78E+08,4.77E+07,7.63E+11,6.58E+11,4.23E+08,4.64E+11,6.64E+11,7.07E+11,5.49E+08,2.07E+08
NMN,5642845545,14470620425,9136066721,11979768586,10958752568,13913351791,17538205523,14649424126,21397632150,12096598083,14531795750,16943765602,5524958647,7974049550,7535800008,7290345488,5871281522,5190541553,6106753528,3174496703,2829442031,6594128068,4552876195,6106746232
norepinephrine / pyridoxine,5190668232,1575665801,149458022,2554333297,989986530,1836881498,1130350080,2106370839,2223021128,2903734510,3838705587,2268522548,2500275409,2016116058,1757192967,536322489,114033343,2011530149,2903083012,147547302,133998409,1850295853,2785434303,1362132215
ornithine,14790230490,20241239672,12845165278,14748275649,9588144305,14518412841,18490099041,16713269054,45834798286,17504463856,23540233395,30619377245,30468760065,28483132877,43499535480,26221011828,37847326313,32146799708,35011292518,52581629137,35305079374,38266200303,35204475836,38277391325
orotic acid,976457919,2128967926,2244556311,3135774298,1904963166,1861367898,2020579158,2370018086,2395479389,4113623972,1821098102,2642880580,7891439467,5613500908,7577409649,8602363458,11544696756,9625778701,10004281862,1903878189,3126457022,5229707849,11144057593,8030939135
O-succinyl-homoserine,41210965,217438093,42419454,273015176,68005415,299838215,422256866,446948755,465556542,326092043,174534476,450308662,233882195,205927341,244178162,284189555,127325844,314420284,156203507,198806433,172587871,335847397,275632326,306449651
pantothenic acid,1.86858E+11,3.12894E+11,2.03043E+11,3.59202E+11,3.54532E+11,2.73374E+11,2.91041E+11,2.9002E+11,2.9119E+11,3.43687E+11,1.89439E+11,2.83143E+11,2.70548E+11,2.83246E+11,2.52188E+11,2.58609E+11,2.82794E+11,2.38766E+11,2.66149E+11,1.18553E+11,1.97834E+11,2.30583E+11,3.18413E+11,3.31957E+11
phenethylamine,2051902874,1498306411,2432492296,1575811718,43581217,808035348,195653374,908369754,1258288277,1005616418,1218107032,1735600530,563717667,806782416,1183240942,526066561,1490341159,903510523,1558389266,1178985855,638491260,43724116,1748810245,674458486
