"","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","E1","E2","E3","E4","F1","F2","F3","F4"
"Label","A","A","A","A","B","B","B","B","C","C","C","C","D","D","D","D","E","E","E","E","F","F","F","F"
"3-ureidopropionic acid"," 858131054"," 976069727","1126148981","1189480346"," 507240635"," 410013202","1113897589"," 877523854"," 832949560"," 901316359"," 385477513"," 806032862"," 531838004"," 658165131"," 582274246"," 858737992"," 630232924"," 991064597","1263240131"," 263752113"," 153318746"," 655730562"," 455700283"," 631782526"
"4-hydroxybutanoic acid"," 3382200453"," 7883624959","11111465995"," 7874504961"," 9677206810","10074607028"," 9561340220"," 8835856323"," 7331416722"," 9404134518"," 2086764316"," 7157038958"," 5329620439"," 7830721732"," 5175693754"," 9110248518"," 5259436391"," 5366863053","15069432323"," 4017966372"," 3557662602"," 2015776622"," 4030830823"," 4941062837"
"4-hydroxyphenylpyruvic acid","  3974348"," 33632601","  3960878"," 68055074"," 66382407"," 14296205"," 29534364","146966309"," 18415739"," 36013372","112282900"," 19458115"," 36340038"," 19250596"," 49522498","158889451"," 40729425"," 91555852"," 16357510","  3910241"," 80095047"," 75612822"," 74954864"," 73742741"
"4-hydroxyproline / 5-aminolevulinate","31706387860","31485732497","24105964757","34623385209","15467619619","24026284879","23861947724","22972097407","31293824097","38412333898","25291661156","28981271061","31489762713","35001710716","46334334562","44643915990","36581965383","38511712545","36569081187","31255218177","30777630109","46423628760","48724441169","39651984714"
"5'-deoxyadenosine"," 76135225","137591273"," 99960403","252984442"," 39909193","159021677","216577996","286639308","293726337","367950103"," 95412264","219795129","371663616","393808257","351909990","333577439"," 76201717","430061490","377405284","402010347","209073352","219116090","365294213","316365181"
"5-HIAA","4109699517","8382969606","3279107804","7198112216","2316816172","1454174724","1316486690","2296296378","1503256714","2560609133"," 807000717","1325312705","1345105483","2484181688","3024192358","1622942731","3296647219","2465976680","2884649687","1191210498"," 763197876","1154253874","3875868103","1825890704"
"5-methylcytosine","3305804075","4887446688","5024262470","7176854939","5585004377","5291743204","5148122589","5894807289","5156329401","6686109365","2136374126","5929876833","4592339547","4675292871","4748190123","6208690407","6396158171"," 506918987","5344543016","3218981803","2329781131","3721057128","5293353798","4963275529"
"5'-methylthioadenosine","12210804100","27224114242","27109268335","49261623482","13649717862","19705660338","19264708221","15789751774","19837008972","38124375984","21374679425","23509210839","24356137280","21271313647","27580232259","19455752845","13673741036","20646989319","15696649669","15353502489","16589694901","12147022592","14899404045","14560965103"
"6-aminohexanoate"," 18220277450","179902185459","124251684810","136355370337","100020822177","110610410297"," 83222252566"," 91941239813","115634587274","153012565786"," 70604620115"," 92636758978"," 85521105760"," 64515615780"," 77200279491"," 78440523282","165509829065","202236817945","225949978693"," 93490230161","127821196123","122682539454","194672752684","154422347301"
"6-phosphogluconic acid","  56697833"," 648754313"," 423525026"," 500172353"," 571906327"," 248577435","1502012433"," 835902974","2014805355"," 485066775","1295876792","1376723911"," 422250624","1792098310"," 904832390"," 869014757"," 763154847"," 775721091"," 643230721"," 424978525"," 253304221"," 956802931"," 766153075","1067974053"
"6-phosphoglucono-D-lactone"," 2493549"," 1798039","13050369"," 8785610"," 1874138","10712180"," 1682750","45020264","19474742","11085136"," 1932529"," 9912807","10730992","11007162","19369936","14146743"," 1896078"," 1619252"," 1682859"," 2453327"," 2228045","39128256"," 1700591"," 1726573"
"acetoacetic acid","86579334940","11681006146","11737017966","14022426745","21528788620","10760188424","10265882768"," 9869367824","15451666638"," 5849059404","18117093984","10912076729","14175709754","15659498194","11895854319","10106487999","26327468681","14628836333","10441293044","28207471367","31416979993","20023477123","10790373209","12582163527"
"acetoin -","1452433671","4455219954"," 261109320","3656321147","2824147743","3267007875","2428201638","3346666652","3724132764","4422970184","1469182436","3141347409","2620916573","2627612940","2555553231","3654511412","2061155082","1875590721","1672700862"," 798735463","1645052684","1669975179","4000272020","3467560131"
