time (h),10^-3 WT male .5M rep1,10^-3 WT male .5M rep2,10^-3 WT male .5M rep3,10^-3 WT male .5M rep4,10^-3 G85R male .5M rep1,10^-3 G85R male .5M rep2,10^-3 G85R male .5M rep3,10^-3 G85R male .5M rep4,10^-3 WT female .5M rep1,10^-3 WT female .5M rep2,10^-3 WT female .5M rep3,10^-3 WT female .5M rep4,10^-3 G85R female .5M rep1,10^-3 G85R female .5M rep2,10^-3 G85R female .5M rep3,10^-3 G85R female .5M rep4,10^-3 WT male .6M rep1,10^-3 WT male .6M rep2,10^-3 WT male .6M rep3,10^-3 WT male .6M rep4,10^-3 G85R male .6M rep1,10^-3 G85R male .6M rep2,10^-3 G85R male .6M rep3,10^-3 G85R male .6M rep4,10^-3 WT female .6M rep1,10^-3 WT female .6M rep2,10^-3 WT female .6M rep3,10^-3 WT female .6M rep4,10^-3 G85R female .6M rep1,10^-3 G85R female .6M rep2,10^-3 G85R female .6M rep3,10^-3 G85R female .6M rep4
143.3333333,6084,9774,11432,8965,7419,6235,9364,9443,6194,6363,5584,9864,9538,3314,5565,10130,9360,10618,3919,2652,11862,4588,10027,4983,9151,7063,6759,10271,7856,11643,6940,6880
144,6141,10264,11199,8974,7315,6026,8743,9193,6569,6434,5117,9349,8814,3307,5471,10058,8222,10958,4240,2788,11568,4512,10363,5092,9470,7208,6601,10100,8035,10999,6451,6822
144.6666667,6035,10022,11994,8989,7340,6033,8879,9185,6702,6557,5257,9397,9318,3388,5283,10087,7559,10263,4072,2848,11160,4566,10462,4797,8866,7363,6449,10044,7838,11331,6997,6355
145.3333333,6162,9685,11833,8998,7196,5817,8186,8269,6880,6467,5693,9538,8935,3128,5081,10151,7733,10604,4094,3046,11712,4551,9542,4553,9126,7554,7652,11349,7695,10821,6601,6631
146,6383,9319,12127,9065,7134,5288,8058,8362,7203,6754,4771,10514,8439,3088,5035,10158,8246,11105,4150,3127,12575,4508,10408,4760,9299,7642,7364,9981,8003,10726,6101,6545
146.6666667,6311,9673,12146,8991,7344,6101,9430,8811,7370,6547,5798,10439,9952,3504,5587,10070,9052,10856,4140,3158,11202,4537,10118,4837,9251,7740,7022,10147,7978,11239,6848,7125
147.3333333,6200,9459,11579,9013,7228,5410,8220,8348,7595,6725,5004,10320,8621,3141,5047,10226,9052,11654,4501,3230,11826,4614,10735,4784,9340,7863,7078,10744,7903,10823,6836,6460
148,6282,9418,12235,9132,7180,5899,9103,9111,7684,6739,5012,9408,9037,3224,5194,10175,8881,11332,4385,3411,11843,4734,10301,5200,9391,8161,7293,9935,8123,11153,6797,6986
148.6666667,6161,9710,12179,8837,7348,5949,9066,8319,7567,6629,5426,10558,9785,3468,5274,9968,8710,10908,4482,3441,12035,4498,10441,4761,9015,7938,7252,10148,7639,11670,7076,6572
149.3333333,6309,9878,11740,8939,7309,6048,9318,9021,7940,7044,5426,10233,9043,3341,5358,10157,8358,11644,4498,3612,11655,4625,9789,4895,9232,8642,7622,10014,8345,10920,6825,6405
150,6329,10276,12739,9016,7389,5981,9253,9231,8072,6782,5609,10342,9629,3457,5383,10214,7693,10635,4588,3627,11727,4494,10366,4507,9183,8876,7409,9646,7987,11257,6922,6937
150.6666667,6326,9765,11957,9008,7523,6006,9199,8819,8218,6755,5583,9499,9856,3398,5354,10157,7488,11326,4620,3739,11415,4480,10003,4713,9350,8989,7199,10943,7631,10190,6780,6619
151.3333333,6535,9876,12448,9113,7359,5948,9450,9027,8199,6832,5655,10363,9903,3523,5464,10146,8986,11416,4545,3886,11697,4566,10226,4828,9247,9083,7852,10331,8299,11593,7074,6366
152,6261,9652,12722,8895,7280,5954,8963,8623,8058,6807,5347,9857,9733,3308,5272,9760,8607,11389,4726,4140,11187,4436,10109,4686,8972,8784,7624,10531,8132,11287,6940,6601
152.6666667,6217,9861,13082,9273,7435,6018,9611,9044,8471,6867,5722,9662,9689,3557,5471,10192,9796,11923,4688,4359,11779,4576,10447,4731,9517,9313,7724,10384,7849,11009,7092,6764
153.3333333,6369,9701,12320,8874,7279,5840,9338,8485,8251,6843,5599,9576,9255,3402,5313,9894,7731,12014,4849,4440,11735,4436,10639,5061,9319,9081,7470,10544,7939,10827,6718,6617
154,6253,10398,12229,9170,7449,6140,9113,8941,8572,6972,5554,10303,9734,3454,5287,10209,7446,10950,4788,4696,11231,4535,10484,4701,9433,8916,8232,9925,8058,10547,6732,6417
154.6666667,6286,10298,13394,9280,7485,6055,9158,9040,8716,6962,5725,10603,9856,3561,5507,10192,9323,10970,4964,4963,11665,4576,10192,5057,9365,9060,8162,10705,8164,11946,6876,6792
155.3333333,6344,10371,12903,9254,7491,6135,9394,9176,8783,6969,5688,10541,9692,3400,5488,10189,9074,11613,5106,5131,12636,4626,10182,4881,9568,8715,7893,10794,8132,11222,7140,6832
156,6283,10398,12613,9360,7168,5555,8086,8177,8869,6935,4926,9585,8076,3169,5003,10179,8483,12459,5064,5321,11522,4552,10140,4501,9787,8998,8280,10206,7610,10526,5984,6466
156.6666667,6462,10627,12615,9271,7353,6046,9360,8951,8872,7016,5387,9819,8812,3384,5278,10232,8539,11895,5036,5458,12318,4564,11238,4876,9910,9241,8253,11242,8109,10413,6863,6752
157.3333333,6313,10870,12766,9338,7137,5463,8234,8176,8860,7054,5097,10748,8144,3247,4994,10175,8953,11803,5158,5585,11346,4609,9999,4396,9899,9274,8196,10745,7678,10297,6864,6383
158,6326,9716,13244,9058,7254,5532,8208,8640,8819,6885,4852,10473,9251,3272,4987,9968,8023,11278,4957,5494,11122,4359,9695,4414,9525,8814,8084,10035,7656,10060,6470,6257
158.6666667,6375,9803,12336,9300,7426,5888,8621,9281,9326,7291,5267,9996,9655,3507,5424,10208,9348,11396,5472,5870,11542,4430,9835,4447,9674,9010,8332,11161,7733,10441,6750,6680
159.3333333,6379,10359,12922,9365,7381,5907,8620,9283,9522,7247,5705,10111,9146,3377,5384,10078,8947,12084,5195,6027,12006,4471,9786,4965,9730,9548,8444,10535,7709,11617,6743,6846
160,6370,10672,13288,9366,7415,6101,8627,9295,9499,7309,5620,10145,9382,3408,5469,10097,8442,12199,5350,6197,12272,4494,10202,5250,9832,9804,8625,10758,8159,11612,6948,6978
160.6666667,6409,9946,12415,9459,7400,6317,9305,8807,9544,7106,5590,9850,8954,3323,5382,10155,9410,12017,5311,6342,11978,4616,9884,4937,9923,9367,8512,12015,8166,11470,6762,6598
161.3333333,6407,10269,12989,9317,7306,6258,9580,9045,9640,7118,5782,10478,9846,3598,5559,10079,7641,11641,5303,6464,11665,4507,10051,4931,9700,9444,9136,10305,7834,11373,7059,6608
162,6606,10999,12479,9479,7424,6169,8886,9017,9653,7196,5689,10708,9211,3486,5384,10109,8593,11261,5289,6465,11389,4581,10671,4800,9876,9731,8339,11037,7963,11060,6853,6547
162.6666667,6614,11040,13379,9705,7571,6120,9136,9455,10148,7457,6023,10940,10001,3665,5648,10372,8860,12786,5453,6870,12201,4705,10642,4800,10226,10154,8415,11146,8259,11536,7137,6784
163.3333333,6727,10616,12319,9436,7444,6087,9200,8901,9839,7245,5816,10078,9968,3533,5481,10138,7488,12711,5517,6653,11399,4506,9862,4636,9980,10102,8388,10141,8104,11043,6581,6611
164,6381,10271,12721,9445,7279,5510,8112,8396,9664,7241,5783,10960,8326,3257,5086,10128,7555,12423,5626,6894,11569,4563,10943,4784,9778,9748,9064,11010,7824,10588,6401,6413
164.6666667,6507,11107,12422,9532,7371,6247,9314,9107,9972,7217,5992,11293,9325,3512,5602,10108,8651,12187,5356,7147,12113,4667,10124,4925,9821,10306,8763,11551,7865,11755,6950,6475
165.3333333,6441,11012,12516,9391,7075,5816,8223,8665,9614,7031,4873,10466,8178,3329,5099,9880,9012,12713,6071,7051,12032,4499,9906,4916,9934,10202,8666,10786,7970,10261,7045,6697
166,6763,10668,12737,9595,7501,6191,9172,9342,9975,7261,5807,10935,9862,3548,5449,10104,7606,11930,5358,7219,11379,4500,10043,4773,9940,10061,8855,11508,8122,10785,7032,6581
166.6666667,6440,11994,12725,9502,7448,6141,8748,9268,10300,7484,5885,10590,9149,3467,5498,10011,8606,11889,5341,7443,11858,4466,10080,4895,9800,10354,8518,10325,7824,10752,7262,6397
167.3333333,6790,11391,13128,9622,7457,6024,8986,9344,10030,7298,5729,11223,9369,3381,5451,10041,9502,12170,5444,7519,12032,4549,10501,4766,9933,9704,8133,10743,7722,11430,7068,6656
168,6587,10797,13106,9455,7394,5983,8973,9398,10414,7260,5553,10102,9643,3457,5286,9927,7819,11503,5660,7564,11719,4559,9980,4739,9738,10047,8592,10468,8166,10195,7190,6470
168.6666667,6481,10537,12637,9466,7327,5955,8493,9164,9684,7381,5249,10157,9453,3400,5184,9857,8265,11817,5750,7668,11574,4579,10245,4791,9829,9944,8611,10717,8066,10794,7094,6496
169.3333333,6560,10887,13118,9782,7508,6044,9430,9528,10525,7537,5906,10341,9723,3696,5508,10172,9077,12882,5412,8225,12187,4565,10460,4928,10032,10507,8476,11587,8104,11462,6975,6734
170,6512,10610,13302,9681,7348,5916,8825,9443,9882,7288,5242,9962,8895,3435,5394,9964,8720,12724,5710,8255,11741,4641,10167,4803,10042,9847,9448,10713,8074,10350,7213,6516
170.6666667,6460,10133,13593,9200,7248,5659,8527,8955,9540,7224,5269,11083,9654,3309,5082,9692,7780,12000,5480,7701,11344,4413,10440,4518,9555,9868,8884,11150,8313,10839,6610,6273
171.3333333,6511,10636,12379,9532,7377,6038,8724,8935,9893,7234,5574,10212,8896,3706,5541,9834,8326,12026,5235,8558,11793,4555,9896,4485,9937,9808,8519,10518,7984,10975,6821,6221
172,6697,10630,12347,9321,7277,6070,8977,9125,9992,7262,5674,10077,9258,3613,5248,9618,8700,11973,5357,7917,11399,4435,10308,4892,10007,10055,8983,10910,7676,11220,7090,6211
172.6666667,6540,10233,13555,9724,7376,6190,8919,8499,10112,7376,5512,10135,9819,3694,5422,9912,8304,12191,5450,8337,11662,4455,10254,4750,10030,9795,8654,10939,8058,10271,7128,6322
173.3333333,6449,10415,12791,9339,7080,5405,8149,8132,9952,7409,4978,10517,8334,3526,5145,9784,9228,12810,5856,8541,12222,4592,10222,4557,10083,9683,9019,10628,8117,10857,6083,6499
174,6681,10651,12988,9693,7365,6183,9031,8703,10582,7464,5823,11124,9194,3852,5343,10118,8864,13977,5970,8997,12379,4533,10336,5048,10343,9875,9698,11769,8639,10829,6661,6980
174.6666667,6533,10824,13723,9507,7260,5792,9212,8678,9416,7449,5467,11089,9543,3661,5291,9695,8669,12454,5928,8866,12013,4581,9921,4561,10053,9731,8903,11520,8253,10292,7232,6443
175.3333333,6714,9788,13006,9560,7328,6120,9257,8340,9703,7242,5708,10212,9415,3719,5278,9646,8585,12219,5310,8363,11611,4462,9864,4900,9861,9622,8422,10913,7869,11042,6772,6274
176,6701,9947,13919,9813,7360,5939,8707,8700,10317,7529,5595,10717,9736,3581,5244,9876,7952,12245,5531,8876,11964,4717,10280,4937,10301,9890,9059,11304,8122,10065,7300,6751
176.6666667,6826,10472,13397,9816,7501,5734,8772,8228,9624,7561,5417,10368,9134,3518,5240,9957,8289,12237,5834,8671,11938,4467,10423,4539,10212,9975,8858,11360,8091,11489,6602,6256
177.3333333,6845,11466,12897,9937,7541,6374,9297,8236,10650,7592,6045,10950,8944,3765,5582,10228,8333,12452,5918,9092,12402,4736,11201,5196,10512,10427,9086,11801,8315,10494,6903,6864
178,7140,10554,12560,9780,7534,5636,9326,8874,10244,7477,5484,10913,9321,3894,5484,10042,9250,12657,5772,9121,12077,4791,10452,4552,10188,10443,9070,11579,8287,11501,6764,7308
178.6666667,6787,10425,12904,9758,7514,6075,9306,8723,9996,7560,5696,10916,10146,3813,5403,9814,7604,12244,5359,9344,11610,4633,10322,4889,10138,10112,9143,10929,8099,10878,7228,6798
179.3333333,7151,9951,14075,9704,7256,5723,8152,7945,9726,7498,5904,10266,9722,3410,5111,9758,8155,12233,5621,8823,11415,4662,10232,4934,10445,10662,9302,10980,8066,10616,6154,6722
180,6980,11292,13185,9729,7368,5508,8772,7650,9575,7616,5019,10636,9763,3574,5310,9781,7844,12169,5578,7780,11581,4605,10193,4751,10167,10551,9026,11359,7745,10162,6622,7415
180.6666667,6996,10535,13230,9627,7488,6209,8887,8679,9440,7476,5618,10378,9839,3858,5338,9518,8417,11423,5666,7439,12100,4515,10399,4820,10012,10740,10251,11421,7895,11727,7055,6392
181.3333333,6984,10913,12928,9687,7468,5905,9026,8795,10135,7725,6047,11376,9316,3933,5427,9766,8673,12265,5915,7860,11767,4684,10491,4895,10464,10460,9110,11699,8581,10594,6948,7703
182,6984,11692,13552,9722,7378,5975,9142,8568,9894,7770,5562,10106,9524,3829,5372,9686,8285,12587,5459,7864,12220,4606,10295,4664,10492,10050,9153,11855,8136,10488,7316,6623
182.6666667,7296,10876,14147,9976,7673,6376,8939,8935,10546,7952,5950,11291,9804,3868,5683,9932,8352,12548,5818,7871,12264,4631,10493,4987,10414,10919,9121,11692,8291,11282,7114,6903
183.3333333,6776,10851,12657,9522,7299,5553,8553,8123,9416,7520,5626,10536,8624,3455,5338,9569,9030,13517,5671,8085,12040,4666,11300,4917,10411,10537,9581,11648,8153,10291,6871,7528
184,6972,9833,13880,9594,7306,5754,8281,8131,9095,7491,4935,10465,8950,3722,5225,9499,8282,12387,5455,7885,11390,4580,10358,4436,10207,10616,8955,10301,7891,9953,6216,6443
184.6666667,6913,10502,12571,9675,7446,6065,9153,8718,9551,7559,5597,10480,9179,3756,5282,9749,9564,12388,5748,8230,11972,4647,10485,4956,10221,10688,9608,12153,8117,11458,7289,6434
185.3333333,7163,11331,13227,9811,7423,6361,9258,8704,10131,7769,5824,11564,9122,3949,5574,9612,7919,13485,6003,8232,11983,4642,11412,5244,10394,11140,9749,11740,8257,10916,6893,7114
186,7031,11413,12609,9757,7547,6366,8899,8703,9577,7651,5761,10343,9835,3836,5520,9669,8726,11584,5672,7333,11945,4587,10614,4716,10391,11519,9523,11056,7877,11644,6999,6695
