Genotype,Replicate,Brood,Sex,total
"WT, TKT-Df",2,1,M,16
"WT, TKT-Df",2,2,M,22
"WT, TKT-Df",2,3,M,34
"WT, TKT-Df",2,4,M,34
"WT, TKT-OE",1,1,F,8
"WT, TKT-OE",1,2,F,31
"WT, TKT-OE",1,3,F,0
"WT, TKT-OE",1,4,F,0
"WT, TKT-OE",2,1,F,37
"WT, TKT-OE",2,2,F,42
"WT, TKT-OE",2,3,F,0
"WT, TKT-OE",2,4,F,0
"WT, TKT-OE",3,1,F,0
"WT, TKT-OE",3,2,F,0
"WT, TKT-OE",3,3,F,16
"WT, TKT-OE",3,4,F,16
"WT, TKT-OE",1,1,M,5
"WT, TKT-OE",1,2,M,25
"WT, TKT-OE",1,3,M,0
"WT, TKT-OE",1,4,M,0
"WT, TKT-OE",2,1,M,33
"WT, TKT-OE",2,2,M,45
"WT, TKT-OE",2,3,M,0
"WT, TKT-OE",2,4,M,0
"WT, TKT-OE",3,1,M,0
"WT, TKT-OE",3,2,M,0
"WT, TKT-OE",3,3,M,24
"WT, TKT-OE",3,4,M,10
"WT, TKT-OE Cy",1,1,F,1
"WT, TKT-OE Cy",1,2,F,19
"WT, TKT-OE Cy",1,3,F,0
"WT, TKT-OE Cy",1,4,F,0
"WT, TKT-OE Cy",2,1,F,4
"WT, TKT-OE Cy",2,2,F,11
"WT, TKT-OE Cy",2,3,F,0
"WT, TKT-OE Cy",2,4,F,0
"WT, TKT-OE Cy",3,1,F,0
"WT, TKT-OE Cy",3,2,F,0
"WT, TKT-OE Cy",3,3,F,0
"WT, TKT-OE Cy",3,4,F,0
"WT, TKT-OE Cy",1,1,M,1
"WT, TKT-OE Cy",1,2,M,14
"WT, TKT-OE Cy",1,3,M,0
"WT, TKT-OE Cy",1,4,M,0
"WT, TKT-OE Cy",2,1,M,7
"WT, TKT-OE Cy",2,2,M,22
"WT, TKT-OE Cy",2,3,M,0
"WT, TKT-OE Cy",2,4,M,0
"WT, TKT-OE Cy",3,1,M,0
"WT, TKT-OE Cy",3,2,M,0
"WT, TKT-OE Cy",3,3,M,0
"WT, TKT-OE Cy",3,4,M,0
