time,status,Genotype,Sex,TKT,DOB,DOD
22,0,WT,F,Df,511,533
22,0,WT,F,Df,511,533
22,0,WT,F,Df,511,533
22,0,WT,M,Df,511,533
22,0,WT,M,Df,511,533
22,0,WT,M,Df,511,533
22,0,WT,M,Df,511,533
22,0,WT,M,Df,511,533
22,0,WT,M,Df,511,533
21,0,WT,M,Df,512,533
21,0,WT,M,Df,512,533
21,0,WT,M,Df,512,533
21,0,WT,M,Df,512,533
21,0,WT,F,OE,512,533
21,0,WT,F,OE,512,533
21,0,WT,F,OE,512,533
21,0,WT,F,OE,512,533
21,0,WT,F,OE,512,533
21,0,WT,M,OE,512,533
20,0,WT,F,Df,513,533
20,0,WT,F,Df,513,533
20,0,WT,F,Df,513,533
20,0,WT,F,Df,513,533
20,0,WT,F,Df,513,533
20,0,WT,F,Df,513,533
20,0,WT,F,Df,513,533
20,0,WT,M,Df,513,533
20,0,WT,M,Df,513,533
20,0,WT,M,Df,513,533
20,0,WT,M,Df,513,533
20,0,WT,M,Df,513,533
20,0,WT,M,Df,513,533
20,0,WT,M,Df,513,533
20,0,WT,M,Df,513,533
20,0,WT,M,Df,513,533
20,0,WT,M,Df,513,533
20,0,WT,F,OE,513,533
20,0,WT,F,OE,513,533
20,0,WT,F,OE,513,533
20,0,WT,F,OE,513,533
20,0,WT,F,OE,513,533
20,0,WT,F,OE,513,533
20,0,WT,F,OE,513,533
20,0,WT,F,OE,513,533
20,0,WT,M,OE,513,533
20,0,WT,M,OE,513,533
20,0,WT,M,OE,513,533
20,0,WT,M,OE,513,533
20,0,WT,M,OE,513,533
20,0,WT,M,OE,513,533
20,0,WT,M,OE,513,533
20,0,WT,M,OE,513,533
20,0,WT,M,OE,513,533
20,0,WT,M,OE,513,533
20,0,WT,M,OE,513,533
20,0,WT,M,OE,513,533
20,0,WT,M,OE,513,533
20,0,WT,M,OE,513,533
20,0,WT,M,OE,513,533
20,0,WT,M,OE,513,533
19,0,WT,F,Df,514,533
19,0,WT,F,Df,514,533
19,0,WT,F,Df,514,533
19,0,WT,M,Df,514,533
19,0,WT,M,Df,514,533
19,0,WT,M,Df,514,533
19,0,WT,F,OE,514,533
19,0,WT,F,OE,514,533
19,0,WT,F,OE,514,533
19,0,WT,F,OE,514,533
19,0,WT,F,OE,514,533
19,0,WT,F,OE,514,533
19,0,WT,F,OE,514,533
19,0,WT,F,OE,514,533
19,0,WT,F,OE,514,533
19,0,WT,F,OE,514,533
19,0,WT,F,OE,514,533
19,0,WT,F,OE,514,533
19,0,WT,M,OE,514,533
19,0,WT,M,OE,514,533
19,0,WT,M,OE,514,533
19,0,WT,M,OE,514,533
19,0,WT,M,OE,514,533
19,0,WT,M,OE,514,533
19,0,WT,M,OE,514,533
19,0,WT,M,OE,514,533
19,0,WT,M,OE,514,533
19,0,WT,M,OE,514,533
19,0,WT,M,OE,514,533
19,0,WT,M,OE,514,533
19,0,WT,M,OE,514,533
19,0,WT,M,OE,514,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,F,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,WT,M,Df,515,533
18,0,G85R,F,Df,515,533
18,0,G85R,F,Df,515,533
18,0,G85R,F,Df,515,533
18,0,WT,F,OE,515,533
18,0,WT,F,OE,515,533
18,0,WT,F,OE,515,533
18,0,WT,F,OE,515,533
18,0,WT,F,OE,515,533
18,0,WT,F,OE,515,533
18,0,WT,F,OE,515,533
18,0,WT,F,OE,515,533
18,0,WT,F,OE,515,533
